	Ensemble						Hommes						Femmes														
Creuse	32507	32259	34101	24966	16183	140016	16748	17132	17161	11602	5923	68566	15759	15127	16940	13364	10260	71450									
Dordogne	96399	94639	91737	62099	32648	377522	49605	48204	44973	29151	11770	183703	46794	46435	46764	32948	20878	193819									
Doubs	159836	149294	102341	45171	20613	477255	81256	76164	51704	19996	6965	236085	78580	73130	50637	25175	13648	241170									
Drôme	118769	111446	87928	46867	24178	389188	61060	56409	43855	21195	8426	190945	57709	55037	44073	25672	15752	198243									
Eure	153152	139834	97026	48034	23735	461781	78539	71207	49204	21718	8117	228785	74613	68627	47822	26316	15618	232996									
Eure-et-Loir	116055	106897	76421	41675	21503	362551	59609	54595	38734	19356	8002	180296	56446	52302	37687	22319	13501	182255									
Finistère	248776	227191	188655	113025	51104	828751	127604	118304	91659	48439	16796	402802	121172	108887	96996	64586	34308	425949									
Gard	147901	149432	123750	71696	36782	529561	76130	75821	60693	33025	12512	258181	71771	73611	63057	38671	24270	271380									
Haute-Garonne	229662	261687	186524	97159	48797	823829	117152	130767	91236	44274	17263	400692	112510	130920	95288	52885	31534	423137									
Gers	44084	43978	43686	27353	15354	174455	22828	22602	22104	13263	5901	86698	21256	21376	21582	14090	9453	87757									
Gironde	323185	342624	249818	137521	74786	1127934	164880	170646	121640	61051	24291	542508	158305	171978	128178	76470	50495	585426									
Hérault	195190	205945	156682	96944	49844	704605	99649	102231	75519	44260	17590	339249	95541	103714	81163	52684	32254	365356									
Ille-et-Vilaine	244528	224898	161120	82606	36615	749767	124456	113010	78842	35818	10956	363082	120072	111888	82278	46788	25659	386685									
Indre	65903	62789	56269	36912	21521	243394	33689	32694	27956	17114	7965	119418	32214	30095	28313	19798	13556	123976									
Indre-et-Loire	155572	148546	108460	60480	32670	505728	78773	74264	53604	27592	11492	245725	76799	74282	54856	32888	21178	260003									
Isère	295489	294565	207696	92656	45472	935878	151463	150012	104775	41396	14767	462413	144026	144553	102921	51260	30705	473465									
Jura	74665	66670	54322	31279	16219	243155	38335	34275	27006	14221	5811	119648	36330	32395	27316	17058	10408	123507									
Landes	81230	78702	71075	42859	23465	297331	41951	40222	35162	19619	8136	145090	39279	38480	35913	23240	15329	152241									
Loir-et-Cher	86704	80650	65013	40681	23199	296247	44411	41282	32497	18749	8538	145477	42293	39368	32516	21932	14661	150770									
Loire	225885	209250	171585	88064	45409	740193	115185	105886	84595	38684	14256	358606	110700	103364	86990	49380	31153	381587									
Haute-Loire	58206	54135	48461	28905	16658	206365	29967	28323	24277	12937	5737	101241	28239	25812	24184	15968	10921	105124									
Loire-Atlantique	328696	296324	214822	104163	50263	994268	168061	148936	104523	44972	15157	481649	160635	147388	110299	59191	35106	512619									
Loiret	164917	162041	114823	61309	32136	535226	83920	82236	57471	28113	11897	263637	80997	79805	57352	33196	20239	271589									
Lot	39260	39364	37012	25284	13627	154547	20146	20225	18290	11842	4948	75451	19114	19139	18722	13442	8679	79096									
Lot-et-Garonne	81191	78241	71643	44378	22853	298306	41513	39440	35193	20903	8314	145363	39678	38801	36450	23475	14539	152943									
Lozère	20402	20085	16529	11093	6331	74440	10499	10734	8577	5168	2322	37300	9903	9351	7952	5925	4009	37140									
Maine-et-Loire	234024	195021	137288	70183	37908	674424	119563	98397	67074	31238	12866	329138	114461	96624	70214	38945	25042	345286									
Manche	147443	126131	106355	59485	26483	465897	75467	65559	52362	26193	7777	227358	71976	60572	53993	33292	18706	238539									
Marne	177624	171566	112840	53579	27828	543437	90733	87126	56655	23492	9566	267572	86891	84440	56185	30087	18262	275865									
Haute-Marne	68491	59813	45673	24390	12419	210786	35308	31228	23134	11127	4296	105093	33183	28585	22539	13263	8123	105693									
Mayenne	89516	74832	59491	32193	15696	271728	45957	38072	29259	14206	4998	132492	43559	36760	30232	17987	10698	139236									
Meurthe-et-Moselle	225789	222798	161810	72027	35032	717456	115251	114016	80478	31004	11384	352133	110538	108782	81332	41023	23648	365323									
Meuse	63555	56222	44439	23620	12643	200479	32967	29260	22234	10456	4294	99211	30588	26962	22205	13164	8349	101268									
Morbihan	187888	162406	133135	75485	32073	590987	96838	84235	65347	32781	10167	289368	91050	78171	67788	42704	21906	301619									
Moselle	328448	311086	234747	94683	38779	1007743	168327	159963	119401	41589	13034	502314	160121	151123	115346	53094	25745	505429									
Nièvre	64665	61960	54755	36664	21978	240022	33279	32039	27311	16623	7816	117068	31386	29921	27444	20041	14162	122954									
Nord	861685	757844	533077	246858	121533	2520997	440604	384508	263001	104091	38741	1230945	421081	373336	270076	142767	82792	1290052									
Oise	224476	207700	137112	59980	31610	660878	115228	106512	70793	27123	10824	330480	109248	101188	66319	32857	20786	330398									
Orne	94544	81022	66196	35836	17966	295564	48466	41574	32707	16093	5791	144631	46078	39448	33489	19743	12175	150933									
Pas-de-Calais	479665	404861	306464	153417	68047	1412454	245133	207207	148814	64643	21793	687590	234532	197654	157650	88774	46254	724864									
Puy-de-Dôme	172560	180494	137182	69136	35491	594863	88343	92399	68496	30918	11755	291911	84217	88095	68686	38218	23736	302952									
Pyrénées-Atlantiques	155079	151562	130793	76889	41040	555363	79246	76153	64118	34391	13893	267801	75833	75409	66675	42498	27147	287562									
Hautes-Pyrénées	60289	61732	56395	32892	16549	227857	30976	31243	27652	15177	5681	110729	29313	30489	28743	17715	10868	117128									
Pyrénées-Orientales	88275	83507	79850	56196	26348	334176	45413	41297	38162	26048	9895	160815	42862	42210	41688	30148	16453	173361									
Bas-Rhin	279371	288914	203192	96791	47291	915559	142348	148545	100778	39452	15668	446791	137023	140369	102414	57339	31623	468768									
Haut-Rhin	200437	201017	149516	65617	33889	650476	102570	103658	75019	26898	10617	318762	97867	97359	74497	38719	23272	331714									
Rhône	442087	453502	330605	146196	74173	1446563	225244	226683	164931	62214	23126	702198	216843	226819	165674	83982	51047	744365									
Haute-Saône	74802	64767	49345	28228	14925	232067	38610	33528	24942	12580	5162	114822	36192	31239	24403	15648	9763	117245									
Saône-et-Loire	170818	154711	131410	74231	41255	572425	87680	79353	65722	33379	14396	280530	83138	75358	65688	40852	26859	291895									
Sarthe	163437	142547	108356	59621	31039	505000	84100	72414	53451	26889	10583	247437	79337	70133	54905	32732	20456	257563									
Savoie	97182	98445	73584	36348	17895	323454	49893	50550	37115	16383	6126	160067	47289	47895	36469	19965	11769	163387									
Haute-Savoie	154499	160223	108736	48112	21819	493389	79396	81104	55010	21383	7447	244340	75103	79119	53726	26729	14372	249049									
Paris	432775	776757	512580	290419	167790	2180321	217541	384046	243975	111495	50959	1008016	215234	392711	268605	178924	116831	1172305									
Seine-Maritime	386968	366881	255434	124802	60282	1194367	197480	186205	126042	54536	19379	583642	189488	180676	129392	70266	40903	610725									
Seine-et-Marne	295898	282607	187336	76915	42325	885081	151600	141597	96027	34374	14572	438170	144298	141010	91309	42541	27753	446911									
Yvelines	395164	390768	278127	85727	44818	1194604	202684	195156	142454	37767	14038	592099	192480	195612	135673	47960	30780	602505									
Deux-Sèvres	106341	92836	76365	43807	23628	342977	54828	47375	38233	20501	9011	169948	51513	45461	38132	23306	14617	173029									
Somme	179555	159295	113372	60642	31913	544777	91430	80860	56134	27128	11262	266814	88125	78435	57238	33514	20651	277963									
Tarn	92151	88439	83148	48210	27529	339477	47686	44597	40825	22357	10087	165552	44465	43842	42323	25853	17442	173925									
Tarn-et-Garonne	52454	50743	44706	28024	14624	190551	26880	26002	21936	13156	5419	93393	25574	24741	22770	14868	9205	97158									
Var	187648	195518	167088	108698	48570	707522	97146	99556	82010	49677	16909	345298	90502	95962	85078	59021	31661	362224									
Vaucluse	125635	124599	97937	53111	25602	426884	64610	63623	48575	24051	9103	209962	61025	60976	49362	29060	16499	216922									
Vendée	155864	132593	104036	60119	29908	482520	80117	68146	51527	27417	10320	237527	75747	64447	52509	32702	19588	244993									
Vienne	110620	106939	79983	47457	26413	371412	56264	54415	39829	22179	9735	182422	54356	52524	40154	25278	16678	188990									
Haute-Vienne	90131	98957	83434	52634	30532	355688	45904	49922	41056	23989	10924	171795	44227	49035	42378	28645	19608	183893									
Vosges	126573	112129	87011	46629	24191	396533	64843	57827	43117	19993	7712	193492	61730	54302	43894	26636	16479	203041									
Yonne	90309	83477	66499	44400	26317	311002	46528	43279	33597	20384	9809	153597	43781	40198	32902	24016	16508	157405									
Territoire de Belfort	41766	40755	29755	13047	6819	132142	21547	21091	15050	5616	2203	65507	20219	19664	14705	7431	4616	66635									
Essonne	325922	324470	228896	69742	38341	987371	167150	163105	117323	30860	12201	490639	158772	161365	111573	38882	26140	496732									
Hauts-de-Seine	356087	464381	348696	144293	75946	1389403	180857	232602	174069	60100	23301	670929	175230	231779	174627	84193	52645	718474									
Seine-Saint-Denis	410048	439693	312181	109291	53630	1324843	209499	223003	159291	46555	16802	655150	200549	216690	152890	62736	36828	669693									
Val-de-Marne	341059	394427	288108	109912	59883	1193389	173911	198227	142687	46686	18155	579666	167148	196200	145421	63226	41728	613723									
Val-d'Oise	304335	303686	207911	67477	36195	919604	155964	151981	105692	29618	11299	454554	148371	151705	102219	37859	24896	465050									
	16327004	16217996	12269187	6289344	3231469	54335000	8354781	8225628	6090546	2773693	1085552	26530200	7972223	7992368	6178641	3515651	2145917	27804800									
																											
																											
																											
