	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	130602	125959	91171	45702	23889	417323	67009	64763	46910	21025	8289	207996	63593	61196	44261	24677	15600	209327									
Aisne	174452	154876	116004	58348	30805	534485	89684	79720	57963	25890	10925	264182	84768	75156	58041	32458	19880	270303									
Allier	99735	96055	88337	54841	31121	370089	51087	49044	43555	24802	11093	179581	48648	47011	44782	30039	20028	190508									
Alpes-de-Haute-Provence	32250	32603	28241	16961	8880	118935	16765	16820	14266	8088	3301	59240	15485	15783	13975	8873	5579	59695									
Hautes-Alpes	29294	31308	23737	13901	6896	105136	15253	16135	12099	6581	2528	52596	14041	15173	11638	7320	4368	52540									
Alpes-Maritimes	202945	232625	211663	149967	83614	880814	103817	114390	101192	63844	29537	412780	99128	118235	110471	86123	54077	468034									
Ardèche	76799	72242	61866	36668	20394	267969	39594	37227	31391	16595	6814	131621	37205	35015	30475	20073	13580	136348									
Ardennes	101906	85927	66668	31800	16485	302786	52226	44419	33615	14191	5716	150167	49680	41508	33053	17609	10769	152619									
Ariège	33357	33711	32495	22679	13492	135734	17197	17609	16065	10825	5238	66934	16160	16102	16430	11854	8254	68800									
Aube	88165	85087	62527	34208	19492	289479	45366	43782	31180	15312	6932	142572	42799	41305	31347	18896	12560	146907									
Aude	71520	71365	66268	45482	25956	280591	37296	36894	32330	21052	9868	137440	34224	34471	33938	24430	16088	143151									
Aveyron	74146	70866	66634	43441	23779	278866	37900	36772	33164	20126	8789	136751	36246	34094	33470	23315	14990	142115									
Bouches-du-Rhône	499900	517936	402444	207046	97371	1724697	256362	259972	200921	92807	32618	842680	243538	257964	201523	114239	64753	882017									
Calvados	194370	180801	123611	61239	29241	589262	99350	91029	60152	26531	9061	286123	95020	89772	63459	34708	20180	303139									
Cantal	46331	42904	37845	23830	12259	163169	23622	22721	19179	10946	4415	80883	22709	20183	18666	12884	7844	82286									
Charente	97539	93256	78481	46061	25682	341019	49818	47209	38925	21098	9079	166129	47721	46047	39556	24963	16603	174890									
Charente-Maritime	148707	138308	115973	72722	37596	513306	76415	70217	56760	33520	13672	250584	72292	68091	59213	39202	23924	262722									
Cher	90730	88400	72156	44304	24388	319978	46357	45697	36382	20048	8751	157235	44373	42703	35774	24256	15637	162743									
Corrèze	60753	62369	57872	39428	21399	241821	31233	32183	28378	18051	7780	117625	29520	30186	29494	21377	13619	124196									
Corse-du-Sud	28368	30843	26090	15980	7322	108603	14319	16595	13407	7379	2357	54057	14049	14248	12683	8601	4965	54546									
Haute-Corse	33674	38590	31948	18382	8978	131572	17229	21845	16904	8428	3189	67595	16445	16745	15044	9954	5789	63977									
Côte-d'Or	147565	145452	100895	51757	27945	473614	74828	73151	50215	23400	9727	231321	72737	72301	50680	28357	18218	242293									
Côtes-d'Armor	161780	140394	123813	77405	35555	538947	83216	72575	60928	33886	11125	261730	78564	67819	62885	43519	24430	277217									
