	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	132820	135393	94181	47236	26000	435630	68261	69615	48826	21860	9069	217631	64559	65778	45355	25376	16931	217999									
Aisne	168429	162662	111115	60551	32050	534807	86912	83345	55504	27346	11117	264224	81517	79317	55611	33205	20933	270583									
Allier	93785	98823	85593	55898	33349	367448	48118	50231	42127	25439	11941	177856	45667	48592	43466	30459	21408	189592									
Alpes-de-Haute-Provence	31372	34503	29538	17953	9833	123199	16191	17568	15000	8485	3676	60920	15181	16935	14538	9468	6157	62279									
Hautes-Alpes	29011	32332	24056	15057	7481	107937	15267	16535	12179	7139	2771	53891	13744	15797	11877	7918	4710	54046									
Alpes-Maritimes	205766	246722	216179	149091	90911	908669	105006	121756	104114	63552	32404	426832	100760	124966	112065	85539	58507	481837									
Ardèche	74331	75566	62130	38917	22062	273006	38474	38576	31344	17782	7557	133733	35857	36990	30786	21135	14505	139273									
Ardennes	96004	90479	64354	32661	17601	301099	49380	46337	32607	14656	6031	149011	46624	44142	31747	18005	11570	152088									
Ariège	31994	35807	31461	23089	14590	136941	16553	18373	15647	11012	5722	67307	15441	17434	15814	12077	8868	69634									
Aube	85607	88129	61963	34625	20528	290852	44166	44777	30967	15599	7292	142801	41441	43352	30996	19026	13236	148051									
Aude	69374	75684	66332	47094	27738	286222	36287	38820	32330	22017	10656	140110	33087	36864	34002	25077	17082	146112									
Aveyron	69948	72207	64696	44902	26224	277977	35902	37359	32104	20868	9956	136189	34046	34848	32592	24034	16268	141788									
Bouches-du-Rhône	486667	525673	404117	214699	104607	1735763	248759	260050	200804	96540	35654	841807	237908	265623	203313	118159	68953	893956									
Calvados	194298	190584	121358	65252	31730	603222	98633	95620	59050	28700	9831	291834	95665	94964	62308	36552	21899	311388									
Cantal	42951	44217	36391	24102	13319	160980	22093	23133	18364	11117	4796	79503	20858	21084	18027	12985	8523	81477									
Charente	92922	97227	76479	46849	27361	340838	47592	49079	37914	21578	9823	165986	45330	48148	38565	25271	17538	174852									
Charente-Maritime	141291	143446	115420	76259	41465	517881	72976	71903	56562	35262	15301	252004	68315	71543	58858	40997	26164	265877									
Cher	87399	92337	71182	44369	26178	321465	44680	47073	35996	20130	9422	157301	42719	45264	35186	24239	16756	164164									
Corrèze	57570	64251	55924	40093	23090	240928	29859	32805	27588	18301	8479	117032	27711	31446	28336	21792	14611	123896									
Corse-du-Sud	27673	33162	26875	16674	7859	112243	14246	17807	13919	7619	2659	56250	13427	15355	12956	9055	5200	55993									
Haute-Corse	32014	40340	31523	18832	9503	132212	16399	22619	16898	8594	3358	67868	15615	17721	14625	10238	6145	64344									
Côte-d'Or	147073	151238	99824	53109	29788	481032	74042	76180	49958	24023	10443	234646	73031	75058	49866	29086	19345	246386									
Côtes-d'Armor	152648	145164	120784	80912	39165	538673	78773	74666	59610	35665	12449	261163	73875	70498	61174	45247	26716	277510									
Creuse	29654	33139	31966	24676	17171	136606	15392	17384	16116	11553	6322	66767	14262	15755	15850	13123	10849	69839									
Dordogne	92504	100419	89740	64273	35497	382433	47813	50864	44058	30000	13108	185843	44691	49555	45682	34273	22389	196590									
Doubs	157567	155183	101548	47337	22576	484211	80322	79785	51158	21175	7694	240134	77245	75398	50390	26162	14882	244077									
Drôme	116982	117024	90401	49876	26565	400848	60337	59062	44943	22629	9351	196322	56645	57962	45458	27247	17214	204526									
Eure	154335	151250	99151	50079	25846	480661	79395	76644	50327	22866	9033	238265	74940	74606	48824	27213	16813	242396									
Eure-et-Loir	117647	115362	76990	42259	23534	375792	60627	58742	39176	19506	8942	186993	57020	56620	37814	22753	14592	188799									
Finistère	239601	237140	182218	117011	56067	832037	123259	122354	88819	50096	18451	402979	116342	114786	93399	66915	37616	429058									
Gard	149131	159101	127133	76451	39723	551539	76778	80360	62721	35153	13921	268933	72353	78741	64412	41298	25802	282606									
Haute-Garonne	240695	282294	188293	99190	52372	862844	121491	140830	91693	45170	18627	417811	119204	141464	96600	54020	33745	445033									
Gers	40997	45999	42240	28138	17024	174398	21341	23518	21244	13730	6662	86495	19656	22481	20996	14408	10362	87903									
Gironde	328864	360891	248177	143155	78428	1159515	167433	178592	121026	63690	25682	556423	161431	182299	127151	79465	52746	603092									
Hérault	203654	221406	162583	103406	54826	745875	103350	108926	78580	47143	19620	357619	100304	112480	84003	56263	35206	388256									
Ille-et-Vilaine	245527	236598	157683	86809	40055	766672	124436	118790	77357	38001	12381	370965	121091	117808	80326	48808	27674	395707									
Indre	61752	65409	54690	36985	23097	241933	31756	33723	27259	17138	8598	118474	29996	31686	27431	19847	14499	123459									
Indre-et-Loire	154540	155011	108761	62075	35586	515973	77631	77183	53637	28498	12748	249697	76909	77828	55124	33577	22838	266276									
Isère	298917	306036	211859	98574	49229	964615	153455	155061	106672	44602	16083	475873	145462	150975	105187	53972	33146	488742									
Jura	71872	69965	53600	31860	17717	245014	36994	35824	26845	14560	6399	120622	34878	34141	26755	17300	11318	124392									
Landes	78448	84154	70886	44770	25275	303533	40721	42623	35264	20552	8803	147963	37727	41531	35622	24218	16472	155570									
Loir-et-Cher	84219	85137	64526	41214	25211	300307	43284	43371	32404	18957	9361	147377	40935	41766	32122	22257	15850	152930									
Loire	221767	214559	166574	91469	48751	743120	113636	107718	82337	40748	15486	359925	108131	106841	84237	50721	33265	383195									
Haute-Loire	55996	57039	46710	29456	17691	206892	28938	29781	23358	13390	6111	101578	27058	27258	23352	16066	11580	105314									
Loire-Atlantique	326671	311953	213520	111420	53913	1017477	166993	156403	104008	48623	16561	492588	159678	155550	109512	62797	37352	524889									
Loiret	166468	171559	115761	63282	35185	552255	84771	86795	58181	28985	13199	271931	81697	84764	57580	34297	21986	280324									
Lot	37353	40819	36667	26407	14785	156031	19328	20872	18121	12277	5429	76027	18025	19947	18546	14130	9356	80004									
Lot-et-Garonne	78194	81363	70459	46322	25182	301520	40146	40731	34605	21695	9371	146548	38048	40632	35854	24627	15811	154972									
Lozère	19253	20662	16122	11265	6815	74117	9878	10897	8366	5356	2496	36993	9375	9765	7756	5909	4319	37124									
Maine-et-Loire	232605	203904	136698	74862	41274	689343	118844	101942	66663	33667	14360	335476	113761	101962	70035	41195	26914	353867									
Manche	141458	135135	103024	62831	29351	471799	72586	69720	50456	28099	9057	229918	68872	65415	52568	34732	20294	241881									
Marne	176157	179067	111409	55219	29813	551665	89652	90348	56198	24357	10176	270731	86505	88719	55211	30862	19637	280934									
Haute-Marne	64652	61785	44617	25429	13700	210183	33477	31751	22640	11595	4857	104320	31175	30034	21977	13834	8843	105863									
Mayenne	86775	79169	57755	33981	17504	275184	44637	40359	28384	15274	5688	134342	42138	38810	29371	18707	11816	140842									
Meurthe-et-Moselle	221925	232070	155093	75820	37488	722396	112992	117762	77282	32971	12094	353101	108933	114308	77811	42849	25394	369295									
Meuse	60377	58992	42392	24435	13495	199691	31458	30578	21267	10901	4580	98784	28919	28414	21125	13534	8915	100907									
Morbihan	181976	172571	131260	79662	35634	601103	94071	88556	64604	34901	11401	293533	87905	84015	66656	44761	24233	307570									
Moselle	312044	326655	228784	100840	42244	1010567	160715	167034	116248	44380	13856	502233	151329	159621	112536	56460	28388	508334									
Nièvre	60455	64386	52943	36423	23266	237473	31271	32969	26397	16603	8360	115600	29184	31417	26546	19820	14906	121873									
Nord	843992	786342	505651	254550	125243	2515778	431739	395609	249339	109112	39410	1225209	412253	390733	256312	145438	85833	1290569									
Oise	227257	223030	140182	62041	33266	685776	116637	113971	72479	28273	11426	342786	110620	109059	67703	33768	21840	342990									
Orne	90063	84953	64820	37957	19677	297470	46456	43289	31990	17202	6523	145460	43607	41664	32830	20755	13154	152010									
Pas-de-Calais	468443	428031	292986	161106	72565	1423131	239779	216650	142354	68787	23025	690595	228664	211381	150632	92319	49540	732536									
Puy-de-Dôme	169232	183835	133988	72251	37703	597009	86140	93301	66825	32660	12584	291510	83092	90534	67163	39591	25119	305499									
Pyrénées-Atlantiques	150688	159549	129372	78489	44335	562433	76914	79779	63188	35255	15248	270384	73774	79770	66184	43234	29087	292049									
Hautes-Pyrénées	56898	63424	55261	34306	18537	228426	29651	32105	27037	15765	6506	111064	27247	31319	28224	18541	12031	117362									
