	Ensemble						Hommes						Femmes														
Pyrénées-Orientales	85253	89312	80864	59409	29947	344785	43746	44018	38599	27369	11338	165070	41507	45294	42265	32040	18609	179715									
Bas-Rhin	276197	303684	202294	96201	50563	928939	139928	154709	101861	38696	16391	451585	136269	148975	100433	57505	34172	477354									
Haut-Rhin	193913	211866	147972	66903	36245	656899	99592	109047	74874	27658	11138	322309	94321	102819	73098	39245	25107	334590									
Rhône	438505	465788	326393	149567	77818	1458071	222426	232328	162797	65386	24101	707038	216079	233460	163596	84181	53717	751033									
Haute-Saône	70600	66559	49445	29092	16469	232165	36565	34481	25172	12975	5737	114930	34035	32078	24273	16117	10732	117235									
Saône-et-Loire	159834	159076	127914	76504	43830	567158	82434	81429	63814	34792	15375	277844	77400	77647	64100	41712	28455	289314									
Sarthe	156668	149898	107145	62093	33960	509764	80606	76062	52810	28295	11777	249550	76062	73836	54335	33798	22183	260214									
Savoie	95818	102593	73574	37597	19033	328615	48879	52611	37152	16881	6557	162080	46939	49982	36422	20716	12476	166535									
Haute-Savoie	157867	175037	113529	51271	23967	521671	81366	88717	57825	22944	8158	259010	76501	86320	55704	28327	15809	262661									
Paris	445570	779256	489229	280661	171262	2165978	223255	384237	234339	110731	52943	1005505	222315	395019	254890	169930	118319	1160473									
Seine-Maritime	379705	381358	250130	129135	65251	1205579	193912	191417	123434	56991	21101	586855	185793	189941	126696	72144	44150	618724									
Seine-et-Marne	312359	311755	197403	77534	44620	943671	160214	155162	101923	34851	15444	467594	152145	156593	95480	42683	29176	476077									
Yvelines	397078	405204	287583	93379	47849	1231093	204167	201208	147412	41872	15227	609886	192911	203996	140171	51507	32622	621207									
Deux-Sèvres	100701	97168	74518	45296	25746	343429	51873	49350	37310	21221	10109	169863	48828	47818	37208	24075	15637	173566									
Somme	174660	166468	110455	62332	33530	547445	88762	83721	54709	28269	11817	267278	85898	82747	55746	34063	21713	280167									
Tarn	88537	92353	80735	50324	29857	341806	45855	46628	39448	23418	11020	166369	42682	45725	41287	26906	18837	175437									
Tarn-et-Garonne	50964	54012	44067	28897	16183	194123	26372	27575	21617	13606	6038	95208	24592	26437	22450	15291	10145	98915									
Var	190637	209068	175419	114845	54614	744583	98661	105364	86647	52159	19498	362329	91976	103704	88772	62686	35116	382254									
Vaucluse	124394	130088	101585	56309	28394	440770	63955	65408	50636	25455	10121	215575	60439	64680	50949	30854	18273	225195									
Vendée	151771	141891	103584	64319	33126	494691	78446	72628	51371	29554	11652	243651	73325	69263	52213	34765	21474	251040									
Vienne	109411	110092	78379	48389	28337	374608	55452	55360	38965	22602	10700	183079	53959	54732	39414	25787	17637	191529									
Haute-Vienne	88952	101150	81417	53240	33259	358018	45214	50857	40246	24250	11890	172457	43738	50293	41171	28990	21369	185561									
Vosges	118630	115580	84271	46936	26241	391658	61030	59465	41962	20322	8409	191188	57600	56115	42309	26614	17832	200470									
Yonne	89070	89011	65423	44042	27981	315527	46187	45853	33310	20104	10481	155935	42883	43158	32113	23938	17500	159592									
Territoire de Belfort	40830	42514	29220	13798	7108	133470	21395	22224	14816	6049	2287	66771	19435	20290	14404	7749	4821	66699									
Essonne	324385	343883	233348	72954	40191	1014761	166441	172285	119233	32995	12824	503778	157944	171598	114115	39959	27367	510983									
Hauts-de-Seine	352488	478493	328516	149516	77232	1386245	178359	238541	163582	63904	23515	667901	174129	239952	164934	85612	53717	718344									
Seine-Saint-Denis	404322	468868	300564	112623	53898	1340275	206561	234993	154687	49301	16787	662329	197761	233875	145877	63322	37111	677946									
Val-de-Marne	332720	413101	277532	114486	60968	1198807	169046	206906	138349	49697	18374	582372	163674	206195	139183	64789	42594	616435									
Val-d'Oise	311429	327523	209797	72272	37009	958030	159412	162137	107208	32313	11621	472691	152017	165386	102589	39959	25388	485339									
	16091820	16980965	12118273	6506109	3460136	55157303	8235204	8561504	6027146	2893839	1172427	26890120	7856616	8419461	6091127	3612270	2287709	28267183									
																											
																											
																											
																											
																											
																											
																											
																											
																											
