	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	128770	122608	91120	44789	23311	410598	66078	63298	46836	20501	8109	204822	62692	59310	44284	24288	15202	205776									
Aisne	175976	151539	118795	57354	30308	533972	90451	78024	59405	25334	10748	263962	85525	73515	59390	32020	19560	270010									
Allier	101086	94606	90598	54388	30615	371293	51743	48260	44735	24589	10847	180174	49343	46346	45863	29799	19768	191119									
Alpes-de-Haute-Provence	32404	31784	28321	16707	8625	117841	16857	16351	14382	7940	3192	58722	15547	15433	13939	8767	5433	59119									
Hautes-Alpes	29213	30451	23946	13615	6714	103939	15185	15698	12234	6425	2445	51987	14028	14753	11712	7190	4269	51952									
Alpes-Maritimes	201267	228128	211611	147619	81470	870095	102612	112808	100685	62906	28844	407855	98655	115320	110926	84713	52626	462240									
Ardèche	76755	70717	62547	36080	19952	266051	39494	36423	31618	16243	6718	130496	37261	34294	30929	19837	13234	135555									
Ardennes	103188	84416	68286	31394	16191	303475	52830	43793	34386	13978	5616	150603	50358	40623	33900	17416	10575	152872									
Ariège	33660	33026	33388	22634	13283	135991	17292	17253	16552	10791	5128	67016	16368	15773	16836	11843	8155	68975									
Aube	88680	83525	63424	33899	19143	288671	45649	42907	31563	15209	6781	142109	43031	40618	31861	18690	12362	146562									
Aude	71722	69369	67930	44722	25448	279191	37382	35732	33056	20750	9601	136521	34340	33637	34874	23972	15847	142670									
Aveyron	74771	69667	67909	43126	23256	278729	38284	36056	33848	19932	8544	136664	36487	33611	34061	23194	14712	142065									
Bouches-du-Rhône	499296	508580	404431	202342	95545	1710194	256006	255698	201695	90439	31906	835744	243290	252882	202736	111903	63639	874450									
Calvados	195638	175961	125053	59736	28450	584838	99858	88711	60930	25730	8747	283976	95780	87250	64123	34006	19703	300862									
Cantal	47030	42114	38837	23565	12060	163606	24044	22264	19682	10811	4321	81122	22986	19850	19155	12754	7739	82484									
Charente	98394	91545	80037	45394	25099	340469	50273	46284	39784	20687	8834	165862	48121	45261	40253	24707	16265	174607									
Charente-Maritime	149720	135284	118114	71066	36668	510852	76889	68718	57821	32765	13177	249370	72831	66566	60293	38301	23491	261482									
Cher	91503	86634	73215	43976	23911	319239	46690	44878	36870	19880	8520	156838	44813	41756	36345	24096	15391	162401									
Corrèze	61309	61182	59417	38817	20942	241667	31525	31548	29144	17799	7564	117580	29784	29634	30273	21018	13378	124087									
Corse-du-Sud	28008	30417	25995	15751	7217	107388	14148	16543	13371	7305	2326	53693	13860	13874	12624	8446	4891	53695									
