	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	127107	119195	91301	43861	22675	404139	65217	61852	46898	19960	7871	201798	61890	57343	44403	23901	14804	202341									
Aisne	177074	149106	121068	56158	29795	533201	90962	76775	60619	24762	10558	263676	86112	72331	60449	31396	19237	269525									
Allier	102295	93292	92533	54118	30014	372252	52336	47622	45725	24458	10519	180660	49959	45670	46808	29660	19495	191592									
Alpes-de-Haute-Provence	32507	31054	28492	16363	8354	116770	16917	15987	14451	7784	3077	58216	15590	15067	14041	8579	5277	58554									
Hautes-Alpes	29168	29543	24231	13235	6561	102738	15150	15227	12367	6290	2360	51394	14018	14316	11864	6945	4201	51344									
Alpes-Maritimes	200174	223880	212318	144697	79025	860094	101988	111087	100899	61518	27943	403435	98186	112793	111419	83179	51082	456659									
Ardèche	76695	69228	63361	35549	19493	264326	39507	35620	32006	15923	6542	129598	37188	33608	31355	19626	12951	134728									
Ardennes	104521	83526	69332	30996	15897	304272	53538	43444	34899	13806	5494	151181	50983	40082	34433	17190	10403	153091									
Ariège	33970	32332	34320	22448	13083	136153	17444	16892	17070	10670	5024	67100	16526	15440	17250	11778	8059	69053									
Aube	89153	82333	64089	33588	18704	287867	45867	42376	31847	15033	6610	141733	43286	39957	32242	18555	12094	146134									
Aude	71819	67271	69910	43976	24776	277752	37457	34557	34014	20322	9327	135677	34362	32714	35896	23654	15449	142075									
Aveyron	75287	68327	69320	42968	22563	278465	38533	35285	34574	19894	8195	136481	36754	33042	34746	23074	14368	141984									
Bouches-du-Rhône	497615	500449	407460	196895	93021	1695440	255062	252498	202901	87679	30905	829045	242553	247951	204559	109216	62116	866395									
Calvados	195976	172080	126718	57843	27549	580166	100062	86772	61747	24840	8368	281789	95914	85308	64971	33003	19181	298377									
Cantal	47733	41499	39728	23441	11742	164143	24454	21875	20154	10759	4158	81400	23279	19624	19574	12682	7584	82743									
Charente	99206	89756	81531	44937	24314	339744	50652	45452	40488	20478	8500	165570	48554	44304	41043	24459	15814	174174									
Charente-Maritime	150623	132449	120328	69318	35610	508328	77260	67266	59004	31944	12649	248123	73363	65183	61324	37374	22961	260205									
Cher	92154	85198	74095	43632	23463	318542	47007	44209	37324	19725	8325	156590	45147	40989	36771	23907	15138	161952									
Corrèze	61747	59930	60901	38387	20403	241368	31810	30859	29941	17577	7323	117510	29937	29071	30960	20810	13080	123858									
Corse-du-Sud	27594	30121	25965	15409	7097	106186	13973	16706	13232	7220	2225	53356	13621	13415	12733	8189	4872	52830									
Haute-Corse	33388	37420	32053	18014	8672	129547	17313	21764	16763	8366	3047	67253	16075	15656	15290	9648	5625	62294									
Côte-d'Or	149319	139454	102702	49846	26677	467998	75603	70676	51031	22555	9117	228982	73716	68778	51671	27291	17560	239016									
Côtes-d'Armor	163488	134355	129212	74309	33369	534733	84153	69377	63610	32237	10177	259554	79335	64978	65602	42072	23192	275179									
Creuse	33655	31040	36328	25268	15542	141833	17269	16476	18357	11652	5593	69347	16386	14564	17971	13616	9949	72486									
Dordogne	97958	90808	95998	60329	30810	375903	50392	46200	47273	28224	10879	182968	47566	44608	48725	32105	19931	192935									
Doubs	162761	146091	103160	43387	19494	474893	82654	75265	51878	19142	6525	235464	80107	70826	51282	24245	12969	239429									
Drôme	117280	106757	88427	44767	22941	380172	60259	54150	43938	20197	7913	186457	57021	52607	44489	24570	15028	193715									
Eure	151295	131805	97658	46035	22480	449273	77316	67422	49416	20743	7583	222480	73979	64383	48242	25292	14897	226793									
Eure-et-Loir	114680	101919	76970	40085	20215	353869	59005	52249	39005	18568	7453	176280	55675	49670	37965	21517	12762	177589									
Finistère	250884	214856	196665	109893	48141	820439	128543	111393	95536	46910	15605	397987	122341	103463	101129	62983	32536	422452									
Gard	146958	141160	126858	67893	35058	517927	75510	71631	62339	31046	11796	252322	71448	69529	64519	36847	23262	265605									
Haute-Garonne	231991	248053	190306	92618	46199	809167	118302	124093	92915	41961	16190	393461	113689	123960	97391	50657	30009	415706									
Gers	45372	42429	45464	26954	14496	174715	23420	21780	23068	13029	5524	86821	21952	20649	22396	13925	8972	87894									
Gironde	321801	323798	257986	130974	71955	1106514	163819	161510	125417	57595	23142	531483	157982	162288	132569	73379	48813	575031									
Hérault	193751	193059	160603	91713	47507	686633	98657	96195	77322	41507	16615	330296	95094	96864	83281	50206	30892	356337									
Ille-et-Vilaine	244076	212217	165420	78563	34502	734778	124234	106474	80814	33668	10099	355289	119842	105743	84606	44895	24403	379489									
Indre	67983	61055	58821	36512	20647	245018	34783	31811	29283	16941	7526	120344	33200	29244	29538	19571	13121	124674									
Indre-et-Loire	156367	141854	110024	57950	31005	497200	79179	71120	54247	26414	10745	241705	77188	70734	55777	31536	20260	255495									
Isère	292199	281449	206904	88195	43135	911882	149781	143629	104379	38785	14048	450622	142418	137820	102525	49410	29087	461260									
Jura	75449	64629	55875	30257	15492	241702	38684	33368	27767	13731	5468	119018	36765	31261	28108	16526	10024	122684									
Landes	82421	75206	73088	41670	22132	294517	42416	38360	36345	18930	7561	143612	40005	36846	36743	22740	14571	150905									
Loir-et-Cher	87523	77071	66531	39308	22064	292497	44910	39470	33279	18059	7968	143686	42613	37601	33252	21249	14096	148811									
Loire	229031	204742	177052	85719	43644	740188	116815	104062	87323	37232	13600	359032	112216	100680	89729	48487	30044	381156									
Haute-Loire	58878	52092	50167	28481	16222	205840	30245	27250	25074	12691	5537	100797	28633	24842	25093	15790	10685	105043									
Loire-Atlantique	328836	280721	220204	98211	47952	975924	168372	140652	106954	42091	14113	472182	160464	140069	113250	56120	33839	503742									
Loiret	162285	153863	115334	58681	30461	520624	82703	78397	57574	26954	11042	256670	79582	75466	57760	31727	19419	263954									
Lot	39853	37557	38399	24542	12886	153237	20455	19215	19018	11419	4633	74740	19398	18342	19381	13123	8253	78497									
Lot-et-Garonne	81983	75857	73922	42808	21807	296377	41862	38243	36374	20094	7827	144400	40121	37614	37548	22714	13980	151977									
Lozère	20707	19321	17263	11063	6109	74463	10626	10338	8897	5145	2229	37235	10081	8983	8366	5918	3880	37228									
Maine-et-Loire	232373	184558	139978	67347	36084	660340	118346	93044	68329	29829	12095	321643	114027	91514	71649	37518	23989	338697									
Manche	149144	119515	111178	56770	24807	461414	76308	61731	54700	24646	7028	224413	72836	57784	56478	32124	17779	237001									
Marne	179583	165301	115266	51790	26582	538522	91648	84329	57746	22631	9085	265439	87935	80972	57520	29159	17497	273083									
Haute-Marne	70061	57979	47259	23709	11968	210976	36068	30376	23847	10805	4097	105193	33993	27603	23412	12904	7871	105783									
Mayenne	89752	71418	61674	31190	14656	268690	45980	36172	30374	13661	4512	130699	43772	35246	31300	17529	10144	137991									
Meurthe-et-Moselle	232102	216150	166264	69996	33306	717818	118344	111085	82666	30106	10757	352958	113758	105065	83598	39890	22549	364860									
Meuse	65033	54436	46398	23227	12215	201309	33703	28350	23265	10223	4127	99668	31330	26086	23133	13004	8088	101641									
Morbihan	188965	153401	137896	72433	29930	582625	97312	79491	67788	31090	9341	285022	91653	73910	70108	41343	20589	297603									
Moselle	338154	301548	238496	90299	36567	1005064	173095	155954	120947	39635	12379	502010	165059	145594	117549	50664	24188	503054									
Nièvre	66570	60215	57115	36375	21264	241539	34196	31186	28458	16486	7529	117855	32374	29029	28657	19889	13735	123684									
Nord	870968	727122	561078	235383	116952	2511503	444471	370491	276399	98128	37365	1226854	426497	356631	284679	137255	79587	1284649									
Oise	221844	196876	136914	57432	30319	643385	113872	101791	70441	25781	10332	322217	107972	95085	66473	31651	19987	321168									
Orne	96247	78162	68960	34261	17042	294672	49315	40063	34166	15154	5385	144083	46932	38099	34794	19107	11657	150589									
Pas-de-Calais	485884	387179	321497	147834	64896	1407290	248108	198028	156384	61854	20708	685082	237776	189151	165113	85980	44188	722208									
Puy-de-Dôme	174321	173617	141445	66513	34125	590021	89074	89205	70589	29650	11122	289640	85247	84412	70856	36863	23003	300381									
Pyrénées-Atlantiques	157851	144218	133202	75038	38604	548913	80443	72230	65497	33450	12987	264607	77408	71988	67705	41588	25617	284306									
Hautes-Pyrénées	61682	59408	58039	32377	15728	227234	31700	30035	28456	14924	5335	110450	29982	29373	29583	17453	10393	116784									
Pyrénées-Orientales	86268	77363	81328	53601	24523	323083	44437	38049	39029	24797	9129	155441	41831	39314	42299	28804	15394	167642									
Bas-Rhin	283329	276866	204042	95432	44151	903820	143963	143303	99880	39297	14621	441064	139366	133563	104162	56135	29530	462756									
Haut-Rhin	202773	194978	150345	64580	32158	644834	103772	101355	74674	26291	10134	316226	99001	93623	75671	38289	22024	328608									
Rhône	447664	443393	335505	141264	70320	1438146	227955	223298	167014	59211	21801	699279	219709	220095	168491	82053	48519	738867									
Haute-Saône	74444	61869	50425	27740	14345	228823	38384	32229	25376	12303	4893	113185	36060	29640	25049	15437	9452	115638									
Saône-et-Loire	173093	150158	135849	72565	39485	571150	88945	77125	67861	32556	13611	280098	84148	73033	67988	40009	25874	291052									
Sarthe	165870	136562	111160	57522	29386	500500	85303	69252	54731	25835	9761	244882	80567	67310	56429	31687	19625	255618									
Savoie	97505	94088	74443	34567	16926	317529	49938	48481	37506	15627	5723	157275	47567	45607	36937	18940	11203	160254									
Haute-Savoie	152088	154054	106884	45606	20172	478804	78109	78445	53846	20242	6832	237474	73979	75609	53038	25364	13340	241330									
Paris	437432	771100	536946	300864	164814	2211156	219650	385019	251785	115539	49810	1021803	217782	386081	285161	185325	115004	1189353									
Seine-Maritime	391741	353275	263165	120456	57043	1185680	199941	179648	129787	52200	18140	579716	191800	173627	133378	68256	38903	605964									
Seine-et-Marne	285200	262536	182277	73677	39921	843611	145869	132399	93257	32801	13720	418046	139331	130137	89020	40876	26201	425565									
Yvelines	389343	375212	272257	80202	42289	1159303	199756	188455	139039	35112	13136	575498	189587	186757	133218	45090	29153	583805									
Deux-Sèvres	107799	89251	78798	42430	22528	340806	55481	45578	39406	19890	8379	168734	52318	43673	39392	22540	14149	172072									
Somme	182253	152651	117179	59328	30874	542285	92746	77626	58072	26338	10855	265637	89507	75025	59107	32990	20019	276648									
Tarn	93831	85233	86842	46862	26173	338941	48603	42863	42703	21655	9456	165280	45228	42370	44139	25207	16717	173661									
Tarn-et-Garonne	53057	48097	46221	27097	13827	188299	27230	24547	22708	12650	5065	92200	25827	23550	23513	14447	8762	96099									
Var	183176	185150	166581	101882	44906	681695	94678	94996	81654	46503	15374	333205	88498	90154	84927	55379	29532	348490									
Vaucluse	123863	118906	98058	50530	23934	415291	63667	60987	48651	22791	8375	204471	60196	57919	49407	27739	15559	210820									
Vendée	155516	125223	106094	57522	28370	472725	79701	64332	52611	25964	9652	232260	75815	60891	53483	31558	18718	240465									
Vienne	112141	101183	82393	46202	24957	366876	56909	51554	41074	21507	9087	180131	55232	49629	41319	24695	15870	186745									
Haute-Vienne	91368	94836	87097	52046	29110	354457	46540	47918	42953	23600	10258	171269	44828	46918	44144	28446	18852	183188									
Vosges	128392	108607	90139	46295	22908	396341	65825	56224	44497	19672	7270	193488	62567	52383	45642	26623	15638	202853									
Yonne	90182	79984	67948	43810	25206	307130	46394	41682	34370	20050	9298	151794	43788	38302	33578	23760	15908	155336									
Territoire de Belfort	41950	39429	30153	12777	6463	130772	21685	20520	15252	5418	2084	64959	20265	18909	14901	7359	4379	65813									
Essonne	327688	313698	224145	64758	36520	966809	167980	157825	114999	28346	11610	480760	159708	155873	109146	36412	24910	486049									
Hauts-de-Seine	364574	460216	362174	141233	72350	1400547	185022	232767	179616	58719	21970	678094	179552	227449	182558	82514	50380	722453									
Seine-Saint-Denis	412619	429135	320782	105341	51683	1319560	210927	219329	162986	44890	16164	654296	201692	209806	157796	60451	35519	665264									
