	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	154826	147366	164828	71681	42654	581355	79177	74352	82715	34971	16019	287234	75649	73014	82113	36710	26635	294121							
Aisne	140544	131229	151630	69382	46005	538790	71937	65621	75707	32340	16415	262020	68607	65608	75923	37042	29590	276770							
Allier	71480	73290	97231	57314	43492	342807	36812	36908	48013	26634	15923	164290	34668	36382	49218	30680	27569	178517							
Alpes-de-Haute-Provence	36266	32664	45454	26838	16743	157965	18840	16078	22246	12842	6542	76548	17426	16586	23208	13996	10201	81417							
Hautes-Alpes	31318	29360	39384	20677	13466	134205	15955	14706	19609	9962	5222	65454	15363	14654	19775	10715	8244	68751							
Alpes-Maritimes	238363	254862	292633	172567	126003	1084428	122804	124564	139620	78719	46328	512035	115559	130298	153013	93848	79675	572393							
Ardèche	72753	67836	88287	49187	33389	311452	37393	33943	44128	23709	12430	151603	35360	33893	44159	25478	20959	159849							
Ardennes	72286	68842	80977	37600	24492	284197	37520	34591	40614	17704	8802	139231	34766	34251	40363	19896	15690	144966							
Ariège	32346	32120	43332	24008	18395	150201	16621	16196	21731	11497	7256	73301	15725	15924	21601	12511	11139	76900							
Aube	74148	73981	83549	41805	27844	301327	37988	37249	41387	19890	10062	146576	36160	36732	42162	21915	17782	154751							
Aude	78326	76147	96438	57768	40558	349237	40033	37953	47262	27525	15847	168620	38293	38194	49176	30243	24711	180617							
Aveyron	58025	57907	77227	46347	36383	275889	29974	29443	39194	22181	14243	135035	28051	28464	38033	24166	22140	140854							
Bouches-du-Rhône	483099	509802	531957	270755	170392	1966005	247275	248155	253639	125944	62567	937580	235824	261647	278318	144811	107825	1028425							
Calvados	172818	172121	185551	89406	58310	678206	88033	85700	90745	41017	20533	326028	84785	86421	94806	48389	37777	352178							
Cantal	29055	31520	43867	25025	19270	148737	14933	16009	22344	11874	7260	72420	14122	15511	21523	13151	12010	76317							
Charente	76795	77997	102027	54925	39837	351581	39385	39260	50322	26089	15073	170129	37410	38737	51705	28836	24764	181452							
Charente-Maritime	133289	133797	169948	103604	71076	611714	68720	67167	82192	48858	27496	294433	64569	66630	87756	54746	43580	317281							
Cher	69336	69741	89562	50514	34098	313251	35436	35441	44288	24242	12817	152224	33900	34300	45274	26272	21281	161027							
Corrèze	49356	52043	68978	40298	32221	242896	25755	26834	34449	18906	11829	117773	23601	25209	34529	21392	20392	125123							
Corse-du-Sud	29550	32696	41309	23175	14223	140953	15309	15901	20389	11046	5658	68303	14241	16795	20920	12129	8565	72650							
Haute-Corse	33481	40763	46029	26014	15726	162013	17320	20727	22902	12622	5958	79529	16161	20036	23127	13392	9768	82484							
Côte-d'Or	125135	138039	143695	68552	46187	521608	63491	68174	70657	32378	17017	251717	61644	69865	73038	36174	29170	269891							
Côtes-d'Armor	135907	124751	160830	94996	65086	581570	70006	63342	80318	44013	23265	280944	65901	61409	80512	50983	41821	300626							
Creuse	23712	23610	35878	22162	18545	123907	12210	12065	18265	10651	7085	60276	11502	11545	17613	11511	11460	63631							
Dordogne	84076	81550	118200	72519	53043	409388	42974	40527	58077	34625	20478	196681	41102	41023	60123	37894	32565	212707							
Doubs	132405	141106	139801	68636	40737	522685	68191	71545	69011	32529	15324	256600	64214	69561	70790	36107	25413	266085							
Drôme	119620	111908	133109	70062	43370	478069	61568	55750	65278	33301	16384	232281	58052	56158	67831	36761	26986	245788							
Eure	154353	143543	163513	73027	42651	577087	78940	71556	81295	34811	15565	282167	75413	71987	82218	38216	27086	294920							
Eure-et-Loir	108430	105077	118848	54453	36751	423559	55552	52760	59201	26001	14160	207674	52878	52317	59647	28452	22591	215885							
Finistère	210898	212874	247660	129717	89360	890509	108361	109437	123786	59144	30355	431083	102537	103437	123874	70573	59005	459426							
Gard	169156	160477	196045	103920	64725	694323	86592	78919	95383	49242	24858	334994	82564	81558	100662	54678	39867	359329							
