	Ensemble						Hommes						Femmes												
Haute-Garonne	297302	362769	325773	141516	89984	1217344	152231	183242	159675	66047	33332	594527	145071	179527	166098	75469	56652	622817							
Gers	38428	36535	54273	31672	24358	185266	19567	18264	26973	15313	9991	90108	18861	18271	27300	16359	14367	95158							
Gironde	337949	383529	392394	183629	123775	1421276	172269	189510	189216	85770	44193	680958	165680	194019	203178	97859	79582	740318							
Hérault	241693	265875	268869	148687	94674	1019798	123113	129257	127731	69855	36210	486166	118580	136618	141138	78832	58464	533632							
Ille-et-Vilaine	252969	269622	253673	115077	76247	967588	129010	136226	125735	53335	28083	472389	123959	133396	127938	61742	48164	495199							
Indre	48645	49273	65478	39254	29354	232004	24848	24972	32862	18514	11169	112365	23797	24301	32616	20740	18185	119639							
Indre-et-Loire	142015	148869	159210	80073	55239	585406	72457	73168	77962	37557	20711	281855	69558	75701	81248	42516	34528	303551							
Isère	313239	319149	319546	149464	87262	1188660	161360	161143	157809	71585	32761	584658	151879	158006	161737	77879	54501	604002							
Jura	63845	59626	72523	38276	26470	260740	32909	29972	36189	18237	9904	127211	30936	29654	36334	20039	16566	133529							
Landes	83039	82183	107536	60426	39958	373142	42828	41468	53118	28668	15119	181201	40211	40715	54418	31758	24839	191941							
Loir-et-Cher	76018	72093	91293	50268	36927	326599	38941	36191	45372	23791	14408	158703	37077	35902	45921	26477	22519	167896							
Loire	181019	179646	199089	108476	73846	742076	92479	90266	97413	50912	26275	357345	88540	89380	101676	57564	47571	384731							
Haute-Loire	52453	49194	62639	34219	23329	221834	26959	25031	32150	16342	8472	108954	25494	24163	30489	17877	14857	112880							
Loire-Atlantique	327016	335206	339721	154865	99063	1255871	167167	169056	166773	71238	34740	608974	159849	166150	172948	83627	64323	646897							
Loiret	164364	167688	177159	85544	56014	650769	83900	84190	87409	40943	21377	317819	80464	83498	89750	44601	34637	332950							
Lot	34912	33715	50021	31236	22912	172796	18033	16899	24811	15039	9125	83907	16879	16816	25210	16197	13787	88889							
Lot-et-Garonne	71662	70007	91530	53857	39343	326399	37253	34743	44658	25662	15196	157512	34409	35264	46872	28195	24147	168887							
Lozère	16308	17428	22181	12243	8813	76973	8601	9010	11532	6053	3494	38690	7707	8418	10649	6190	5319	38283							
Maine-et-Loire	206070	199144	205314	96777	67518	774823	104890	99704	101391	45240	25283	376508	101180	99440	103923	51537	42235	398315							
Manche	118589	110897	139391	74762	53298	496937	60931	56055	70600	34900	19651	242137	57658	54842	68791	39862	33647	254800							
Marne	141420	153636	155268	70668	45018	566010	72385	77416	75764	33160	15769	274494	69035	76220	79504	37508	29249	291516							
Haute-Marne	43169	42604	53573	28040	19084	186470	22163	21834	26917	13417	6976	91307	21006	20770	26656	14623	12108	95163							
Mayenne	78100	72415	81400	40606	30462	302983	40204	37205	41052	19089	11667	149217	37896	35210	40348	21517	18795	153766							
Meurthe-et-Moselle	179911	199380	197142	93076	60259	729768	91926	100424	96371	43205	21239	353165	87985	98956	100771	49871	39020	376603							
Meuse	47406	46922	55368	26260	18262	194218	24562	24401	28075	12517	6600	96155	22844	22521	27293	13743	11662	98063							
Morbihan	167898	163259	199359	109741	69777	710034	86606	83823	99062	50916	24645	345052	81292	79436	100297	58825	45132	364982							
Moselle	247287	273578	305317	136192	79856	1042230	126948	138690	151570	64068	29248	510524	120339	134888	153747	72124	50608	531706							
Nièvre	45337	44473	63636	38902	28305	220653	23190	22553	31410	18374	10292	105819	22147	21920	32226	20528	18013	114834							
Nord	702810	715658	675782	290368	180341	2564959	359874	356040	329387	130501	60439	1236241	342936	359618	346395	159867	119902	1328718							
Oise	218436	212416	226512	91490	50871	799725	111666	106609	112593	44516	18682	394066	106770	105807	113919	46974	32189	405659							
Orne	69223	63967	81972	44885	32235	292282	35663	32419	40973	21238	12058	142351	33560	31548	40999	23647	20177	149931							
Pas-de-Calais	391949	376735	400266	176833	113748	1459531	201347	187914	198033	79167	37813	704274	190602	188821	202233	97666	75935	755257							
Puy-de-Dôme	138948	163161	177961	90152	58263	628485	70638	82152	87937	42566	20335	303628	68310	81009	90024	47586	37928	324857							
Pyrénées-Atlantiques	143002	151137	183292	99375	70614	647420	73440	76336	89603	45907	26073	311359	69562	74801	93689	53468	44541	336061							
Hautes-Pyrénées	48214	47928	66686	38161	28090	229079	24949	24415	32639	17721	10374	110098	23265	23513	34047	20440	17716	118981							
Pyrénées-Orientales	98932	99197	118255	73580	51423	441387	50891	48106	56343	34269	19711	209320	48041	51091	61912	39311	31712	232067							
Bas-Rhin	268072	301122	309084	133703	79034	1091015	136270	149304	154246	63784	27668	531272	131802	151818	154838	69919	51366	559743							
Haut-Rhin	183768	192255	216065	95838	58146	746072	94232	96525	108184	46242	20655	365838	89536	95730	107881	49596	37491	380234							
Rhône	437289	491252	425013	205504	131440	1690498	221511	241223	205314	96319	47554	811921	215778	250029	219699	109185	83886	878577							
Haute-Saône	58363	55999	67899	34437	21850	238548	30215	28487	34243	16658	8111	117714	28148	27512	33656	17779	13739	120834							
Saône-et-Loire	124985	120512	157469	88262	62740	553968	64937	61087	78191	41685	23324	269224	60048	59425	79278	46577	39416	284744							
Sarthe	141016	135223	152834	76589	53925	559587	72081	68395	75992	36076	20446	272990	68935	66828	76842	40513	33479	286597							
Savoie	100419	103707	115258	54661	34797	408842	51939	52910	57507	25840	12849	201045	48480	50797	57751	28821	21948	207797							
Haute-Savoie	184655	191581	203859	88816	47366	716277	95404	96833	100824	42426	17507	352994	89251	94748	103035	46390	29859	363283							
Paris	438248	780427	566535	260902	165185	2211297	220761	379195	270451	116485	55904	1042796	217487	401232	296084	144417	109281	1168501							
Seine-Maritime	319253	325037	340938	159610	103742	1248580	162237	160943	166256	73115	36513	599064	157016	164094	174682	86495	67229	649516							
Seine-et-Marne	370829	363177	365436	133870	70390	1303702	189389	178544	180474	64717	25350	638474	181440	184633	184962	69153	45040	665228							
Yvelines	387063	374465	392300	164075	88150	1406053	198233	186484	189923	79091	32834	686565	188830	187981	202377	84984	55316	719488							
Deux-Sèvres	85185	84459	102802	53468	39145	365059	43805	42657	51102	25714	15421	178699	41380	41802	51700	27754	23724	186360							
Somme	143446	150295	154027	73240	47078	568086	73372	74857	76256	34095	17257	275837	70074	75438	77771	39145	29821	292249							
Tarn	83662	80424	104183	58239	45230	371738	42935	40242	51080	27461	17695	179413	40727	40182	53103	30778	27535	192325							
Tarn-et-Garonne	56493	54233	66132	34276	24781	235915	28868	27127	32942	16335	9736	115008	27625	27106	33190	17941	15045	120907							
Var	223791	221223	273742	173075	109577	1001408	115014	110620	131179	81586	42383	480782	108777	110603	142563	91489	67194	520626							
Vaucluse	133815	127812	148999	79666	48610	538902	68787	62811	71815	37602	18321	259336	65028	65001	77184	42064	30289	279566							
Vendée	146478	144744	169195	95453	61036	616906	75208	73762	84571	45649	23428	302618	71270	70982	84624	49804	37608	314288							
Vienne	99990	109960	114296	58362	41746	424354	50573	54019	56491	27865	16009	204957	49417	55941	57805	30497	25737	219397							
Haute-Vienne	78493	91250	103965	56594	43638	373940	39828	45208	51019	26505	16363	178923	38665	46042	52946	30089	27275	195017							
Vosges	91528	87889	109388	54765	36575	380145	47113	44691	54448	25795	12612	184659	44415	43198	54940	28970	23963	195486							
Yonne	81011	77098	96142	51255	36853	342359	41632	38498	47858	24679	13742	166409	39379	38600	48284	26576	23111	175950							
Territoire de Belfort	35780	37962	38870	17972	11374	141958	18692	20181	19344	8591	4011	70819	17088	17781	19526	9381	7363	71139							
Essonne	334102	332394	332529	135648	71177	1205850	171021	166060	163453	64874	26202	591610	163081	166334	169076	70774	44975	614240							
Hauts-de-Seine	388128	481383	402897	165819	111392	1549619	197148	234797	191358	75858	38870	738031	190980	246586	211539	89961	72522	811588							
Seine-Saint-Denis	435275	453220	396497	144613	76861	1506466	221434	221541	195547	71205	27292	737019	213841	231679	200950	73408	49569	769447							
Val-de-Marne	338941	387365	353283	143711	87576	1310876	173675	188133	170422	66804	30537	629571	165266	199232	182861	76907	57039	681305							
Val-d'Oise	336768	327003	322559	117025	62042	1165397	172586	159862	156380	56331	22160	567319	164182	167141	166179	60694	39882	598078							
	15337575	16131404	17039375	8265032	5361480	62134866	7850203	8034573	8358745	3880286	1960940	30084747	7487372	8096831	8680630	4384746	3400540	32050119							
Guadeloupe 	122315	96835	112364	46794	23476	401784	62866	43428	51583	21311	9201	188389	59449	53407	60781	25483	14275	213395							
Martinique 	111701	94918	115236	50072	25766	397693	56042	42924	52617	22942	9912	184437	55659	51994	62619	27130	15854	213256							
Guyane	97230	65337	43598	9786	3315	219266	49041	31065	22178	5039	1350	108673	48189	34272	21420	4747	1965	110593							
La Réunion	280064	228427	207299	67556	24904	808250	143232	107767	100891	31137	9014	392041	136832	120660	106408	36419	15890	416209							
	611310	485517	478497	174208	77461	1826993	311181	225184	227269	80429	29477	873540	300129	260333	251228	93779	47984	953453							
	15948885	16616921	17517872	8439240	5438941	63961859	8161384	8259757	8586014	3960715	1990417	30958287	7787501	8357164	8931858	4478525	3448524	33003572							
																									
																									
																									
