	Ensemble						Hommes						Femmes																																																																																			
Corrèze	51908	61654	56120	43261	23999	236942	26730	31562	28063	19890	8629	114874	25178	30092	28057	23371	15370	122068																																																																														
Corse-du-Sud	29243	33672	29056	18520	8585	119076	15097	16755	15004	8595	2981	58432	14146	16917	14052	9925	5604	60644																																																																														
Haute-Corse	31135	38596	32462	20294	10135	132622	15860	19787	17164	9383	3667	65861	15275	18809	15298	10911	6468	66761																																																																														
Côte-d'Or	136440	153973	113728	61116	32306	497563	69033	76305	57135	27855	11313	241641	67407	77668	56593	33261	20993	255922																																																																														
Côtes-d'Armor	138863	138870	125436	91760	42325	537254	71123	71649	62400	41128	13759	260059	67740	67221	63036	50632	28566	277195																																																																														
Creuse	25988	31293	29906	26206	16255	129648	13390	16388	15260	12449	5762	63249	12598	14905	14646	13757	10493	66399																																																																														
Dordogne	86727	98701	91552	72318	37768	387066	44663	49813	45290	33949	13907	187622	42064	48888	46262	38369	23861	199444																																																																														
Doubs	141861	150777	114223	56458	25637	488956	72518	75802	57833	25721	8852	240726	69343	74975	56390	30737	16785	248230																																																																														
Drôme	115227	118321	99984	57356	28557	419445	59199	59479	49852	26550	10121	205201	56028	58842	50132	30806	18436	214244																																																																														
Eure	158025	156918	118776	60714	28044	522477	81117	79102	60698	28210	9535	258662	76908	77816	58078	32504	18509	263815																																																																														
Eure-et-Loir	119216	116059	90673	49775	25600	401323	61022	58088	46508	23303	9518	198439	58194	57971	44165	26472	16082	202884																																																																														
Finistère	220594	238278	190049	128097	61439	838457	113321	123121	94244	55823	19869	406378	107273	115157	95805	72274	41570	432079																																																																														
Gard	152483	167665	141459	89161	42655	593423	78049	84189	70385	41183	15173	288979	74434	83476	71074	47978	27482	304444																																																																														
Haute-Garonne	236594	320210	222975	115869	59481	955129	120450	159509	109621	52608	21422	463610	116144	160701	113354	63261	38059	491519																																																																														
Gers	37638	44912	42283	31524	17745	174102	19465	22951	21235	15411	6995	86057	18173	21961	21048	16113	10750	88045																																																																														
Gironde	318177	380023	287604	163912	83662	1233378	162303	187105	141711	73771	27781	592671	155874	192918	145893	90141	55881	640707																																																																														
Hérault	205016	243598	188069	121083	59551	817317	104501	118575	91472	55541	21839	391928	100515	125023	96597	65542	37712	425389																																																																														
Ille-et-Vilaine	232641	252571	179909	101329	45855	812305	118726	126671	88838	45405	14810	394450	113915	125900	91071	55924	31045	417855																																																																														
Indre	54428	62611	55649	40136	23643	236467	27832	32080	28080	18772	8726	115490	26596	30531	27569	21364	14917	120977																																																																														
Indre-et-Loire	143043	159715	122455	70511	38976	534700	72342	78808	60721	32516	14017	258404	70701	80907	61734	37995	24959	276296																																																																														
Isère	295818	322918	243688	118248	54395	1035067	151780	162997	123038	54308	18078	510201	144038	159921	120650	63940	36317	524866																																																																														
Jura	67495	69612	57654	36464	18596	249821	34630	35514	29148	16861	6770	122923	32865	34098	28506	19603	11826	126898																																																																														
Landes	74865	85219	75651	52638	26888	315261	38673	43672	37509	24823	9308	153985	36192	41547	38142	27815	17580	161276																																																																														
Loir-et-Cher	79115	84124	71001	47474	26768	308482	40450	42754	35719	22409	9828	151160	38665	41370	35282	25065	16940	157322																																																																														
Loire	203695	207385	177084	103955	52164	744283	104340	103866	88188	46600	17074	360068	99355	103519	88896	57355	35090	384215																																																																														
Haute-Loire	52169	56002	48275	32886	17307	206639	26881	29099	24703	15106	5955	101744	25288	26903	23572	17780	11352	104895																																																																														
Loire-Atlantique	312779	318466	245742	131288	60708	1068983	159526	159793	120939	57899	19485	517642	153253	158673	124803	73389	41223	551341																																																																														
Loiret	165948	175520	136400	74710	38451	591029	84415	88071	68884	34616	14147	290133	81533	87449	67516	40094	24304	300896																																																																														
Lot	34776	39542	37219	29612	15831	156980	17897	20125	18522	14027	5824	76395	16879	19417	18697	15585	10007	80585																																																																														
Lot-et-Garonne	74127	79514	72903	51553	26897	304994	38019	39712	36083	24173	10065	148052	36108	39802	36820	27380	16832	156942																																																																														
Lozère	17263	19564	16772	11809	6982	72390	8868	10291	8807	5772	2553	36291	8395	9273	7965	6037	4429	36099																																																																														
Maine-et-Loire	217169	209010	152280	86724	45086	710269	110999	104401	75025	39683	15789	345897	106170	104609	77255	47041	29297	364372																																																																														
Manche	134154	135032	105626	72780	31816	479408	68810	70139	52599	33297	10214	235059	65344	64893	53027	39483	21602	244349																																																																														
Marne	161485	177261	126759	63253	31651	560409	82350	88747	63983	28393	10665	274138	79135	88514	62776	34860	20986	286271																																																																														
Haute-Marne	56642	57289	45879	28068	14174	202052	29302	29276	23515	12933	4944	99970	27340	28013	22364	15135	9230	102082																																																																														
Mayenne	81073	78123	61397	38562	19546	278701	41695	40166	30475	17930	6614	136880	39378	37957	30922	20632	12932	141821																																																																														
Meurthe-et-Moselle	198483	223428	162992	88756	39955	713614	101423	111823	81330	39535	12857	346968	97060	111605	81662	49221	27098	366646																																																																														
Meuse	55312	55662	43258	27927	13517	195676	28565	28752	21915	12845	4515	96592	26747	26910	21343	15082	9002	99084																																																																														
Morbihan	172362	175542	141485	93157	40911	623457	88691	90526	70130	41795	13193	304335	83671	85016	71355	51362	27718	319122																																																																														
Moselle	286889	320148	235663	124235	46599	1013534	147670	161602	119672	56417	15160	500521	139219	158546	115991	67818	31439	513013																																																																														
Nièvre	54858	59891	54211	40200	22571	231731	28138	30571	27316	18386	8008	112419	26720	29320	26895	21814	14563	119312																																																																														
Nord	796971	775763	544343	294287	125479	2536843	407658	386980	270250	128710	38332	1231930	389313	388783	274093	165577	87147	1304913																																																																														
Oise	230170	228706	171141	75160	34465	739642	118159	114765	88877	34729	11652	368182	112011	113941	82264	40431	22813	371460																																																																														
Orne	81313	80349	66876	44078	20698	293314	41785	41039	33458	20422	6925	143629	39528	39310	33418	23656	13773	149685																																																																														
Pas-de-Calais	447011	418987	307901	184964	75490	1434353	228633	211381	152126	80444	23016	695600	218378	207606	155775	104520	52474	738753																																																																														
Puy-de-Dôme	151217	178545	146487	82722	39377	598348	77012	89561	73782	37334	13130	290819	74205	88984	72705	45388	26247	307529																																																																														
Pyrénées-Atlantiques	141836	164366	138774	89784	48589	583349	72718	82595	67849	40841	16737	280740	69118	81771	70925	48943	31852	302609																																																																														
Hautes-Pyrénées	50571	61463	55453	37511	19825	224823	25995	31335	27325	17283	6979	108917	24576	30128	28128	20228	12846	115906																																																																														
Pyrénées-Orientales	86221	96148	85654	67881	33753	369657	44156	47610	40857	31347	12867	176837	42065	48538	44797	36534	20886	192820																																																																														
Bas-Rhin	259928	321823	222192	112262	52674	968879	132089	161397	113414	48044	16374	471318	127839	160426	108778	64218	36300	497561																																																																														
Haut-Rhin	186302	214094	159991	82224	36474	679085	95399	108417	82242	35961	11011	333030	90903	105677	77749	46263	25463	346055																																																																														
Rhône	420588	484390	362163	177245	85804	1530190	213779	238422	179722	79172	27196	738291	206809	245968	182441	98073	58608	791899																																																																														
Haute-Saône	64453	63105	53225	31592	16282	228657	33361	32430	27414	14486	5718	113409	31092	30675	25811	17106	10564	115248																																																																														
Saône-et-Loire	143732	150536	132315	86264	44882	557729	73929	76706	66442	39777	15502	272356	69803	73830	65873	46487	29380	285373																																																																														
Sarthe	143455	149069	116222	70938	36968	516652	73382	75594	57973	32808	13074	252831	70073	73475	58249	38130	23894	263821																																																																														
Savoie	95289	108602	84269	45317	21804	355281	48886	55284	42547	20722	7493	174932	46403	53318	41722	24595	14311	180349																																																																														
Haute-Savoie	165665	187188	142132	63419	28379	586783	85108	94700	72442	28835	9792	290877	80557	92488	69690	34584	18587	295906																																																																														
Paris	420010	773874	523022	258679	164343	2139928	211622	374080	253734	105637	51947	997020	208388	399794	269288	153042	112396	1142908																																																																														
Seine-Maritime	359922	376162	277260	147293	70331	1230968	183653	187149	138087	65533	22751	597173	176269	189013	139173	81760	47580	633795																																																																														
Seine-et-Marne	353209	350264	265917	97140	48692	1115222	181539	172734	136820	44743	16370	552206	171670	177530	129097	52397	32322	563016																																																																														
Yvelines	402012	410735	340956	119043	53439	1326185	205928	202925	172792	55026	17308	653979	196084	207810	168164	64017	36131	672206																																																																														
Deux-Sèvres	91779	95809	79238	51359	27646	345831	47284	48902	39806	24342	10733	171067	44495	46907	39432	27017	16913	174764																																																																														
Somme	159158	165268	120596	70642	33221	548885	81130	82794	60326	32241	11445	267936	78028	82474	60270	38401	21776	280949																																																																														
Tarn	82447	90013	81406	57252	31146	342264	42512	45596	40161	26833	11500	166602	39935	44417	41245	30419	19646	175662																																																																														
Tarn-et-Garonne	49708	55693	47420	32788	17321	202930	25488	28351	23713	15408	6558	99518	24220	27342	23707	17380	10763	103412																																																																														
Var	204864	225702	201167	139449	65984	837166	105455	112675	98920	64487	23886	405423	99409	113027	102247	74962	42098	431743																																																																														
Vaucluse	127375	135806	114820	65585	31653	475239	65442	67550	57254	30162	11246	231654	61933	68256	57566	35423	20407	243585																																																																														
Vendée	144069	143059	114370	77181	36941	515620	74200	73422	57395	36118	13121	254256	69869	69637	56975	41063	23820	261364																																																																														
Vienne	99392	113977	85760	54319	30635	384083	50955	56636	42997	25680	11429	187697	48437	57341	42763	28639	19206	196386																																																																														
Haute-Vienne	80041	98746	85282	57115	33147	354331	41011	49071	42461	26107	11860	170510	39030	49675	42821	31008	21287	183821																																																																														
Vosges	107701	108750	88675	52497	27145	384768	55282	55611	44760	23362	8773	187788	52419	53139	43915	29135	18372	196980																																																																														
Yonne	86947	87678	73337	50219	28061	326242	44757	44685	37700	23296	10159	160597	42190	42993	35637	26923	17902	165645																																																																														
Territoire de Belfort	37785	41522	31817	16081	7687	134892	19491	21575	16304	7217	2468	67055	18294	19947	15513	8864	5219	67837																																																																														
Essonne	324334	357971	282668	96403	44598	1105974	165832	180388	142499	44521	14363	547603	158502	177583	140169	51882	30235	558371																																																																														
Hauts-de-Seine	341363	470081	341620	160923	80923	1394910	173344	229550	170160	69655	25190	667899	168019	240531	171460	91268	55733	727011																																																																														
Seine-Saint-Denis	408705	464325	326620	130172	55086	1384908	208545	228190	169023	57982	17413	681153	200160	236135	157597	72190	37673	703755																																																																														
Val-de-Marne	318401	406394	299266	130931	63458	1218450	162040	201609	149497	57089	19820	590055	156361	204785	149769	73842	43638	628395																																																																														
Val-d'Oise	335977	344710	255535	91291	40186	1067699	171759	169198	130035	41337	12587	524916	164218	175512	125500	49954	27599	542783																																																																														
	15473515	17163472	13342685	7446661	3684200	57110533	7915208	8585787	6672423	3370112	1251591	27795121	7558307	8577685	6670262	4076549	2432609	29315412																																																																														
Guadeloupe	130567	117496	67785	29585	12049	357482	66177	57317	32464	13535	4625	174118	64390	60179	35321	16050	7424	183364																																																																														
Martinique	122667	117143	71563	35155	14892	361420	62325	56482	33605	16013	5569	173994	60342	60661	37958	19142	9323	187426																																																																														
Guyane	53720	41391	19679	5008	1671	121469	27219	21599	10680	2524	714	62736	26501	19792	8999	2484	957	58733																																																																														
La Réunion	253056	208493	107577	38904	12303	620333	128001	102389	53270	17551	3985	305196	125055	106104	54307	21353	8318	315137																																																																														
	560010	484523	266604	108652	40915	1460704	283722	237787	130019	49623	14893	716044	276288	246736	136585	59029	26022	744660																																																																														
	16033525	17647995	13609289	7555313	3725115	58571237	8198930	8823574	6802442	3419735	1266484	28511165	7834595	8824421	6806847	4135578	2458631	30060072																																																																														
																																																																																																
																																																																																																
																																																																																																
