	Ensemble						Hommes						Femmes																																																																																			
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																																														
Ain	140454	143853	113926	56070	28254	482557	71965	73088	59011	26359	9892	240315	68489	70765	54915	29711	18362	242242																																																																														
Aisne	158814	156963	118932	71329	31717	537755	81124	79645	60182	32468	10777	264196	77690	77318	58750	38861	20940	273559																																																																														
Allier	82287	93227	85326	61000	33355	355195	42107	47272	42365	27895	11710	171349	40180	45955	42961	33105	21645	183846																																																																														
Alpes-de-Haute-Provence	32033	36442	32309	21211	10744	132739	16389	18489	16209	10145	4086	65318	15644	17953	16100	11066	6658	67421																																																																														
Hautes-Alpes	29551	33141	26945	16792	8488	114917	15269	16851	13631	8015	3138	56904	14282	16290	13314	8777	5350	58013																																																																														
Alpes-Maritimes	217773	266137	238696	165846	100799	989251	111541	129671	114877	72861	35780	464730	106232	136466	123819	92985	65019	524521																																																																														
Ardèche	70809	75405	66449	43638	23137	279438	36432	38480	33637	20498	7950	136997	34377	36925	32812	23140	15187	142441																																																																														
Ardennes	87150	85436	66458	38206	17375	294625	44512	43430	33894	17389	5780	145005	42638	42006	32564	20817	11595	149620																																																																														
Ariège	30570	35328	31620	24923	14429	136870	15743	18083	15970	11876	5597	67269	14827	17245	15650	13047	8832	69601																																																																														
Aube	79672	84146	67675	38632	20606	290731	40836	42588	34232	17559	7212	142427	38836	41558	33443	21073	13394	148304																																																																														
Aude	69481	79916	69405	53540	28703	301045	35935	41280	34217	25140	10902	147474	33546	38636	35188	28400	17801	153571																																																																														
Aveyron	61475	68637	63840	47149	27434	268535	31690	35501	32082	22337	10317	131927	29785	33136	31758	24812	17117	136608																																																																														
Bouches-du-Rhône	464536	528367	434246	236583	113619	1777351	237941	259568	215085	107529	39303	859426	226595	268799	219161	129054	74316	917925																																																																														
Calvados	181989	191399	138163	78284	35244	625079	92621	95120	67859	35002	11182	301784	89368	96279	70304	43282	24062	323295																																																																														
Cantal	37457	42428	36843	26459	14033	157220	19179	22040	18789	12358	5080	77446	18278	20388	18054	14101	8953	79774																																																																														
Charente	85858	94801	80230	52590	28763	342242	44072	47768	39948	24537	10353	166678	41786	47033	40282	28053	18410	175564																																																																														
Charente-Maritime	131964	141556	124883	89897	45131	533431	67768	71034	61435	41911	16731	258879	64196	70522	63448	47986	28400	274552																																																																														
Cher	79997	88948	76542	48803	26752	321042	40903	45336	38822	22671	9354	157086	39094	43612	37720	26132	17398	163956																																																																														
