	Ensemble						Hommes						Femmes														
Gard	148547	155647	126667	75090	38811	544762	76603	78596	62542	34510	13485	265736	71944	77051	64125	40580	25326	279026									
Haute-Garonne	241421	273431	186029	97175	50402	848458	121690	136243	90916	44126	17847	410822	119731	137188	95113	53049	32555	437636									
Gers	41737	45522	43097	27946	16577	174879	21781	23241	21740	13577	6481	86820	19956	22281	21357	14369	10096	88059									
Gironde	329596	352765	246620	140910	76407	1146298	167598	174748	120180	62585	24872	549983	161998	178017	126440	78325	51535	596315									
Hérault	202331	214183	160096	100732	53189	730531	102668	105414	77377	45928	18909	350296	99663	108769	82719	54804	34280	380235									
Ille-et-Vilaine	247220	231550	158408	85114	38602	760894	125148	116319	77636	37121	11802	368026	122072	115231	80772	47993	26800	392868									
Indre	62955	64823	55442	36989	22611	242820	32382	33434	27664	17132	8384	118996	30573	31389	27778	19857	14227	123824									
Indre-et-Loire	155952	152564	108559	61338	34654	513067	78215	76037	53619	28097	12384	248352	77737	76527	54940	33241	22270	264715									
Isère	299581	301382	209881	96706	48043	955593	153712	152916	105721	43563	15680	471592	145869	148466	104160	53143	32363	484001									
Jura	72398	69211	53631	31546	17247	244033	37311	35493	26836	14366	6215	120221	35087	33718	26795	17180	11032	123812									
Landes	78911	82479	71186	44104	24554	301234	40932	41742	35432	20194	8508	146808	37979	40737	35754	23910	16046	154426									
Loir-et-Cher	84896	84034	64683	40986	24562	299161	43642	42792	32473	18828	9100	146835	41254	41242	32210	22158	15462	152326									
Loire	224215	213832	167942	90802	47651	744442	114842	107596	82960	40314	15030	360742	109373	106236	84982	50488	32621	383700									
Haute-Loire	56569	56056	47370	29259	17452	206706	29262	29232	23725	13232	6016	101467	27307	26824	23645	16027	11436	105239									
Loire-Atlantique	328862	306966	214235	109579	52429	1012071	168053	154211	104202	47636	15919	490021	160809	152755	110033	61943	36510	522050									
Loiret	165962	168733	115169	62319	34191	546374	84523	85555	57856	28506	12763	269203	81439	83178	57313	33813	21428	277171									
Lot	37850	40432	37342	26174	14494	156292	19610	20691	18471	12148	5313	76233	18240	19741	18871	14026	9181	80059									
Lot-et-Garonne	79257	80562	71472	46015	24648	301954	40715	40347	35067	21601	9079	146809	38542	40215	36405	24414	15569	155145									
Lozère	19677	20581	16484	11388	6705	74835	10107	10860	8539	5371	2457	37334	9570	9721	7945	6017	4248	37501									
Maine-et-Loire	234324	200038	137332	73728	40158	685580	119572	100072	67058	33012	13862	333576	114752	99966	70274	40716	26296	352004									
Manche	142515	132430	104887	61864	28496	470192	73166	68247	51403	27515	8678	229009	69349	64183	53484	34349	19818	241183									
Marne	177196	176622	111095	54443	29029	548385	90198	89249	55977	23973	9922	269319	86998	87373	55118	30470	19107	279066									
Haute-Marne	65697	61194	45167	25211	13440	210709	33988	31549	22905	11470	4729	104641	31709	29645	22262	13741	8711	106068									
Mayenne	87154	77773	58403	33468	16857	273655	44890	39605	28727	14937	5407	133566	42264	38168	29676	18531	11450	140089									
Meurthe-et-Moselle	224889	229037	155802	74285	36502	720515	114535	116496	77528	32289	11772	352620	110354	112541	78274	41996	24730	367895									
Meuse	60939	58323	42955	24070	13252	199539	31832	30293	21463	10719	4518	98825	29107	28030	21492	13351	8734	100714									
Morbihan	183082	169154	132677	78337	34314	597564	94727	86750	65411	34079	10919	291886	88355	82404	67266	44258	23395	305678									
Moselle	315955	321244	230947	98499	40789	1007434	162571	164727	117408	43177	13458	501341	153384	156517	113539	55322	27331	506093									
Nièvre	61441	63750	53789	36359	22951	238290	31794	32674	26847	16504	8259	116078	29647	31076	26942	19855	14692	122212									
Nord	852873	779386	512787	251761	123596	2520403	436294	393082	252623	107391	39116	1228506	416579	386304	260164	144370	84480	1291897									
Oise	226977	218916	138924	61178	32725	678720	116629	112241	71765	27785	11261	339681	110348	106675	67159	33393	21464	339039									
Orne	91129	83961	65766	37165	19136	297157	47063	42746	32487	16768	6279	145343	44066	41215	33279	20397	12857	151814									
Pas-de-Calais	471468	421998	297974	158980	71138	1421558	241335	213845	144665	67616	22603	690064	230133	208153	153309	91364	48535	731494									
Puy-de-Dôme	171499	182438	134576	71319	37027	596859	87263	92787	67119	32204	12312	291685	84236	89651	67457	39115	24715	305174									
Pyrénées-Atlantiques	152666	156698	130161	77690	43143	560358	77995	78196	63720	34778	14812	269501	74671	78502	66441	42912	28331	290857									
Hautes-Pyrénées	58007	62567	55997	34196	18003	228770	30219	31691	27394	15678	6313	111295	27788	30876	28603	18518	11690	117475									
Pyrénées-Orientales	85417	86868	81213	58664	29007	341169	43964	42713	38795	27009	10967	163448	41453	44155	42418	31655	18040	177721									
Bas-Rhin	280029	296739	202497	96094	49209	924568	141751	151594	101404	38812	16013	449574	138278	145145	101093	57282	33196	474994									
Haut-Rhin	195756	208499	148520	66382	35514	654671	100603	107593	74909	27323	10944	321372	95153	100906	73611	39059	24570	333299									
Rhône	443956	461627	324585	148246	76110	1454524	225094	230946	161978	64529	23488	706035	218862	230681	162607	83717	52622	748489									
Haute-Saône	71294	65847	49658	29104	16190	232093	36937	34199	25234	12954	5613	114937	34357	31648	24424	16150	10577	117156									
Saône-et-Loire	162383	157957	129174	76172	43008	568694	83818	80968	64500	34518	15029	278833	78565	76989	64674	41654	27979	289861									
Sarthe	158453	147556	107673	61393	32985	508060	81559	74903	53089	27852	11346	248749	76894	72653	54584	33541	21639	259311									
Savoie	96939	101483	73632	37177	18607	327838	49420	52083	37166	16675	6409	161753	47519	49400	36466	20502	12198	166085									
Haute-Savoie	157627	172385	111528	50252	23198	514990	81244	87500	56688	22520	7865	255817	76383	84885	54840	27732	15333	259173									
Paris	449933	771383	491656	286757	169270	2168999	225215	382260	234632	112644	52226	1006977	224718	389123	257024	174113	117044	1162022									
Seine-Maritime	382380	377351	250832	128145	63486	1202194	195231	189926	123588	56477	20465	585687	187149	187425	127244	71668	43021	616507									
Seine-et-Marne	306678	302513	192091	76320	43489	921091	157269	150831	99037	34221	15074	456432	149409	151682	93054	42099	28415	464659									
Yvelines	396305	400402	282989	91016	46711	1217423	203707	199347	145035	40626	14903	603618	192598	201055	137954	50390	31808	613805									
Deux-Sèvres	102145	95805	75305	44944	25130	343329	52605	48656	37703	21041	9824	169829	49540	47149	37602	23903	15306	173500									
Somme	177030	164596	111290	61835	32987	547738	90055	82868	55132	27931	11598	267584	86975	81728	56158	33904	21389	280154									
Tarn	89356	91027	81695	49978	29062	341118	46282	45910	39970	23186	10676	166024	43074	45117	41725	26792	18386	175094									
Tarn-et-Garonne	51307	52954	44348	28649	15691	192949	26572	27063	21733	13465	5828	94661	24735	25891	22615	15184	9863	98288									
Var	188799	204388	173295	112094	52621	731197	97599	103326	85606	50995	18639	356165	91200	101062	87689	61099	33982	375032									
Vaucluse	124119	127344	100479	55256	27553	434751	63903	64105	50027	24925	9840	212800	60216	63239	50452	30331	17713	221951									
Vendée	152826	138851	104564	63093	32186	491520	79065	71020	51884	28819	11285	242073	73761	67831	52680	34274	20901	249447									
Vienne	110954	108198	78727	47959	27651	373489	56170	54393	39218	22381	10364	182526	54784	53805	39509	25578	17287	190963									
Haute-Vienne	90244	99895	82313	53294	32558	358304	45853	50327	40597	24261	11641	172679	44391	49568	41716	29033	20917	185625									
Vosges	120739	114866	85431	47101	25659	393796	62134	59209	42495	20298	8193	192329	58605	55657	42936	26803	17466	201467									
Yonne	89145	87633	65767	43731	27538	313814	46236	45267	33419	19986	10294	155202	42909	42366	32348	23745	17244	158612									
Territoire de Belfort	41156	41995	29183	13697	6921	132952	21636	21981	14758	5987	2214	66576	19520	20014	14425	7710	4707	66376									
Essonne	325720	339043	229031	71089	39166	1004049	167158	169950	117110	32029	12496	498743	158562	169093	111921	39060	26670	505306									
Hauts-de-Seine	355626	473920	330591	148627	75911	1384675	180381	237027	164467	63288	23135	668298	175245	236893	166124	85339	52776	716377									
Seine-Saint-Denis	404837	462351	301471	111489	53212	1333360	206780	232788	154854	48581	16722	659725	198057	229563	146617	62908	36490	673635									
Val-de-Marne	337027	410050	278422	113491	60090	1199080	171236	205889	138640	49180	18102	583047	165791	204161	139782	64311	41988	616033									
Val-d'Oise	308657	321067	207092	70761	36236	943813	157869	159433	105730	31500	11500	466032	150788	161634	101362	39261	24736	477781									
	16199216	16733175	12144340	6438045	3380078	54894854	8290504	8451935	6036381	2855847	1142611	26777278	7908712	8281240	6107959	3582198	2237467	28117576									
																											
																											
																											
