	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	132108	132760	93084	46666	25362	429980	67925	68549	48158	21530	8868	215030	64183	64211	44926	25136	16494	214950									
Aisne	170391	161206	112939	59537	31792	535865	88050	82744	56394	26751	11114	265053	82341	78462	56545	32786	20678	270812									
Allier	95260	97590	86586	55690	32609	367735	48970	49594	42589	25318	11682	178153	46290	47996	43997	30372	20927	189582									
Alpes-de-Haute-Provence	31367	33655	29310	17582	9536	121450	16208	17202	14869	8321	3542	60142	15159	16453	14441	9261	5994	61308									
Hautes-Alpes	29044	31875	24170	14787	7312	107188	15326	16299	12240	7054	2693	53612	13718	15576	11930	7733	4619	53576									
Alpes-Maritimes	206087	242789	214630	148661	88945	901112	104926	120291	103138	63232	31810	423397	101161	122498	111492	85429	57135	477715									
Ardèche	74797	74289	62561	38533	21599	271779	38786	37904	31523	17588	7332	133133	36011	36385	31038	20945	14267	138646									
Ardennes	97250	89421	65259	32297	17227	301454	50048	45879	33074	14467	5920	149388	47202	43542	32185	17830	11307	152066									
Ariège	32265	35241	31892	23052	14356	136806	16680	18081	15876	11009	5598	67244	15585	17160	16016	12043	8758	69562									
Aube	86653	87456	62396	34530	20195	291230	44771	44530	31100	15538	7189	143128	41882	42926	31296	18992	13006	148102									
Aude	69821	74128	67074	46691	27283	284997	36571	37946	32742	21704	10486	139449	33250	36182	34332	24987	16797	145548									
Aveyron	70983	71354	65851	44717	25504	278409	36411	36889	32708	20740	9621	136369	34572	34465	33143	23977	15883	142040									
Bouches-du-Rhône	491440	521601	404199	212985	102580	1732805	251125	258456	200942	95802	34765	841090	240315	263145	203257	117183	67815	891715									
Calvados	195679	187546	121893	63765	30881	599764	99297	94223	59292	28023	9487	290322	96382	93323	62601	35742	21394	309442									
Cantal	43774	43778	36954	24012	13037	161555	22543	22969	18629	11062	4676	79879	21231	20809	18325	12950	8361	81676									
Charente	93993	96207	77200	46577	26796	340773	48081	48586	38262	21440	9584	165953	45912	47621	38938	25137	17212	174820									
Charente-Maritime	143152	141673	116147	75145	40269	516386	73957	71026	56995	34643	14804	251425	69195	70647	59152	40502	25465	264961									
Cher	88508	91500	71649	44539	25621	321817	45191	46723	36224	20162	9195	157495	43317	44777	35425	24377	16426	164322									
Corrèze	58254	63286	56722	39905	22483	240650	30284	32296	28020	18130	8261	116991	27970	30990	28702	21775	14222	123659									
Corse-du-Sud	27470	32688	26750	16434	7802	111144	14206	17742	13865	7489	2645	55947	13264	14946	12885	8945	5157	55197									
Haute-Corse	32130	40426	31529	18747	9350	132182	16489	22886	16971	8609	3306	68261	15641	17540	14558	10138	6044	63921									
Côte-d'Or	148431	148873	99541	52446	29044	478335	74809	75192	49698	23713	10191	233603	73622	73681	49843	28733	18853	244732									
Côtes-d'Armor	154676	143695	122574	79998	37980	538923	80040	73801	60592	35068	11977	261478	74636	69894	61982	44930	26003	277445									
Creuse	30210	32722	32759	24786	16926	137403	15692	17156	16519	11602	6203	67172	14518	15566	16240	13184	10723	70231									
Dordogne	93546	98773	90977	63582	34650	381528	48472	50040	44583	29720	12712	185527	45074	48733	46394	33862	21938	196001									
Doubs	159656	154141	101031	46516	21858	483202	81283	79607	50850	20756	7416	239912	78373	74534	50181	25760	14442	243290									
Drôme	117111	115249	90283	49079	25951	397673	60411	58242	44871	22227	9113	194864	56700	57007	45412	26852	16838	202809									
Eure	153483	147946	98440	49206	25227	474302	78863	75092	49939	22429	8762	235085	74620	72854	48501	26777	16465	239217									
Eure-et-Loir	116800	113211	76629	41776	22817	371233	60262	57831	38970	19287	8651	185001	56538	55380	37659	22489	14166	186232									
Finistère	242292	233221	184707	116269	54345	830834	124616	120367	89894	49690	17851	402418	117676	112854	94813	66579	36494	428416									
