	Ensemble						Hommes						Femmes																																																
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																											
Ain	135637	139430	98240	48805	27199	449311	69663	71392	50913	22712	9551	224231	65974	68038	47327	26093	17648	225080																																											
Aisne	165908	164173	111013	62914	32578	536586	85248	83972	55527	28518	11262	264527	80660	80201	55486	34396	21316	272059																																											
Allier	90604	98557	84410	56601	33999	364171	46380	50044	41575	25810	12202	176011	44224	48513	42835	30791	21797	188160																																											
Alpes-de-Haute-Provence	31584	35999	30305	18808	10330	127026	16208	18371	15282	8919	3867	62647	15376	17628	15023	9889	6463	64379																																											
Hautes-Alpes	29175	33284	24484	15476	7971	110390	15271	16986	12420	7343	2987	55007	13904	16298	12064	8133	4984	55383																																											
Alpes-Maritimes	208241	256455	221870	153170	95873	935609	106449	126184	106571	66112	34031	439347	101792	130271	115299	87058	61842	496262																																											
Ardèche	73712	76705	62737	39874	22702	275730	38098	39162	31580	18420	7832	135092	35614	37543	31157	21454	14870	140638																																											
Ardennes	93755	90445	63870	33677	17946	299693	48164	46070	32417	15169	6144	147964	45591	44375	31453	18508	11802	151729																																											
Ariège	31437	36290	30741	23188	14805	136461	16231	18649	15309	11065	5814	67068	15206	17641	15432	12123	8991	69393																																											
Aube	84030	88139	62561	35121	20931	290782	43309	44605	31478	15783	7452	142627	40721	43534	31083	19338	13479	148155																																											
Aude	68879	77851	65995	48082	28279	289086	35901	40178	32162	22541	10883	141665	32978	37673	33833	25541	17396	147421																																											
Aveyron	67049	71916	63016	44778	26917	273676	34428	37120	31365	20941	10239	134093	32621	34796	31651	23837	16678	139583																																											
Bouches-du-Rhône	477857	529914	407047	218721	108703	1742242	244551	261284	202285	98608	37320	844048	233306	268630	204762	120113	71383	898194																																											
Calvados	190743	192642	123153	68146	33152	607836	96966	96310	59859	30269	10364	293768	93777	96332	63294	37877	22788	314068																																											
Cantal	41562	44595	35926	24541	13764	160388	21297	23337	18101	11387	4982	79104	20265	21258	17825	13154	8782	81284																																											
Charente	90864	98310	75923	47661	28330	341088	46603	49562	37610	22055	10244	166074	44261	48748	38313	25606	18086	175014																																											
Charente-Maritime	138472	144740	115614	78953	43431	521210	71322	72553	56680	36638	16155	253348	67150	72187	58934	42315	27276	267862																																											
Cher	85382	92452	71722	44447	26959	320962	43653	47083	36373	20257	9660	157026	41729	45369	35349	24190	17299	163936																																											
Corrèze	56200	64509	54920	40521	23812	239962	29076	32937	27017	18631	8749	116410	27124	31572	27903	21890	15063	123552																																											
Corse-du-Sud	28103	33954	27138	16930	8177	114302	14421	17826	14073	7737	2812	56869	13682	16128	13065	9193	5365	57433																																											
Haute-Corse	31590	40034	31302	18937	9748	131611	16093	21781	16654	8668	3499	66695	15497	18253	14648	10269	6249	64916																																											
Côte-d'Or	144918	153810	102117	54918	31051	486814	73068	76998	51219	24866	10941	237092	71850	76812	50898	30052	20110	249722																																											
Côtes-d'Armor	149509	145387	119482	83096	40973	538447	76848	74872	59060	36803	13236	260819	72661	70515	60422	46293	27737	277628																																											
Creuse	28691	33320	30839	24820	17300	134970	14808	17442	15637	11660	6348	65895	13883	15878	15202	13160	10952	69075																																											
Dordogne	91034	101420	88631	65839	36724	383648	47001	51348	43573	30768	13581	186271	44033	50072	45058	35071	23143	197377																																											
Doubs	152135	154242	103333	48970	23681	482361	77656	78766	52111	21958	8129	238620	74479	75476	51222	27012	15552	243741																																											
Drôme	116877	118931	92130	51512	27617	407067	60224	59841	45890	23462	9793	199210	56653	59090	46240	28050	17824	207857																																											
Eure	155776	154689	101957	52058	26615	491095	80060	78223	51936	23920	9294	243433	75716	76466	50021	28138	17321	247662																																											
Eure-et-Loir	118571	117082	78986	43573	24525	382737	60953	59265	40297	20162	9312	189989	57618	57817	38689	23411	15213	192748																																											
Finistère	235066	240783	180825	118651	58866	834191	120806	124328	88427	51082	19408	404051	114260	116455	92398	67569	39458	430140																																											
Gard	150110	163842	129155	79181	40991	563279	77151	82686	63838	36444	14489	274608	72959	81156	65317	42737	26502	288671																																											
Haute-Garonne	237944	294612	194602	102439	55184	884781	120413	146947	95145	46517	19762	428784	117531	147665	99457	55922	35422	455997																																											
Gers	40035	46581	41589	28826	17580	174611	20859	23817	20838	14120	6916	86550	19176	22764	20751	14706	10664	88061																																											
Gironde	326670	371079	253655	147667	81074	1180145	166236	183606	123925	65995	26777	566539	160434	187473	129730	81672	54297	613606																																											
Hérault	202686	228961	166645	107083	56728	762103	102983	112316	80660	49038	20430	365427	99703	116645	85985	58045	36298	396676																																											
Ille-et-Vilaine	241955	243934	160429	89853	42375	778546	122915	122416	78626	39738	13325	377020	119040	121518	81803	50115	29050	401526																																											
Indre	59722	65177	54087	37155	23648	239789	30686	33523	27006	17265	8817	117297	29036	31654	27081	19890	14831	122492																																											
Indre-et-Loire	151852	158203	111091	64011	37181	522338	76478	78520	54857	29500	13348	252703	75374	79683	56234	34511	23833	269635																																											
Isère	297602	311939	217430	102512	51220	980703	152530	157888	109562	46576	16889	483445	145072	154051	107868	55936	34331	497258																																											
Jura	71104	70862	54364	32972	18404	247706	36526	36237	27344	15056	6668	121831	34578	34625	27020	17916	11736	125875																																											
Landes	77289	85957	70873	46436	26137	306692	40109	43665	35178	21557	9112	149621	37180	42292	35695	24879	17025	157071																																											
Loir-et-Cher	82615	85907	65169	42121	26203	302015	42358	43717	32708	19576	9743	148102	40257	42190	32461	22545	16460	153913																																											
Loire	217324	213847	166952	93902	50447	742472	111492	107110	82642	42127	16201	359572	105832	106737	84310	51775	34246	382900																																											
Haute-Loire	55065	57524	46327	29910	17860	206686	28411	30077	23261	13648	6203	101600	26654	27447	23066	16262	11657	105086																																											
Loire-Atlantique	324423	318178	217699	115914	56767	1032981	165718	159747	105977	50874	17792	500108	158705	158431	111722	65040	38975	532873																																											
Loiret	166498	174255	118873	65459	36706	561791	84768	87918	59916	30076	13714	276392	81730	86337	58957	35383	22992	285399																																											
Lot	36212	40798	35713	26810	15244	154777	18702	20808	17634	12577	5618	75339	17510	19990	18079	14233	9626	79438																																											
Lot-et-Garonne	77089	81956	69957	47429	26017	302448	39568	41059	34353	22275	9682	146937	37521	40897	35604	25154	16335	155511																																											
Lozère	18652	20550	15888	11387	6904	73381	9574	10834	8253	5452	2548	36661	9078	9716	7635	5935	4356	36720																																											
Maine-et-Loire	229752	208456	138497	77532	42999	697236	117334	104260	67646	35048	15067	339355	112418	104196	70851	42484	27932	357881																																											
Manche	139357	137909	101555	64439	30750	474010	71619	71346	49857	29086	9660	231568	67738	66563	51698	35353	21090	242442																																											
Marne	171807	179365	113320	56463	30726	551681	87605	90121	57240	25084	10469	270519	84202	89244	56080	31379	20257	281162																																											
Haute-Marne	62063	61112	43931	25555	14090	206751	32072	31278	22431	11636	5038	102455	29991	29834	21500	13919	9052	104296																																											
Mayenne	85268	79898	57234	34703	18360	275463	43844	40778	28166	15837	6054	134679	41424	39120	29068	18866	12306	140784																																											
Meurthe-et-Moselle	214167	230840	154531	78055	38813	716406	109224	116443	77097	34169	12542	349475	104943	114397	77434	43886	26271	366931																																											
Meuse	59123	59125	41575	25156	13757	198736	30704	30638	20892	11301	4689	98224	28419	28487	20683	13855	9068	100512																																											
Morbihan	180439	176402	131369	82302	37933	608445	93189	90592	64811	36334	12218	297144	87250	85810	66558	45968	25715	311301																																											
Moselle	306153	331846	226840	106745	44316	1015900	157688	168791	115224	47362	14508	503573	148465	163055	111616	59383	29808	512327																																											
Nièvre	58837	64409	52119	36970	23568	235903	30385	32923	26070	16806	8504	114688	28452	31486	26049	20164	15064	121215																																											
Nord	832409	790123	507768	261048	128457	2519805	425589	396309	250706	112885	40078	1225567	406820	393814	257062	148163	88379	1294238																																											
Oise	228073	227214	145727	64642	33900	699556	117106	115385	75470	29576	11615	349152	110967	111829	70257	35066	22285	350404																																											
Orne	87344	84741	63671	39062	20365	295183	44907	43247	31369	17951	6826	144300	42437	41494	32302	21111	13539	150883																																											
Pas-de-Calais	465443	430770	291294	166115	74798	1428420	238197	217690	141966	71529	23478	692860	227246	213080	149328	94586	51320	735560																																											
Puy-de-Dôme	164181	183661	134971	74354	38789	595956	83429	92874	67612	33577	13026	290518	80752	90787	67359	40777	25763	305438																																											
Pyrénées-Atlantiques	148064	163636	129733	80686	46540	568659	75690	82070	63262	36359	16066	273447	72374	81566	66471	44327	30474	295212																																											
Hautes-Pyrénées	54838	63971	54290	34792	19142	227033	28459	32486	26560	16037	6735	110277	26379	31485	27730	18755	12407	116756																																											
Pyrénées-Orientales	85320	92146	80567	60865	31424	350322	43823	45427	38420	28094	11910	167674	41497	46719	42147	32771	19514	182648																																											
Bas-Rhin	269922	314293	203344	98574	52396	938529	136730	159261	103224	40036	16750	456001	133192	155032	100120	58538	35646	482528																																											
Haut-Rhin	191049	215747	148260	69490	37020	661566	98157	110414	75507	29122	11233	324433	92892	105333	72753	40368	25787	337133																																											
Rhône	430125	472040	332581	154810	81201	1470757	218447	234269	165930	68066	25389	712101	211678	237771	166651	86744	55812	758656																																											
Haute-Saône	69257	66364	49633	29315	16819	231388	35943	34151	25401	13230	5877	114602	33314	32213	24232	16085	10942	116786																																											
Saône-et-Loire	155197	158577	126812	78197	44803	563586	79940	80967	63316	35712	15786	275721	75257	77610	63496	42485	29017	287865																																											
Sarthe	153541	152012	107731	64075	35503	512862	78872	76965	53351	29310	12477	250975	74669	75047	54380	34765	23026	261887																																											
Savoie	94772	104540	75021	39020	20043	333396	48467	53517	37903	17625	6878	164390	46305	51023	37118	21395	13165	169006																																											
Haute-Savoie	157779	178600	118329	53337	25264	533309	81232	90311	60361	24071	8599	264574	76547	88289	57968	29266	16665	268735																																											
Paris	437798	788324	494493	270426	173118	2164159	219890	385448	238419	107192	54179	1005128	217908	402876	256074	163234	118939	1159031																																											
Seine-Maritime	376100	384093	253813	132889	67737	1214632	192034	192114	125433	58966	21994	590541	184066	191979	128380	73923	45743	624091																																											
Seine-et-Marne	325779	326998	212927	81206	46496	993406	167428	162072	110051	36799	15977	492327	158351	164926	102876	44407	30519	501079																																											
Yvelines	399991	411007	300995	99163	50095	1261251	205449	203498	154134	44915	15963	623959	194542	207509	146861	54248	34132	637292																																											
Deux-Sèvres	98445	98388	74317	46183	26863	344196	50647	50011	37152	21802	10612	170224	47798	48377	37165	24381	16251	173972																																											
Somme	170538	167564	111245	63733	33978	547058	86867	84203	55100	29059	11938	267167	83671	83361	56145	34674	22040	279891																																											
Tarn	86653	93256	79451	51633	30874	341867	44864	47048	38870	24151	11417	166350	41789	46208	40581	27482	19457	175517																																											
Tarn-et-Garonne	50328	55378	44118	29486	16818	196128	26016	28247	21724	13873	6353	96213	24312	27131	22394	15613	10465	99915																																											
Var	194430	216489	180865	120757	58659	771200	100230	108977	89271	54959	21141	374578	94200	107512	91594	65798	37518	396622																																											
Vaucluse	125425	133419	104229	58438	29856	451367	64487	66910	51963	26529	10631	220520	60938	66509	52266	31909	19225	230847																																											
Vendée	150147	144998	104107	67144	34793	501189	77476	74314	51660	31109	12331	246890	72671	70684	52447	36035	22462	254299																																											
Vienne	106403	112367	79010	49266	29660	376706	54218	56252	39438	23076	11245	184229	52185	56115	39572	26190	18415	192477																																											
Haute-Vienne	86238	101394	80884	53448	33968	355932	43982	50691	40112	24315	12202	171302	42256	50703	40772	29133	21766	184630																																											
Vosges	115638	115105	84154	47481	27054	389432	59486	59009	42027	20714	8752	189988	56152	56096	42127	26767	18302	199444																																											
Yonne	88838	90068	66251	45005	28549	318711	45978	46216	33882	20619	10635	157330	42860	43852	32369	24386	17914	161381																																											
Territoire de Belfort	39761	42448	29135	14158	7297	132799	20790	22023	14844	6250	2347	66254	18971	20425	14291	7908	4950	66545																																											
Essonne	323539	349684	245429	77645	42103	1038400	165838	175252	125211	35374	13469	515144	157701	174432	120218	42271	28634	523256																																											
Hauts-de-Seine	347400	480552	329011	151867	79649	1388479	176038	237439	163925	65365	24399	667166	171362	243113	165086	86502	55250	721313																																											
Seine-Saint-Denis	406462	477190	304740	116473	55287	1360152	207859	237322	157568	51152	17167	671068	198603	239868	147172	65321	38120	689084																																											
Val-de-Marne	326960	415661	280384	117607	63122	1203734	166174	207317	140039	51285	19130	583945	160786	208344	140345	66322	43992	619789																																											
Val-d'Oise	320273	338152	220071	76419	38513	993428	163970	166748	112508	34390	12012	489628	156303	171404	107563	42029	26501	503800																																											
	15919634	17234552	12261117	6680584	3585893	55681780	8146606	8663004	6108247	2988412	1219491	27125760	7773028	8571548	6152870	3692172	2366402	28556020																																											
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
