	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	149676	146231	153657	64494	36881	550939	76720	73638	77441	31226	13595	272620	72956	72593	76216	33268	23286	278319							
Aisne	143713	135672	148122	67118	41839	536464	73218	68094	74201	30492	15134	261139	70495	67578	73921	36626	26705	275325							
Allier	72122	78053	96508	56728	40136	343547	37039	39453	47755	25734	14963	164944	35083	38600	48753	30994	25173	178603							
Alpes-de-Haute-Provence	34993	33423	42620	24332	14683	150051	18023	16469	21125	11644	5710	72971	16970	16954	21495	12688	8973	77080							
Hautes-Alpes	30753	30425	36470	18554	11865	128067	15801	15256	18231	8896	4510	62694	14952	15169	18239	9658	7355	65373							
Alpes-Maritimes	232855	257725	280288	165632	116682	1053182	119700	124994	133490	75138	42081	495403	113155	132731	146798	90494	74601	557779							
Ardèche	70520	70037	84058	45750	29656	300021	36385	35310	42323	21768	11080	146866	34135	34727	41735	23982	18576	153155							
Ardennes	74975	73130	79173	37744	22114	287136	38403	37072	39793	17325	7917	140510	36572	36058	39380	20419	14197	146626							
Ariège	31016	31569	40666	23437	16683	143371	16024	15911	20488	11180	6506	70109	14992	15658	20178	12257	10177	73262							
Aube	74325	75726	82133	39488	25482	297154	37966	38139	40852	18189	9300	144446	36359	37587	41281	21299	16182	152708							
Aude	74496	76252	91014	53817	35688	331267	38084	37858	44605	25397	13929	159873	36412	38394	46409	28420	21759	171394							
Aveyron	56329	60779	74384	46255	32528	270275	29231	31157	37854	21885	12427	132554	27098	29622	36530	24370	20101	137721							
Bouches-du-Rhône	474831	511794	515431	251451	152182	1905689	243314	248552	247453	116073	55092	910484	231517	263242	267978	135378	97090	995205							
Calvados	172700	177030	179723	84239	51077	664769	87313	87840	88215	37670	17982	319020	85387	89190	91508	46569	33095	345749							
Cantal	29937	34332	43148	25083	17444	149944	15315	17538	21980	11766	6517	73116	14622	16794	21168	13317	10927	76828							
Charente	76689	81135	98387	53108	35389	344708	39312	40555	48756	24990	13184	166797	37377	40580	49631	28118	22205	177911							
Charente-Maritime	130071	135526	162258	95733	62494	586082	66804	67938	79020	44745	23901	282408	63267	67588	83238	50988	38593	303674							
Cher	72068	73851	88857	48814	30900	314490	36769	37170	44389	23019	11467	152814	35299	36681	44468	25795	19433	161676							
Corrèze	47320	53869	66773	40238	29623	237823	24653	28022	33421	18700	10846	115642	22667	25847	33352	21538	18777	122181							
Corse-du-Sud	28582	31806	37208	21128	11889	130613	14935	15449	18367	10055	4379	63185	13647	16357	18841	11073	7510	67428							
Haute-Corse	33155	39805	42786	23699	13914	153359	17027	19859	21357	11470	5156	74869	16128	19946	21429	12229	8758	78490							
Côte-d'Or	127953	140935	140287	64073	40774	514022	64858	69578	69261	29843	14726	248266	63095	71357	71026	34230	26048	265756							
Côtes-d'Armor	130971	127456	153880	91368	58551	562226	67335	64956	76783	41666	20994	271734	63636	62500	77097	49702	37557	290492							
Creuse	23336	25433	34570	22548	17674	123561	11987	13123	17581	10585	6889	60165	11349	12310	16989	11963	10785	63396							
