	Ensemble						Hommes						Femmes												
Dordogne	82278	85404	113493	69904	47915	398994	42040	42534	55940	33075	18124	191713	40238	42870	57553	36829	29791	207281							
Doubs	132199	143184	136829	63699	34883	510794	67690	72526	67747	29444	12872	250279	64509	70658	69082	34255	22011	260515							
Drôme	117164	113037	126491	64278	38106	459076	60424	56303	62031	30119	14281	223158	56740	56734	64460	34159	23825	235918							
Eure	152760	144838	157064	66644	38087	559393	78177	72183	78409	31196	13933	273898	74583	72655	78655	35448	24154	285495							
Eure-et-Loir	109687	107271	115392	51234	33224	416808	56206	54027	57762	24344	12854	205193	53481	53244	57630	26890	20370	211615							
Finistère	210242	218311	237237	125898	81880	873568	108032	112067	118993	55631	27874	422597	102210	106244	118244	70267	54006	450971							
Gard	163866	160872	186296	95979	57609	664622	83750	79239	90979	45071	21718	320757	80116	81633	95317	50908	35891	343865							
Haute-Garonne	279851	352406	303388	129761	78300	1143706	142353	176667	148870	60274	28538	556702	137498	175739	154518	69487	49762	587004							
Gers	36938	37523	51274	31290	21490	178515	18881	18904	25649	15131	8648	87213	18057	18619	25625	16159	12842	91302							
Gironde	326702	380550	374980	168182	110811	1361225	166134	187221	181983	77303	38930	651571	160568	193329	192997	90879	71881	709654							
Hérault	234901	261290	254210	135014	83061	968476	119621	126418	120881	63082	31441	461443	115280	134872	133329	71932	51620	507033							
Ille-et-Vilaine	242483	267557	236705	109009	66157	921911	123518	134789	117253	50189	23601	449350	118965	132768	119452	58820	42556	472561							
Indre	49029	52777	64534	39031	26840	232211	24905	26825	32540	18308	10173	112751	24124	25952	31994	20723	16667	119460							
Indre-et-Loire	140806	151146	154285	76039	49979	572255	71652	74383	75430	35262	18526	275253	69154	76763	78855	40777	31453	297002							
Isère	306385	323486	305929	136469	73628	1145897	157641	163511	151234	64424	26873	563683	148744	159975	154695	72045	46755	582214							
Jura	63286	62164	70020	36304	23762	255536	32510	31379	35153	17177	8813	125032	30776	30785	34867	19127	14949	130504							
Landes	77909	81569	99837	56807	35705	351827	40369	41325	49324	26826	13125	170969	37540	40244	50513	29981	22580	180858							
Loir-et-Cher	75200	76403	88250	48623	33332	321808	38287	38470	44138	22675	13057	156627	36913	37933	44112	25948	20275	165181							
Loire	181733	186156	198560	104531	66317	737297	93438	93390	97536	47888	23355	355607	88295	92766	101024	56643	42962	381690							
Haute-Loire	50818	51528	59830	32987	21002	216165	26315	26258	30760	15428	7421	106182	24503	25270	29070	17559	13581	109983							
Loire-Atlantique	315981	331897	323914	144487	87195	1203474	161475	166784	159576	65126	30406	583367	154506	165113	164338	79361	56789	620107							
Loiret	164309	169415	172423	79765	50795	636707	84181	84953	85295	37721	19379	311529	80128	84462	87128	42044	31416	325178							
Lot	34330	35233	47269	29848	20193	166873	17669	17734	23659	14207	7738	81007	16661	17499	23610	15641	12455	85866							
Lot-et-Garonne	70167	71570	87966	51918	35251	316872	36064	35685	43079	24448	13469	152745	34103	35885	44887	27470	21782	164127							
Lozère	16527	18313	21156	11665	8123	75784	8731	9405	11002	5741	3244	38123	7796	8908	10154	5924	4879	37661							
Maine-et-Loire	202546	203823	197417	92126	60341	756253	103015	102035	97644	42182	22671	367547	99531	101788	99773	49944	37670	388706							
Manche	121036	116189	132338	73074	46971	489608	61932	58894	67079	33892	16929	238726	59104	57295	65259	39182	30042	250882							
Marne	145135	160367	153964	65643	40403	565512	74313	80835	75734	29911	14082	274875	70822	79532	78230	35732	26321	290637							
Haute-Marne	45700	45749	53317	27566	17463	189795	23555	23459	26946	12803	6417	93180	22145	22290	26371	14763	11046	96615							
Mayenne	76440	74516	77573	39764	26520	294813	39308	38392	38982	18486	10013	145181	37132	36124	38591	21278	16507	149632							
Meurthe-et-Moselle	182970	202507	193557	90293	52407	721734	93785	101886	95267	40955	18203	350096	89185	100621	98290	49338	34204	371638							
Meuse	48815	48432	53772	25967	16390	193376	25325	25014	27514	12087	5800	95740	23490	23418	26258	13880	10590	97636							
Morbihan	164331	165914	186801	102093	60233	679372	84988	85211	92662	46272	21411	330544	79343	80703	94139	55821	38822	348828							
Moselle	257240	281618	290467	136134	67175	1032634	131870	142768	145104	63557	23502	506801	125370	138850	145363	72577	43673	525833							
Nièvre	46969	48150	63030	38473	26428	223050	24013	24379	31318	17851	9715	107276	22956	23771	31712	20622	16713	115774							
Nord	725701	727365	664292	278455	165225	2561038	371524	361711	324878	121713	55703	1235529	354177	365654	339414	156742	109522	1325509							
Oise	220878	215707	220103	83504	44815	785007	113349	108067	110361	39245	16083	387105	107529	107640	109742	44259	28732	397902							
Orne	71351	68887	80119	44137	28558	293052	36749	35072	40151	20639	10527	143138	34602	33815	39968	23498	18031	149914							
Pas-de-Calais	401299	384079	388402	170437	105293	1449510	205858	191971	192855	73655	35322	699661	195441	192108	195547	96782	69971	749849							
Puy-de-Dôme	139962	165282	174963	85033	52208	617448	71555	83053	86674	39240	18256	298778	68407	82229	88289	45793	33952	318670							
Pyrénées-Atlantiques	140231	154563	173608	95080	62187	625669	72112	78201	84724	43839	22302	301178	68119	76362	88884	51241	39885	324491							
Hautes-Pyrénées	47541	50785	65085	37850	24871	226132	24575	25594	32058	17651	9018	108896	22966	25191	33027	20199	15853	117236							
Pyrénées-Orientales	95065	98049	111165	70239	45302	419820	48433	47663	52969	32474	17341	198880	46632	50386	58196	37765	27961	220940							
Bas-Rhin	268402	310146	289038	129088	66600	1063274	136557	154813	144837	60209	21512	517928	131845	155333	144201	68879	45088	545346							
Haut-Rhin	184996	198345	202992	93769	47769	727871	94584	100078	102317	44314	16070	357363	90412	98267	100675	49455	31699	370508							
Rhône	428999	487139	418485	193763	112490	1640876	217646	239226	202545	89429	38808	787654	211353	247913	215940	104334	73682	853222							
Haute-Saône	58085	57884	66011	32217	19794	233991	30001	29520	33472	15434	7277	115704	28084	28364	32539	16783	12517	118287							
Saône-et-Loire	124971	127151	154481	84609	56448	547660	64545	64202	77022	39071	21127	265967	60426	62949	77459	45538	35321	281693							
Sarthe	138782	139474	145701	73916	48397	546270	70907	70687	72677	34104	18361	266736	67875	68787	73024	39812	30036	279534							
Savoie	98158	105373	109249	51108	29980	393868	51139	53384	54701	23746	10597	193567	47019	51989	54548	27362	19383	200301							
Haute-Savoie	177621	189647	190521	78046	40920	676755	92030	95850	94458	36624	14746	333708	85591	93797	96063	41422	26174	343047							
Paris	425154	774514	562437	239200	160627	2161932	214180	376774	268006	105546	53690	1018196	210974	397740	294431	133654	106937	1143736							
Seine-Maritime	329189	333592	336389	151035	92193	1242398	167421	165556	164459	67651	32622	597709	161768	168036	171930	83384	59571	644689							
Seine-et-Marne	362946	355437	352019	117438	61025	1248865	185212	175048	175087	55907	21281	612535	177734	180389	176932	61531	39744	636330							
Yvelines	388266	384498	388988	148651	72742	1383145	199062	191368	189891	70927	26169	677417	189204	193130	199097	77724	46573	705728							
Deux-Sèvres	83388	86432	97966	51935	35193	354914	43153	43756	49015	24875	14127	174926	40235	42676	48951	27060	21066	179988							
Somme	145989	153400	150194	68863	43492	561938	74442	76495	74400	31137	16022	272496	71547	76905	75794	37726	27470	289442							
Tarn	80180	81758	99096	57345	40016	358395	41121	40861	48656	26840	15306	172784	39059	40897	50440	30505	24710	185611							
Tarn-et-Garonne	52255	52585	60916	32705	21855	220316	26778	26333	30495	15390	8439	107435	25477	26252	30421	17315	13416	112881							
Var	220702	223204	261210	158026	95603	958745	113023	111088	125705	74241	36330	460387	107679	112116	135505	83785	59273	498358							
Vaucluse	133447	130606	143060	73338	42947	523398	68638	64432	69575	34188	16019	252852	64809	66174	73485	39150	26928	270546							
Vendée	138464	142383	157108	88273	52746	578974	70937	72879	78732	41701	19759	284008	67527	69504	78376	46572	32987	294966							
Vienne	97675	111275	109337	56099	37930	412316	49464	55024	54300	26752	14574	200114	48211	56251	55037	29347	23356	212202							
Haute-Vienne	76360	91570	100877	54490	39225	362522	38989	45485	49770	25336	14429	174009	37371	46085	51107	29154	24796	188513							
Vosges	94476	93391	106624	52945	32956	380392	48722	47714	53268	24193	11234	185131	45754	45677	53356	28752	21722	195261							
Yonne	81280	79757	93641	49043	34003	337724	41531	40163	46760	22981	12810	164245	39749	39594	46881	26062	21193	173479							
Territoire de Belfort	35804	38957	38195	17122	10079	140157	18589	20616	19064	7872	3481	69622	17215	18341	19131	9250	6598	70535							
Essonne	329952	339030	325717	124497	59018	1178214	168465	169546	160564	58952	20772	578299	161487	169484	165153	65545	38246	599915							
Hauts-de-Seine	374371	480531	390511	157696	100459	1503568	190380	234616	186861	71275	34268	717400	183991	245915	203650	86421	66191	786168							
Seine-Saint-Denis	423538	445687	382755	137770	68331	1458081	215236	218122	189813	65670	23845	712686	208302	227565	192942	72100	44486	745395							
Val-de-Marne	330222	386990	344177	135513	79255	1276157	168213	189288	167966	61453	27291	614211	162009	197702	176211	74060	51964	661946							
Val-d'Oise	336520	327161	317238	105609	53800	1140328	172073	159640	155171	49816	18374	555074	164447	167521	162067	55793	35426	585254							
	15182339	16325793	16434639	7794174	4768476	60505421	7765576	8133680	8092471	3601632	1719313	29312672	7416763	8192113	8342168	4192542	3049163	31192749							
Guadeloupe	124310	107600	103377	40302	21403	396992	63484	49261	48032	18334	8492	187603	60826	58339	55345	21968	12911	209389							
Martinique	116061	104798	105488	44899	22606	393852	58427	48041	48748	20557	8530	184303	57634	56757	56740	24342	14076	209549							
Guyane	86674	57302	38022	7951	3218	193167	43840	27438	19597	4079	1346	96300	42834	29864	18425	3872	1872	96867							
La Réunion	274589	230017	176332	57948	22744	761630	139757	110134	85995	26789	8380	371055	134832	119883	90337	31159	14364	390575							
	601634	499717	423219	151100	69971	1745641	305508	234874	202372	69759	26748	839261	296126	264843	220847	81341	43223	906380							
	15783973	16825510	16857858	7945274	4838447	62251062	8071084	8368554	8294843	3671391	1746061	30151933	7712889	8456956	8563015	4273883	3092386	32099129							
																									
																									
																									
																									
																									
																									
																									
																									
																									
