	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	145856	144025	142275	62270	33769	528195	74649	72797	72076	29884	12336	261742	71207	71228	70199	32386	21433	266453									
Aisne	147477	139639	139882	71521	38107	536626	75152	70477	70507	32421	13519	262076	72325	69162	69375	39100	24588	274550									
Allier	73360	81293	92804	59461	37633	344551	37575	41173	45962	26905	13808	165423	35785	40120	46842	32556	23825	179128									
Alpes-de-Haute-Provence	34136	33588	39043	23526	13281	143574	17559	16646	19515	11284	5144	70148	16577	16942	19528	12242	8137	73426									
Hautes-Alpes	30379	30909	33639	18124	10822	123873	15587	15506	16887	8623	4164	60767	14792	15403	16752	9501	6658	63106									
Alpes-Maritimes	226407	258351	267308	163079	111310	1026455	116208	124942	127613	73353	39705	481821	110199	133409	139695	89726	71605	544634									
Ardèche	69324	70794	78373	45423	27165	291079	35751	35880	39481	21553	9986	142651	33573	34914	38892	23870	17179	148428									
Ardennes	78106	76017	74817	40225	19876	289041	40112	38671	37846	18357	6974	141960	37994	37346	36971	21868	12902	147081									
Ariège	30302	31967	37566	24037	15516	139388	15661	16172	19047	11326	6066	68272	14641	15795	18519	12711	9450	71116									
Aube	75253	77517	77819	40303	23418	294310	38336	39258	38891	18381	8459	143325	36917	38259	38928	21922	14959	150985									
Aude	71769	75452	83536	53469	33323	317549	36686	37917	41155	25012	12991	153761	35083	37535	42381	28457	20332	163788									
Aveyron	56361	61914	69853	47789	30452	266369	29092	32135	35456	22594	11599	130876	27269	29779	34397	25195	18853	135493									
Bouches-du-Rhône	465133	515917	493981	246375	139542	1860948	238133	251870	239025	113303	50356	892687	227000	264047	254956	133072	89186	968261									
Calvados	172786	182289	169180	84556	45873	654684	87543	90621	83494	37634	15841	315133	85243	91668	85686	46922	30032	339551									
Cantal	30922	35960	40845	26529	16201	150457	15840	18508	20975	12401	6070	73794	15082	17452	19870	14128	10131	76663									
Charente	78285	83560	92963	54031	33120	341959	40151	42118	46092	25407	12239	166007	38134	41442	46871	28624	20881	175952									
