	Ensemble						Hommes						Femmes														
Charente-Maritime	128498	135443	151269	95764	56643	567617	65962	68019	74029	44536	21664	274210	62536	67424	77240	51228	34979	293407									
Cher	73279	76698	85071	50190	29398	314636	37493	38747	42873	23470	10755	153338	35786	37951	42198	26720	18643	161298									
Corrèze	47446	54654	63102	41820	27545	234567	24514	28355	31675	19196	10127	113867	22932	26299	31427	22624	17418	120700									
Corse-du-Sud	28471	30675	33796	19746	10497	123185	14799	14870	16824	9382	3766	59641	13672	15805	16972	10364	6731	63544									
Haute-Corse	32634	38789	39354	22757	12554	146088	16790	19276	20019	10931	4540	71556	15844	19513	19335	11826	8014	74532									
Côte-d'Or	127572	146223	133417	64646	37856	509714	64662	71764	66353	29769	13558	246106	62910	74459	67064	34877	24298	263608									
Côtes-d'Armor	130012	128656	143574	94201	53060	549503	66554	65957	71942	42545	18494	265492	63458	62699	71632	51656	34566	284011									
Creuse	23708	26628	32563	24404	16792	124095	12205	13827	16737	11402	6372	60543	11503	12801	15826	13002	10420	63552									
Dordogne	82106	87768	106271	71651	44697	392493	42103	43969	52603	33734	16903	189312	40003	43799	53668	37917	27794	203181									
Doubs	133269	144708	130352	63941	31659	503929	68169	72859	64921	29623	11319	246891	65100	71849	65431	34318	20340	257038									
Drôme	116242	113195	118961	62412	35052	445862	59772	56568	58775	29170	13035	217320	56470	56627	60186	33242	22017	228542									
Eure	153229	146282	147482	66657	34852	548502	78366	73417	74107	31026	12551	269467	74863	72865	73375	35631	22301	279035									
Eure-et-Loir	111420	107729	109499	52223	30421	411292	56897	54438	55185	24604	11622	202746	54523	53291	54314	27619	18799	208546									
Finistère	209909	223662	220946	131258	74765	860540	107716	115481	111069	57687	25021	416974	102193	108181	109877	73571	49744	443566									
Gard	158919	159877	173188	93514	52668	638166	81113	79292	85044	43643	19839	308931	77806	80585	88144	49871	32829	329235									
Haute-Garonne	260282	345252	278458	125670	72478	1082140	132834	171844	136552	58031	26646	525907	127448	173408	141906	67639	45832	556233									
Gers	36285	38682	47774	31992	19948	174681	18610	19635	23938	15494	7996	85673	17675	19047	23836	16498	11952	89008									
Gironde	316191	378587	350176	167738	101975	1314667	161105	185900	170684	76493	35730	629912	155086	192687	179492	91245	66245	684755									
Hérault	222026	258276	235720	129788	75711	921521	113435	124554	113105	60149	28429	439672	108591	133722	122615	69639	47282	481849									
Ille-et-Vilaine	233329	265003	218779	110337	59975	887423	119278	132827	108479	50626	20756	431966	114051	132176	110300	59711	39219	455457									
Indre	49430	54961	61532	40500	25258	231681	25214	28126	31177	18897	9448	112862	24216	26835	30355	21603	15810	118819									
Indre-et-Loire	138593	154513	145926	75887	46232	561151	70490	75655	71808	35117	17119	270189	68103	78858	74118	40770	29113	290962									
Isère	298546	324137	290415	132868	67051	1113017	153378	163645	144489	62150	24187	547849	145168	160492	145926	70718	42864	565168									
Jura	63918	63872	66297	36812	21941	252840	32915	32376	33444	17175	8137	124047	31003	31496	32853	19637	13804	128793									
Landes	75284	81346	91056	56508	32276	336470	38921	41529	45032	26440	11797	163719	36363	39817	46024	30068	20479	172751									
Loir-et-Cher	75536	78012	83051	50228	30956	317783	38534	39555	41565	23533	11931	155118	37002	38457	41486	26695	19025	162665									
Loire	183908	189529	191323	106597	61171	732528	94003	95343	94462	48009	21437	353254	89905	94186	96861	58588	39734	379274									
Haute-Loire	50463	52125	55816	33932	19438	211774	26012	26792	28756	15660	6937	104157	24451	25333	27060	18272	12501	107617									
Loire-Atlantique	308080	328313	300876	144746	78224	1160239	157250	164834	148340	64667	26849	561940	150830	163479	152536	80079	51375	598299									
Loiret	163648	170520	163557	80700	46810	625235	83748	85290	81493	37811	17633	305975	79900	85230	82064	42889	29177	319260									
Lot	34039	35997	43690	30270	18684	162680	17512	18237	21789	14443	7150	79131	16527	17760	21901	15827	11534	83549									
Lot-et-Garonne	70167	71986	82905	52483	32138	309679	35959	35899	40687	24711	12232	149488	34208	36087	42218	27772	19906	160191									
Lozère	16478	18524	19732	11913	7701	74348	8558	9657	10344	5811	3024	37394	7920	8867	9388	6102	4677	36954									
Maine-et-Loire	202170	206295	184587	93653	55367	742072	102951	103215	91625	42799	20275	360865	99219	103080	92962	50854	35092	381207									
Manche	123967	120339	122604	76205	41733	484848	63525	61489	62294	34853	14861	237022	60442	58850	60310	41352	26872	247826									
Marne	147802	166002	147122	67369	37240	565535	75652	83393	72801	30643	12863	275352	72150	82609	74321	36726	24377	290183									
Haute-Marne	48768	48295	50907	28884	16138	192992	25185	24794	25822	13323	5895	95019	23583	23501	25085	15561	10243	97973									
Mayenne	76381	75340	72058	41165	24180	289124	39351	38953	36242	19167	8815	142528	37030	36387	35816	21998	15365	146596									
Meurthe-et-Moselle	184263	207683	183313	94662	47437	717358	94463	103965	90594	42709	16053	347784	89800	103718	92719	51953	31384	369574									
Meuse	50178	49430	50135	28067	15209	193019	25912	25591	25592	12991	5385	95471	24266	23839	24543	15076	9824	97548									
Morbihan	163103	165911	170649	103305	53890	656858	84122	85305	84911	46660	18715	319713	78981	80606	85738	56645	35175	337145									
Moselle	265309	289619	273409	139559	59562	1027458	135851	147044	136822	64946	20320	504983	129458	142575	136587	74613	39242	522475									
Nièvre	48768	50696	60326	40302	24477	224569	24969	25801	30148	18577	8870	108365	23799	24895	30178	21725	15607	116204									
Nord	740797	741239	627028	297280	149615	2555959	378719	368925	309164	129256	49193	1235257	362078	372314	317864	168024	100422	1320702									
Oise	223259	218084	207881	83297	41192	773713	114625	109663	105212	38818	14727	383045	108634	108421	102669	44479	26465	390668									
Orne	73755	71328	76017	45878	25890	292868	37952	36457	38287	21330	9272	143298	35803	34871	37730	24548	16618	149570									
Pas-de-Calais	412559	390763	362873	183981	95007	1445183	211155	196581	180790	79280	31042	698848	201404	194182	182083	104701	63965	746335									
Puy-de-Dôme	139095	168694	167860	86016	47497	609162	71124	84450	83663	39121	16664	295022	67971	84244	84197	46895	30833	314140									
Pyrénées-Atlantiques	138979	155980	161866	95863	56917	609605	71517	78457	79206	44024	20211	293415	67462	77523	82660	51839	36706	316190									
Hautes-Pyrénées	47611	53171	61923	38184	23041	223930	24519	26876	30649	17554	8386	107984	23092	26295	31274	20630	14655	115946									
Pyrénées-Orientales	90845	97073	102119	70078	41930	402045	46337	47474	48950	32284	16041	191086	44508	49599	53169	37794	25889	210959									
Bas-Rhin	265680	315391	271638	126913	60899	1040521	135344	157654	136899	58429	18918	507244	130336	157737	134739	68484	41981	533277									
Haut-Rhin	186036	201515	192145	93247	42614	715557	95044	101743	97446	43283	13739	351255	90992	99772	94699	49964	28875	364302									
Rhône	420939	485195	401872	191656	102310	1601972	213941	237969	195535	87128	34881	769454	206998	247226	206337	104528	67429	832518									
Haute-Saône	59066	58698	62233	33100	18316	231413	30485	30119	31679	15616	6688	114587	28581	28579	30554	17484	11628	116826									
Saône-et-Loire	128168	131573	146979	87436	52156	546312	65904	67073	73569	40196	19087	265829	62264	64500	73410	47240	33069	280483									
Sarthe	137263	141804	137007	75486	44596	536156	70089	72038	68383	34938	16623	262071	67174	69766	68624	40548	27973	274085									
Savoie	96022	105714	101919	50252	26824	380731	49778	53374	51204	23266	9343	186965	46244	52340	50715	26986	17481	193766									
Haute-Savoie	173721	186989	177017	73653	37113	648493	89553	94515	88327	34337	13203	319935	84168	92474	88690	39316	23910	328558									
Paris	411657	774605	552188	240084	158908	2137442	207625	376037	263685	104371	52259	1003977	204032	398568	288503	135713	106649	1133465									
Seine-Maritime	336986	343643	321149	154583	84543	1240904	171800	170511	158616	68922	29078	598927	165186	173132	162533	85661	55465	641977									
Seine-et-Marne	359829	352634	331421	113387	57023	1214294	183877	174125	166182	53357	19821	597362	175952	178509	165239	60030	37202	616932									
Yvelines	388894	389731	377164	143438	65788	1365015	199040	193668	185852	67944	22880	669384	189854	196063	191312	75494	42908	695631									
Deux-Sèvres	83901	87096	91779	53445	32378	348599	43288	44464	46070	25416	12798	172036	40613	42632	45709	28029	19580	176563									
Somme	147094	157775	141900	71813	39838	558420	75028	78909	70670	32411	14532	271550	72066	78866	71230	39402	25306	286870									
Tarn	78842	82305	92824	58626	36303	348900	40571	41296	45717	27372	13965	168921	38271	41009	47107	31254	22338	179979									
Tarn-et-Garonne	50065	51904	56046	32964	20155	211134	25701	26101	28064	15457	7828	103151	24364	25803	27982	17507	12327	107983									
Var	216385	221849	243463	152714	86621	921032	110693	110318	117875	71524	32604	443014	105692	111531	125588	81190	54017	478018									
Vaucluse	131766	131191	135148	71155	39237	508497	67660	64742	66202	33064	14418	246086	64106	66449	68946	38091	24819	262411									
Vendée	136217	140208	142628	87673	47362	554088	69692	72129	71654	41163	17699	272337	66525	68079	70974	46510	29663	281751									
Vienne	95195	113794	102900	56812	35257	403958	48348	56160	51207	26800	13471	195986	46847	57634	51693	30012	21786	207972									
Haute-Vienne	74657	93648	96019	56208	36602	357134	38271	46279	47418	25915	13436	171319	36386	47369	48601	30293	23166	185815									
Vosges	97878	96745	100267	55765	30301	380956	50286	49605	50381	25266	10103	185641	47592	47140	49886	30499	20198	195315									
Yonne	83008	81422	88207	50932	31487	335056	42510	41347	44467	23850	11663	163837	40498	40075	43740	27082	19824	171219									
Territoire de Belfort	36045	39475	36399	17599	8995	138513	18601	20850	18266	8014	3076	68807	17444	18625	18133	9585	5919	69706									
Essonne	324221	341390	312201	120352	53357	1151521	165446	170746	154941	56879	18311	566323	158775	170644	157260	63473	35046	585198									
Hauts-de-Seine	359269	474273	371312	159631	93253	1457738	182630	231214	179544	71235	31338	695961	176639	243059	191768	88396	61915	761777									
Seine-Saint-Denis	410396	435551	363762	139063	63017	1411789	208809	212952	182855	64622	21587	690825	201587	222599	180907	74441	41430	720964									
Val-de-Marne	322024	386754	327596	136773	73577	1246724	163902	189655	161208	61162	24787	600714	158122	197099	166388	75611	48790	646010									
Val-d'Oise	335087	327873	302169	104362	48810	1118301	171117	160427	149768	48442	16407	546161	163970	167446	152401	55920	32403	572140									
	15062693	16456501	15509841	7857741	4379796	59266572	7701868	8207681	7678778	3603087	1558392	28749806	7360825	8248820	7831063	4254654	2821404	30516766									
Guadeloupe	125970	115200	92549	37970	18983	390672	63955	54134	43325	17182	7568	186164	62015	61066	49224	20788	11415	204508									
Martinique	117064	112332	93700	42675	20771	386542	59076	52356	43557	19399	7946	182334	57988	59976	50143	23276	12825	204208									
Guyane	75723	51236	32058	6887	2710	168614	38374	24791	16747	3521	1109	84542	37349	26445	15311	3366	1601	84072									
La Réunion	269609	233311	153858	52585	19647	729010	137168	113239	75560	24207	6997	357171	132441	120072	78298	28378	12650	371839									
	588366	512079	372165	140117	62111	1674838	298573	244520	179189	64309	23620	810211	289793	267559	192976	75808	38491	864627									
	15651059	16968580	15882006	7997858	4441907	60941410	8000441	8452201	7857967	3667396	1582012	29560017	7650618	8516379	8024039	4330462	2859895	31381393									
																											
																											
																											
																											
																											
																											
																											
																											
																											
