	Ensemble						Hommes						Femmes														
Drôme	117074	102243	84854	46565	21597	372333	60204	51962	42114	21045	7378	182703	56870	50281	42740	25520	14219	189630									
Eure	151030	124857	93606	47723	21157	438373	77061	64213	47347	21586	6982	217189	73969	60644	46259	26137	14175	221184									
Eure-et-Loir	114380	97277	73853	41477	19055	346042	58975	50177	37363	19345	6915	172775	55405	47100	36490	22132	12140	173267									
Finistère	254842	206449	192704	114723	45193	813911	130507	106567	93751	49180	14443	394448	124335	99882	98953	65543	30750	419463									
Gard	147681	133778	123893	69722	33265	508339	75710	68264	61022	31625	11113	247734	71971	65514	62871	38097	22152	260605									
Haute-Garonne	232147	239424	185631	95628	43683	796513	118425	119770	90601	43446	15063	387305	113722	119654	95030	52182	28620	409208									
Gers	47302	41205	44358	28727	13627	175219	24352	21122	22653	13917	5068	87112	22950	20083	21705	14810	8559	88107									
Gironde	322132	309027	251901	136800	68495	1088355	164084	154324	122630	59805	21760	522603	158048	154703	129271	76995	46735	565752									
Hérault	192112	183396	156383	93845	45354	671090	97905	91652	75450	42315	15651	322973	94207	91744	80933	51530	29703	348117									
Ille-et-Vilaine	243871	203914	159737	82071	31880	721473	124092	102212	77981	35034	9117	348436	119779	101702	81756	47037	22763	373037									
Indre	70591	59884	57526	39080	19673	246754	36069	31316	28759	18167	7050	121361	34522	28568	28767	20913	12623	125393									
Indre-et-Loire	158044	136718	105859	60051	29333	490005	80239	68494	52283	27407	9993	238416	77805	68224	53576	32644	19340	251589									
Isère	289530	270550	198086	91886	40503	890555	148322	138590	100111	40244	13171	440438	141208	131960	97975	51642	27332	450117									
Jura	76799	62841	54458	31923	14561	240582	39454	32510	27090	14604	5004	118662	37345	30331	27368	17319	9557	121920									
Landes	84334	72551	70666	43793	20783	292127	43358	36927	35265	19987	6956	142493	40976	35624	35401	23806	13827	149634									
Loir-et-Cher	89095	74226	63844	41304	20714	289183	45719	38083	31989	19019	7336	142146	43376	36143	31855	22285	13378	147037									
Loire	233135	202231	173650	90806	41494	741316	118866	103400	85733	39502	12730	360231	114269	98831	87917	51304	28764	381085									
Haute-Loire	60262	50510	48735	30783	15582	205872	31010	26401	24299	13823	5216	100749	29252	24109	24436	16960	10366	105123									
Loire-Atlantique	329803	269600	212170	102256	45152	958981	168863	134809	103359	43605	13029	463665	160940	134791	108811	58651	32123	495316									
Loiret	161038	146962	110184	61129	28686	507999	82137	75277	55103	28109	10161	250787	78901	71685	55081	33020	18525	257212									
Lot	40868	36005	37296	26009	12142	152320	21034	18358	18548	12093	4289	74322	19834	17647	18748	13916	7853	77998									
Lot-et-Garonne	83699	73335	72294	44775	20780	294883	42780	37053	35606	21001	7389	143829	40919	36282	36688	23774	13391	151054									
Lozère	21158	18693	16961	11831	5853	74496	10850	9982	8787	5498	2085	37202	10308	8711	8174	6333	3768	37294									
Maine-et-Loire	232158	176416	134680	70448	34206	647908	118015	88838	65845	31205	11296	315199	114143	87578	68835	39243	22910	332709									
Manche	152542	114184	108799	58966	22848	457339	77788	58657	53697	25466	6222	221830	74754	55527	55102	33500	16626	235509									
Marne	181938	161523	111523	54625	25308	534917	92679	83020	55958	23938	8651	264246	89259	78503	55565	30687	16657	270671									
Haute-Marne	72378	56619	46063	24965	11518	211543	37241	29701	23301	11457	3870	105570	35137	26918	22762	13508	7648	105973									
Mayenne	90805	68752	60022	32812	13505	265896	46425	34582	29770	14299	4007	129083	44380	34170	30252	18513	9498	136813									
Meurthe-et-Moselle	238508	213727	161722	74641	31480	720078	121429	110411	80687	32198	10285	355010	117079	103316	81035	42443	21195	365068									
Meuse	67306	53242	45177	25124	11715	202564	34709	27913	22681	11108	3975	100386	32597	25329	22496	14016	7740	102178									
Morbihan	191340	146117	134164	75251	27683	574555	98282	75703	66281	32325	8383	280974	93058	70414	67883	42926	19300	293581									
Moselle	351149	294975	231074	94364	34321	1005883	179620	153667	117201	41711	11711	503910	171529	141308	113873	52653	22610	501973									
Nièvre	69335	58675	55791	38992	20474	243267	35692	30387	27870	17791	7219	118959	33643	28288	27921	21201	13255	124308									
Nord	885293	711195	548094	254636	111758	2510976	451593	363748	270579	106741	35650	1228311	433700	347447	277515	147895	76108	1282665									
Oise	220658	188094	130304	60197	28850	628103	113125	98239	66920	27089	9773	315146	107533	89855	63384	33108	19077	312957									
Orne	98916	76011	67575	36013	15905	294420	50563	38888	33662	15952	4865	143930	48353	37123	33913	20061	11040	150490									
Pas-de-Calais	498095	374440	317568	155010	61262	1406375	254313	191240	154976	65310	19495	685334	243782	183200	162592	89700	41767	721041									
Puy-de-Dôme	176002	169289	137520	70281	32607	585699	89841	87213	68871	31207	10614	287746	86161	82076	68649	39074	21993	297953									
Pyrénées-Atlantiques	161562	138554	129438	77943	35976	543473	82313	69262	63710	34859	11969	262113	79249	69292	65728	43084	24007	281360									
Hautes-Pyrénées	63749	57582	57095	33964	14912	227302	32776	29046	28177	15612	4982	110593	30973	28536	28918	18352	9930	116709									
Pyrénées-Orientales	85529	72087	79379	53940	22996	313931	43942	35426	38242	25019	8443	151072	41587	36661	41137	28921	14553	162859									
Bas-Rhin	288154	267429	196095	101974	41085	894737	146318	139295	95353	42412	13632	437010	141836	128134	100742	59562	27453	457727									
Haut-Rhin	206383	189919	144369	69705	30215	640591	105600	99447	71412	28545	9551	314555	100783	90472	72957	41160	20664	326036									
Rhône	453586	437560	327610	148790	66358	1433904	231218	222086	163025	62414	20287	699030	222368	215474	164585	86376	46071	734874									
Haute-Saône	74843	59387	48724	29522	13637	226113	38532	31179	24439	13131	4586	111867	36311	28208	24285	16391	9051	114246									
Saône-et-Loire	177036	146507	132743	76972	37523	570781	90712	75612	66405	34615	12810	280154	86324	70895	66338	42357	24713	290627									
Sarthe	169597	131491	108167	59954	27479	496688	87115	66634	53249	26871	8872	242741	82482	64857	54918	33083	18607	253947									
Savoie	98511	90206	71825	36053	15880	312475	50370	46674	36303	16280	5385	155012	48141	43532	35522	19773	10495	157463									
Haute-Savoie	150868	147883	101804	46673	18671	465899	77312	76023	51176	20825	6256	231592	73556	71860	50628	25848	12415	234307									
Paris	440725	773609	544489	330993	159828	2249644	221470	389656	252406	128486	47753	1039771	219255	383953	292083	202507	112075	1209873									
Seine-Maritime	400092	343181	258287	125465	53647	1180672	204089	174851	127469	54630	16869	577908	196003	168330	130818	70835	36778	602764									
Seine-et-Marne	276859	246244	170199	76474	37382	807158	141523	125126	87144	34180	12740	400713	135336	121118	83055	42294	24642	406445									
Yvelines	384250	363381	256670	82765	39413	1126479	196998	183919	131192	36158	12135	560402	187252	179462	125478	46607	27278	566077									
Deux-Sèvres	110382	85998	76491	44863	21330	339064	56763	43903	38322	21176	7711	167875	53619	42095	38169	23687	13619	171189									
Somme	186167	147930	114403	62983	29764	541247	94587	75503	56822	28052	10360	265324	91580	72427	57581	34931	19404	275923									
Tarn	96106	82947	85091	49982	24665	338791	49681	41756	42040	22983	8818	165278	46425	41191	43051	26999	15847	173513									
Tarn-et-Garonne	53971	45910	44986	28637	13049	186553	27728	23377	22212	13335	4715	91367	26243	22533	22774	15302	8334	95186									
Var	180976	175243	159605	101861	41456	659141	93502	90292	78509	46409	14087	322799	87474	84951	81096	55452	27369	336342									
Vaucluse	123124	113296	94525	51571	22581	405097	63302	58355	46887	23373	7822	199739	59822	54941	47638	28198	14759	205358									
Vendée	156318	119149	101758	60248	26314	463787	80034	61109	50526	27222	8654	227545	76284	58040	51232	33026	17660	236242									
Vienne	113829	97238	80027	48668	23441	363203	57872	49424	39979	22667	8392	178334	55957	47814	40048	26001	15049	184869									
Haute-Vienne	92916	92192	85654	55321	27717	353800	47319	46810	42392	25074	9567	171162	45597	45382	43262	30247	18150	182638									
Vosges	132020	106534	87582	49877	21273	397286	67589	55505	43177	21286	6611	194168	64431	51029	44405	28591	14662	203118									
Yonne	91101	77261	65532	46528	23930	304352	46760	40579	33038	21409	8771	150557	44341	36682	32494	25119	15159	153795									
Territoire de Belfort	42577	38407	29173	13580	6109	129846	21985	20242	14715	5770	1983	64695	20592	18165	14458	7810	4126	65151									
Essonne	329154	307258	210586	66607	34164	947769	168741	154892	108290	29248	10815	471986	160413	152366	102296	37359	23349	475783									
Hauts-de-Seine	375357	459542	362760	150028	68556	1416243	190237	234892	179851	62449	20632	688061	185120	224650	182909	87579	47924	728182									
Seine-Saint-Denis	419755	421494	318089	111441	48977	1319756	215253	217408	161284	47681	15374	657000	204502	204086	156805	63760	33603	662756									
Val-de-Marne	357514	387747	292686	111214	55499	1204660	181508	197052	144389	47301	16686	586936	176006	190695	148297	63913	38813	617724									
Val-d'Oise	297971	277552	197784	65995	32223	871525	152492	140119	100252	28726	10228	431817	145479	137433	97532	37269	21995	439708									
	16612734	15132004	12226703	6389578	2910547	53271566	8490408	7732374	6058665	2807689	957589	26046725	8122326	7399630	6168038	3581889	1952958	27224841									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
