	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	124878	113543	87314	45970	21275	392980	64021	59446	45008	20789	7363	196627	60857	54097	42306	25181	13912	196353									
Aisne	182190	144921	117828	60262	28718	533919	93507	74983	59126	26669	10188	264473	88683	69938	58702	33593	18530	269446									
Allier	105538	91426	91097	58082	28665	374808	54043	46691	45151	26328	9904	182117	51495	44735	45946	31754	18761	192691									
Alpes-de-Haute-Provence	33085	29659	27352	16899	7932	114927	17150	15352	13950	8061	2869	57382	15935	14307	13402	8838	5063	57545									
Hautes-Alpes	29305	27929	23512	13661	6165	100572	15197	14404	12073	6490	2199	50363	14108	13525	11439	7171	3966	50209									
Alpes-Maritimes	198767	215533	203837	149758	73982	841877	101551	107741	96430	64153	25969	395844	97216	107792	107407	85605	48013	446033									
Ardèche	77531	66182	61536	37742	18449	261440	39982	34017	31112	16966	6071	128148	37549	32165	30424	20776	12378	133292									
Ardennes	108122	82231	67497	33542	15282	306674	55322	43005	34072	15063	5250	152712	52800	39226	33425	18479	10032	153962									
Ariège	35042	31187	34040	24029	12600	136898	18019	16281	17035	11401	4777	67513	17023	14906	17005	12628	7823	69385									
Aube	90848	80292	62371	35527	17696	286734	46648	41387	31022	15938	6225	141220	44200	38905	31349	19589	11471	145514									
Aude	72908	63562	69234	46441	23638	275783	37949	32404	33763	21559	8710	134385	34959	31158	35471	24882	14928	141398									
Aveyron	76931	66775	67894	45631	21363	278594	39277	34451	33934	21197	7625	136484	37654	32324	33960	24434	13738	142110									
Bouches-du-Rhône	497624	484077	398242	201293	88281	1669517	254854	245864	198265	89344	29229	817556	242770	238213	199977	111949	59052	851961									
Calvados	198477	165310	123025	59975	25508	572295	101329	83403	60117	25807	7544	278200	97148	81907	62908	34168	17964	294095									
Cantal	49578	40482	39162	24870	11215	165307	25390	21281	19944	11503	3895	82013	24188	19201	19218	13367	7320	83294									
Charente	102358	86442	79787	47512	22866	338965	52248	43841	39767	21696	7860	165412	50110	42601	40020	25816	15006	173553									
Charente-Maritime	154135	127196	117235	71902	33613	504081	78988	64604	57654	33234	11737	246217	75147	62592	59581	38668	21876	257864									
Cher	94280	82780	72124	46160	22487	317831	47984	43181	36334	21013	7881	156393	46296	39599	35790	25147	14606	161438									
Corrèze	63377	58144	59788	40616	19290	241215	32580	29946	29575	18622	6817	117540	30797	28198	30213	21994	12473	123675									
Corse-du-Sud	26971	29723	24977	15861	6801	104333	13819	16822	12883	7292	2200	53016	13152	12901	12094	8569	4601	51317									
Haute-Corse	32911	37551	30654	18525	8381	128022	17032	22637	16004	8677	2896	67246	15879	14914	14650	9848	5485	60776									
Côte-d'Or	150768	135456	99485	52126	25183	463018	76520	68890	49501	23650	8524	227085	74248	66566	49984	28476	16659	235933									
Côtes-d'Armor	166846	129665	126275	77551	30903	531240	85887	66974	62236	33724	9120	257941	80959	62691	64039	43827	21783	273299									
Creuse	35205	30091	35967	27728	14822	143813	18027	15971	18274	12771	5235	70278	17178	14120	17693	14957	9587	73535									
Dordogne	100747	87546	94386	63111	29181	374971	51825	44511	46708	29515	10083	182642	48922	43035	47678	33596	19098	192329									
Doubs	165980	144648	99733	44981	18199	473541	84287	75163	50197	19875	6007	235529	81693	69485	49536	25106	12192	238012									
