	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	123830	110580	84889	47456	20452	387207	63529	58158	43745	21501	7026	193959	60301	52422	41144	25955	13426	193248									
Aisne	184614	142829	115538	63134	27820	533935	94645	74084	57995	28089	9825	264638	89969	68745	57543	35045	17995	269297									
Allier	107327	90449	89907	60632	27833	376148	54885	46279	44616	27526	9529	182835	52442	44170	45291	33106	18304	193313									
Alpes-de-Haute-Provence	33275	28963	26692	17375	7640	113945	17209	15049	13634	8299	2747	56938	16066	13914	13058	9076	4893	57007									
Hautes-Alpes	29358	27084	23031	14031	5929	99433	15176	14022	11847	6651	2100	49796	14182	13062	11184	7380	3829	49637									
Alpes-Maritimes	198656	210953	199050	153012	70940	832611	101711	105822	93874	65735	24898	392040	96945	105131	105176	87277	46042	440571									
Ardèche	78188	64550	60198	39233	17807	259976	40238	33246	30415	17632	5852	127383	37950	31304	29783	21601	11955	132593									
Ardennes	109785	81397	66211	35237	14839	307469	56177	42758	33516	15860	5069	153380	53608	38639	32695	19377	9770	154089									
Ariège	35637	30656	33526	25136	12286	137241	18320	15972	16846	11911	4647	67696	17317	14684	16680	13225	7639	69545									
Aube	91822	79137	61313	36854	17083	286209	47104	40832	30513	16573	5966	140988	44718	38305	30800	20281	11117	145221									
Aude	73524	61735	68186	48225	22938	274608	38193	31378	33316	22401	8360	133648	35331	30357	34870	25824	14578	140960									
Aveyron	78086	65632	66867	47425	20574	278584	39864	33839	33426	22103	7251	136483	38222	31793	33441	25322	13323	142101									
Bouches-du-Rhône	497554	475724	392215	205484	85225	1656202	254558	242767	195300	91009	28121	811755	242996	232957	196915	114475	57104	844447									
Calvados	199622	162165	120419	61501	24601	568308	101903	81894	58856	26574	7123	276350	97719	80271	61563	34927	17478	291958									
Cantal	50488	39908	38561	25810	10892	165659	25825	20971	19662	12029	3693	82180	24663	18937	18899	13781	7199	83479									
Charente	103807	84777	78398	49276	22014	338272	53002	43047	39088	22554	7482	165173	50805	41730	39310	26722	14532	173099									
Charente-Maritime	156168	124392	114966	74036	32359	501921	79951	63259	56607	34324	11117	245258	76217	61133	58359	39712	21242	256663									
Cher	95237	81560	70816	47917	21821	317351	48459	42622	35693	21879	7580	156233	46778	38938	35123	26038	14241	161118									
Corrèze	64288	57018	58979	42062	18681	241028	33114	29382	29228	19341	6528	117593	31174	27636	29751	22721	12153	123435									
Corse-du-Sud	26650	29292	24803	16025	6570	103340	13691	16828	12770	7352	2141	52782	12959	12464	12033	8673	4429	50558									
Haute-Corse	32481	37472	30174	18818	8154	127099	16837	22929	15689	8795	2885	67135	15644	14543	14485	10023	5269	59964									
Côte-d'Or	151218	133389	97548	53817	24336	460308	76835	68069	48572	24482	8147	226105	74383	65320	48976	29335	16189	234203									
Côtes-d'Armor	168678	127424	123574	80106	29567	529349	86813	65862	60993	34846	8537	257051	81865	61562	62581	45260	21030	272298									
Creuse	35986	29661	35456	29012	14512	144627	18423	15776	18015	13412	5052	70678	17563	13885	17441	15600	9460	73949									
Dordogne	102307	85710	92909	65234	28118	374278	52586	43665	46107	30471	9588	182417	49721	42045	46802	34763	18530	191861									
Doubs	167102	144159	97718	46071	17477	472527	84815	75309	49195	20366	5719	235404	82287	68850	48523	25705	11758	237123									
Drôme	117236	99898	82699	47852	20876	368561	60261	50799	41138	21629	7051	180878	56975	49099	41561	26223	13825	187683									
Eure	151111	121305	91204	49061	20378	433059	77119	62648	46055	22307	6599	214728	73992	58657	45149	26754	13779	218331									
Eure-et-Loir	114349	94850	71877	42626	18326	342028	58976	49101	36383	19909	6606	170975	55373	45749	35494	22717	11720	171053									
Finistère	256901	201931	189436	118406	43596	810270	131422	104099	92292	50902	13834	392549	125479	97832	97144	67504	29762	417721									
Gard	148390	129950	121529	71706	32008	503583	76021	66333	59990	32478	10618	245440	72369	63617	61539	39228	21390	258143									
Haute-Garonne	231742	235543	182031	98114	42206	789636	118518	117507	89051	44605	14344	384025	113224	118036	92980	53509	27862	405611									
Gers	48145	40602	43632	29907	13096	175382	24689	20905	22272	14569	4767	87202	23456	19697	21360	15338	8329	88180									
Gironde	322182	301649	247666	141102	66447	1079046	164150	150823	120513	61787	20823	518096	158032	150826	127153	79315	45624	560950									
Hérault	190847	179149	153096	95915	43968	662975	97475	89386	73919	43304	15002	319086	93372	89763	79177	52611	28966	343889									
Ille-et-Vilaine	243590	200164	155713	84739	30608	714814	123857	100410	75922	36142	8657	344988	119733	99754	79791	48597	21951	369826									
Indre	72033	58950	56651	40693	19062	247389	36860	30760	28368	18992	6728	121708	35173	28190	28283	21701	12334	125681									
Indre-et-Loire	158610	134391	103179	61613	28317	486110	80575	67428	50912	28200	9521	236636	78035	66963	52267	33413	18796	249474									
Isère	288228	265333	193005	94491	38953	880010	147693	136272	97519	41423	12649	435556	140535	129061	95486	53068	26304	444454									
Jura	77678	61733	53514	33090	14066	240081	39878	32048	26630	15201	4775	118532	37800	29685	26884	17889	9291	121549									
Landes	85367	70997	69162	45316	19936	290778	43858	36051	34644	20735	6555	141843	41509	34946	34518	24581	13381	148935									
Loir-et-Cher	89910	72597	62191	42577	19959	287234	46124	37291	31168	19704	6933	141220	43786	35306	31023	22873	13026	146014									
Loire	235012	200858	171334	94272	40070	741546	119835	103022	84627	41011	12187	360682	115177	97836	86707	53261	27883	380864									
Haute-Loire	60898	49611	47671	32366	15121	205667	31296	25947	23732	14609	4987	100571	29602	23664	23939	17757	10134	105096									
