	Ensemble						Hommes						Femmes														
Loire-Atlantique	330155	264071	207081	105321	43765	950393	168867	132103	101011	44853	12536	459370	161288	131968	106070	60468	31229	491023									
Loiret	160219	143632	107020	62898	27641	501410	81875	73710	53553	29009	9629	247776	78344	69922	53467	33889	18012	253634									
Lot	41366	35259	36410	27020	11673	151728	21243	18011	18127	12610	4030	74021	20123	17248	18283	14410	7643	77707									
Lot-et-Garonne	84839	71940	71086	46160	20116	294141	43256	36445	35031	21652	7095	143479	41583	35495	36055	24508	13021	150662									
Lozère	21467	18418	16687	12334	5695	74601	11030	9810	8640	5789	1978	37247	10437	8608	8047	6545	3717	37354									
Maine-et-Loire	231800	172480	131222	72842	33148	641492	117886	86770	64176	32317	10787	311936	113914	85710	67046	40525	22361	329556									
Manche	154559	111843	106605	60629	21976	455612	78724	57327	52637	26159	5896	220743	75835	54516	53968	34470	16080	234869									
Marne	183089	159703	109222	56636	24436	533086	93215	82306	54856	24867	8329	263573	89874	77397	54366	31769	16107	269513									
Haute-Marne	73485	56014	45134	26041	11070	211744	37772	29486	22795	12006	3658	105717	35713	26528	22339	14035	7412	106027									
Mayenne	91554	67310	58641	33948	12976	264429	46770	33830	29109	14852	3758	128319	44784	33480	29532	19096	9218	136110									
Meurthe-et-Moselle	241431	212479	158627	77698	30364	720599	122722	110395	79147	33674	9899	355837	118709	102084	79480	44024	20465	364762									
Meuse	68478	52553	44412	26226	11448	203117	35302	27555	22325	11651	3880	100713	33176	24998	22087	14575	7568	102404									
Morbihan	192863	142935	131135	77301	26665	570899	99050	73903	64975	33259	7967	279154	93813	69032	66160	44042	18698	291745									
Moselle	357434	291440	225917	97828	33029	1005648	182675	152512	114690	43391	11322	504590	174759	138928	111227	54437	21707	501058									
Nièvre	70616	57907	54968	40546	19883	243920	36335	30094	27422	18604	6929	119384	34281	27813	27546	21942	12954	124536									
Nord	892599	702702	536899	269107	108800	2510107	455187	360313	265362	113619	34502	1228983	437412	342389	271537	155488	74298	1281124									
Oise	219928	183745	126564	62194	27849	620280	112827	96449	64969	28034	9360	311639	107101	87296	61595	34160	18489	308641									
Orne	100345	74967	66177	37172	15393	294054	51263	38354	32960	16504	4644	143725	49082	36613	33217	20668	10749	150329									
Pas-de-Calais	504152	367902	312963	160983	59182	1405182	257250	187903	152909	68299	18702	685063	246902	179999	160054	92684	40480	720119									
Puy-de-Dôme	177199	166952	134818	73194	31562	583725	90496	86061	67623	32587	10154	286921	86703	80891	67195	40607	21408	296804									
Pyrénées-Atlantiques	163159	135898	126912	79904	34509	540382	83066	67876	62551	35840	11348	260681	80093	68022	64361	44064	23161	279701									
Hautes-Pyrénées	64786	56596	56424	35082	14362	227250	33311	28508	27917	16143	4713	110592	31475	28088	28507	18939	9649	116658									
Pyrénées-Orientales	84957	69648	77528	54558	22185	308876	43643	34146	37425	25351	8082	148647	41314	35502	40103	29207	14103	160229									
Bas-Rhin	290434	262928	190745	106657	39346	890110	147611	137385	92473	44578	13106	435153	142823	125543	98272	62079	26240	454957									
Haut-Rhin	208303	186969	140841	73176	29192	638481	106478	98382	69477	30190	9178	313705	101825	88587	71364	42986	20014	324776									
Rhône	455860	435749	322003	153758	64167	1431537	232486	222158	160254	64503	19453	698854	223374	213591	161749	89255	44714	732683									
Haute-Saône	75211	58032	47584	30757	13223	224807	38689	30617	23825	13725	4387	111243	36522	27415	23759	17032	8836	113564									
Saône-et-Loire	179200	144565	130238	80039	36342	570384	91777	74763	65148	36197	12215	280100	87423	69802	65090	43842	24127	290284									
Sarthe	171569	129093	105774	61748	26486	494670	88085	65394	52085	27641	8468	241673	83484	63699	53689	34107	18018	252997									
Savoie	98756	88315	70354	37076	15269	309770	50502	45767	35639	16764	5158	153830	48254	42548	34715	20312	10111	155940									
Haute-Savoie	150013	144785	98957	47617	17878	459250	76886	74677	49756	21334	5963	228616	73127	70108	49201	26283	11915	230634									
Paris	442615	773235	546070	349127	156066	2267113	222406	391401	251658	136143	46326	1047934	220209	381834	294412	212984	109740	1219179									
Seine-Maritime	404278	338305	254306	129181	51639	1177709	206086	172706	125576	56375	16082	576825	198192	165599	128730	72806	35557	600884									
Seine-et-Marne	271693	238554	163436	78646	35772	788101	138927	121667	83677	35249	12109	391629	132766	116887	79759	43397	23663	396472									
Yvelines	381001	357830	247740	84985	37879	1109435	195365	181811	126548	37220	11544	552488	185636	176019	121192	47765	26335	556947									
Deux-Sèvres	111545	84380	74897	46538	20592	337952	57251	43157	37545	21971	7368	167292	54294	41223	37352	24567	13224	170660									
Somme	187895	145573	112446	65526	28809	540249	95375	74366	55913	29234	9979	264867	92520	71207	56533	36292	18830	275382									
Tarn	97346	81756	83566	52165	23688	338521	50249	41173	41361	23968	8392	165143	47097	40583	42205	28197	15296	173378									
Tarn-et-Garonne	54442	44779	44036	29596	12588	185441	27980	22779	21784	13795	4504	90842	26462	22000	22252	15801	8084	94599									
Var	180050	169816	155261	102534	39638	647299	93002	87832	76465	46723	13388	317410	87048	81984	78796	55811	26250	329889									
Vaucluse	122953	110467	92144	52788	21667	400019	63141	57061	45688	23970	7435	197295	59812	53406	46456	28818	14232	202724									
Vendée	156802	116176	98764	62292	25211	459245	80249	59664	49067	28140	8132	225252	76553	56512	49697	34152	17079	233993									
Vienne	114549	95329	78287	50373	22575	361113	58213	48466	39157	23544	7928	177308	56336	46863	39130	26829	14647	183805									
Haute-Vienne	93788	90784	84405	57535	26804	353316	47741	46217	41841	26108	9113	171020	46047	44567	42564	31427	17691	182296									
Vosges	133784	105466	85790	51977	20479	397496	68413	55074	42353	22173	6316	194329	65371	50392	43437	29804	14163	203167									
Yonne	91582	75741	63963	48393	23033	302712	46911	40000	32207	22371	8333	149822	44671	35741	31756	26022	14700	152890									
Territoire de Belfort	42690	37967	28594	14098	5864	129213	22057	20103	14436	6003	1888	64487	20633	17864	14158	8095	3976	64726									
Essonne	328752	304601	202921	68384	32835	937493	168531	153780	104338	30149	10324	467122	160221	150821	98583	38235	22511	470371									
Hauts-de-Seine	379923	460017	360581	156068	66475	1423064	192751	236046	178814	65162	19848	692621	187172	223971	181767	90906	46627	730443									
Seine-Saint-Denis	422602	418904	314528	115910	47178	1319122	216820	216823	159780	49719	14765	657907	205782	202081	154748	66191	32413	661215									
Val-de-Marne	361228	387167	289346	115615	53857	1207213	183320	197184	142843	49458	15970	588775	177908	189983	146503	66157	37887	618438									
Val-d'Oise	296326	272059	192269	68280	30757	859691	151473	137816	97546	29772	9705	426312	144853	134243	94723	38508	21052	433379									
	16703587	14901863	11989832	6613226	2810497	53019005	8535010	7632785	5942117	2912471	916194	25938577	8168577	7269078	6047715	3700755	1894303	27080428									
																											
																											
																											
