	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	138131	141183	104387	50419	28667	462787	70845	72067	54151	23602	10146	230811	67286	69116	50236	26817	18521	231976							
Aisne	163698	161557	113639	64902	33400	537196	83866	82300	57107	29608	11506	264387	79832	79257	56532	35294	21894	272809							
Allier	87280	96322	84444	56756	34881	359683	44590	48943	41671	25885	12564	173653	42690	47379	42773	30871	22317	186030							
Alpes-de-Haute-Provence	31694	36237	30930	19470	10828	129159	16252	18456	15571	9242	4109	63630	15442	17781	15359	10228	6719	65529							
Hautes-Alpes	29381	33261	25342	15700	8454	112138	15341	16963	12824	7468	3183	55779	14040	16298	12518	8232	5271	56359							
Alpes-Maritimes	212123	260136	229406	156042	100734	958441	108761	127302	110035	67989	36062	450149	103362	132834	119371	88053	64672	508292							
Ardèche	72513	76153	63834	40426	23734	276660	37447	38843	32187	18858	8318	135653	35066	37310	31647	21568	15416	141007							
Ardennes	91684	88281	64657	34640	18496	297758	46934	44809	32893	15732	6293	146661	44750	43472	31764	18908	12203	151097							
Ariège	31163	35899	30909	23350	15138	136459	16066	18422	15514	11141	5949	67092	15097	17477	15395	12209	9189	69367							
Aube	82161	85990	64347	35527	21379	289404	42202	43494	32522	16029	7607	141854	39959	42496	31825	19498	13772	147550							
Aude	69800	79522	67641	49280	29672	295915	36293	41167	33148	23221	11383	145212	33507	38355	34493	26059	18289	150703							
Aveyron	65027	70532	63067	44550	28410	271586	33351	36482	31448	20984	10891	133156	31676	34050	31619	23566	17519	138430							
Bouches-du-Rhône	472853	528127	417875	222440	113993	1755288	242101	259964	207313	100855	39482	849715	230752	268163	210562	121585	74511	905573							
Calvados	188467	191327	129009	70770	35342	614915	95899	95305	62966	31751	11115	297036	92568	96022	66043	39019	24227	317879							
Cantal	40148	43920	36202	24783	14405	159458	20564	22890	18349	11553	5233	78589	19584	21030	17853	13230	9172	80869							
Charente	89414	97142	77595	48400	29609	342160	45905	48919	38430	22558	10779	166591	43509	48223	39165	25842	18830	175569							
Charente-Maritime	136314	142544	119051	81560	45979	525448	70019	71426	58572	37845	17305	255167	66295	71118	60479	43715	28674	270281							
Cher	83569	91113	73938	44901	27958	321479	42717	46413	37504	20652	9982	157268	40852	44700	36434	24249	17976	164211							
Corrèze	54739	63235	55105	40696	24812	238587	28219	32338	27313	18701	9113	115684	26520	30897	27792	21995	15699	122903							
Corse-du-Sud	28764	34193	28061	17092	8640	116750	14860	17460	14539	7819	3016	57694	13904	16733	13522	9273	5624	59056							
Haute-Corse	31428	39314	31559	19231	10072	131604	15872	20823	16603	9016	3574	65888	15556	18491	14956	10215	6498	65716							
Côte-d'Or	142064	153408	106947	56208	32810	491437	71783	76330	53778	25531	11658	239080	70281	77078	53169	30677	21152	252357							
Côtes-d'Armor	146497	142028	121803	85021	43438	538787	74997	73214	60278	38020	14274	260783	71500	68814	61525	47001	29164	278004							
Creuse	27651	32428	30308	24755	17512	132654	14296	16957	15415	11665	6422	64755	13355	15471	14893	13090	11090	67899							
Dordogne	89806	100414	89635	67049	38425	385329	46345	50651	44200	31450	14320	186966	43461	49763	45435	35599	24105	198363							
Doubs	148091	151722	108458	50890	25534	484695	75638	76827	54835	23017	8861	239178	72453	74895	53623	27873	16673	245517							
Drôme	116214	118404	94935	52545	28978	411076	59690	59608	47335	24141	10331	201105	56524	58796	47600	28404	18647	209971							
Eure	158530	156589	108842	54424	27993	506378	81381	79070	55545	25228	9724	250948	77149	77519	53297	29196	18269	255430							
Eure-et-Loir	119958	116863	83420	45183	25934	391358	61539	58699	42693	21099	9812	193842	58419	58164	40727	24084	16122	197516							
Finistère	230729	239187	184339	120255	62379	836889	118529	123724	90541	52118	20640	405552	112200	115463	93798	68137	41739	431337							
Gard	152046	166171	133783	81521	43232	576753	78055	83831	66166	37725	15450	281227	73991	82340	67617	43796	27782	295526							
Haute-Garonne	236561	302814	206219	106167	58731	910492	120124	151198	100889	48301	21188	441700	116437	151616	105330	57866	37543	468792							
Gers	39245	45958	41752	29172	18381	174508	20348	23523	20958	14305	7262	86396	18897	22435	20794	14867	11119	88112							
Gironde	324046	373972	266937	151387	84876	1201218	165033	184709	130975	68017	28274	577008	159013	189263	135962	83370	56602	624210							
Hérault	202858	233436	174760	110120	59578	780752	103054	114218	84852	50565	21764	374453	99804	119218	89908	59555	37814	406299							
Ille-et-Vilaine	238257	246100	168789	92398	45711	791255	121219	123536	83016	41265	14664	383700	117038	122564	85773	51133	31047	407555							
Indre	57757	64147	54736	37390	24560	238590	29637	32874	27425	17446	9198	116580	28120	31273	27311	19944	15362	122010							
Indre-et-Loire	148554	157779	115532	65112	39303	526280	74982	78114	57115	30103	14266	254580	73572	79665	58417	35009	25037	271700							
Isère	297585	315167	228110	106522	54439	1001823	152683	159179	115185	48737	18080	493864	144902	155988	112925	57785	36359	507959							
Jura	69649	69942	55645	33541	19225	248002	35830	35662	28107	15407	7022	122028	33819	34280	27538	18134	12203	125974							
Landes	76423	85444	72319	47953	27292	309431	39605	43609	35936	22492	9549	151191	36818	41835	36383	25461	17743	158240							
Loir-et-Cher	81524	85227	67328	43188	27468	304735	41696	43419	33825	20269	10203	149412	39828	41808	33503	22919	17265	155323							
Loire	212844	210683	171389	96040	53220	744176	109229	105416	85064	43163	17390	360262	103615	105267	86325	52877	35830	383914							
Haute-Loire	54136	56824	46996	30414	18278	206648	27851	29694	23794	13988	6351	101678	26285	27130	23202	16426	11927	104970							
Loire-Atlantique	320929	315109	228383	119634	60695	1044750	163669	157991	111950	52756	19431	505797	157260	157118	116433	66878	41264	538953							
Loiret	167392	174031	126044	67637	38904	574008	85149	87579	63670	31212	14528	282138	82243	86452	62374	36425	24376	291870							
Lot	35710	40314	36216	27252	16114	155606	18455	20516	17886	12920	5955	75732	17255	19798	18330	14332	10159	79874							
Lot-et-Garonne	76601	81441	71056	48553	27371	305022	39243	40795	34906	22895	10281	148120	37358	40646	36150	25658	17090	156902							
Lozère	18231	20046	16315	11306	7269	73167	9376	10598	8468	5484	2680	36606	8855	9448	7847	5822	4589	36561							
Maine-et-Loire	225867	208027	143454	79376	45557	702281	115297	104005	70269	36191	16113	341875	110570	104022	73185	43185	29444	360406							
Manche	138524	137355	103287	66364	32535	478065	71125	71267	51005	30206	10406	234009	67399	66088	52282	36158	22129	244056							
Marne	168665	178304	119324	57792	32451	556536	86026	89329	60291	25845	11130	272621	82639	88975	59033	31947	21321	283915							
Haute-Marne	60141	59776	44722	25905	14767	205311	31003	30576	22903	11853	5317	101652	29138	29200	21819	14052	9450	103659							
Mayenne	84185	79010	58892	35414	19822	277323	43235	40435	29070	16360	6682	135782	40950	38575	29822	19054	13140	141541							
Meurthe-et-Moselle	207789	225894	158180	80448	40970	713281	106022	113558	78895	35546	13324	347345	101767	112336	79285	44902	27646	365936							
Meuse	57766	57505	42007	25597	14290	197165	29940	29686	21189	11656	4877	97348	27826	27819	20818	13941	9413	99817							
Morbihan	178839	176177	135223	84947	40764	615950	92217	90733	66757	37907	13283	300897	86622	85444	68466	47040	27481	315053							
Moselle	298817	325791	228971	111455	46852	1011886	153880	164752	116525	49913	15460	500530	144937	161039	112446	61542	31392	511356							
Nièvre	57573	62406	52826	37415	24096	234316	29633	31907	26506	17015	8720	113781	27940	30499	26320	20400	15376	120535							
Nord	821320	779696	522474	267084	133403	2523977	420073	389880	258811	116348	41483	1226595	401247	389816	263663	150736	91920	1297382							
Oise	230003	227931	155538	67211	35156	715839	118093	114814	80930	30915	12013	356765	111910	113117	74608	36296	23143	359074							
Orne	85108	82504	64696	40185	21449	293942	43658	42184	32030	18567	7271	143710	41450	40320	32666	21618	14178	150232							
Pas-de-Calais	459616	423661	295771	169201	78081	1426330	235066	214155	144701	73424	24369	691715	224550	209506	151070	95777	53712	734615							
Puy-de-Dôme	159577	181602	139870	76428	40853	598330	81178	91442	70232	34682	13733	291267	78399	90160	69638	41746	27120	307063							
Pyrénées-Atlantiques	146148	163892	133412	82746	49191	575389	74860	82195	65161	37468	17075	276759	71288	81697	68251	45278	32116	298630							
Hautes-Pyrénées	53066	62996	54280	35087	19957	225386	27411	32072	26649	16196	7051	109379	25655	30924	27631	18891	12906	116007							
Pyrénées-Orientales	86346	93944	83014	62572	33586	359462	44228	46467	39589	28885	12813	171982	42118	47477	43425	33687	20773	187480							
Bas-Rhin	265111	316121	209653	102200	54329	947414	134534	159379	106770	42504	17260	460447	130577	156742	102883	59696	37069	486967							
Haut-Rhin	189447	215218	152421	73187	38188	668461	97092	109478	77923	31401	11607	327501	92355	105740	74498	41786	26581	340960							
Rhône	426101	473708	346813	160409	86324	1493355	216348	234051	172874	71129	27365	721767	209753	239657	173939	89280	58959	771588							
Haute-Saône	67814	64784	50781	29540	17289	230208	35129	33273	26065	13445	6133	114045	32685	31511	24716	16095	11156	116163							
Saône-et-Loire	151091	155403	128876	79587	46578	561535	77747	79114	64510	36624	16353	274348	73344	76289	64366	42963	30225	287187							
Sarthe	149714	149815	110737	65117	37547	512930	76717	75863	54980	30107	13316	250983	72997	73952	55757	35010	24231	261947							
Savoie	96811	108124	80050	41414	21962	348361	49593	55269	40436	18822	7609	171729	47218	52855	39614	22592	14353	176632							
Haute-Savoie	159156	180301	126589	55540	27239	548825	81794	91127	64645	25196	9401	272163	77362	89174	61944	30344	17838	276662							
Paris	430119	780577	511620	258833	175306	2156455	216554	378629	247765	103786	55360	1002094	213565	401948	263855	155047	119946	1154361							
Seine-Maritime	370739	380042	262950	135619	71294	1220644	189084	189589	130414	60293	23356	592736	181655	190453	132536	75326	47938	627908							
Seine-et-Marne	341165	337599	235075	85358	49086	1048283	175319	166862	121518	39006	16823	519528	165846	170737	113557	46352	32263	528755							
Yvelines	403038	410263	319906	104322	53230	1290759	206868	202573	163267	47781	17174	637663	196170	207690	156639	56541	36056	653096							
Deux-Sèvres	96221	97660	76394	46933	28489	345697	49438	49680	38215	22318	11282	170933	46783	47980	38179	24615	17207	174764							
Somme	166550	166298	114779	65139	34983	547749	84918	83487	57075	29729	12344	267553	81632	82811	57704	35410	22639	280196							
Tarn	85171	92270	80067	52716	32257	342481	44013	46765	39314	24684	11991	166767	41158	45505	40753	28032	20266	175714							
Tarn-et-Garonne	50193	55611	45170	30101	17740	198815	25890	28333	22362	14210	6765	97560	24303	27278	22808	15891	10975	101255							
Var	199790	220616	189550	126181	63465	799602	103173	110408	93263	58085	23011	387940	96617	110208	96287	68096	40454	411662							
Vaucluse	126436	134334	108487	60101	31643	461001	64926	67208	54097	27522	11290	225043	61510	67126	54390	32579	20353	235958							
Vendée	147840	143728	107860	69326	37047	505801	76090	73827	53802	32307	13275	249301	71750	69901	54058	37019	23772	256500							
Vienne	103710	112232	81552	50256	31390	379140	52941	56178	40768	23713	11918	185518	50769	56054	40784	26543	19472	193622							
Haute-Vienne	83881	99588	82325	53423	34980	354197	42838	49726	40975	24336	12617	170492	41043	49862	41350	29087	22363	183705							
Vosges	113029	112618	85890	48360	28159	388056	58088	57598	43110	21342	9175	189313	54941	55020	42780	27018	18984	198743							
Yonne	88485	88909	68709	46034	29231	321368	45645	45466	35237	21262	10829	158439	42840	43443	33472	24772	18402	162929							
Territoire de Belfort	39216	41993	30318	14681	7750	133958	20364	21723	15538	6504	2529	66658	18852	20270	14780	8177	5221	67300							
Essonne	325151	352562	264109	83058	44917	1069797	166280	177214	134409	37869	14603	530375	158871	175348	129700	45189	30314	539422							
Hauts-de-Seine	344590	473229	337481	152200	83477	1390977	174941	231925	168482	65638	25814	666800	169649	241304	168999	86562	57663	724177							
Seine-Saint-Denis	408877	471987	315410	119243	57251	1372768	208949	233176	163599	52623	17932	676279	199928	238811	151811	66620	39319	696489							
Val-de-Marne	323971	410535	291385	120393	65701	1211985	164781	204050	146030	52181	20335	587377	159190	206485	145355	68212	45366	624608							
Val-d'Oise	330061	342520	235743	80785	40616	1029725	168737	168454	120484	36450	12775	506900	161324	174066	115259	44335	27841	522825							
	15793067	17166752	12708635	6837855	3763501	56269810	8079276	8606209	6344907	3079672	1288550	27398614	7713791	8560543	6363728	3758183	2474951	28871196							
																									
																									
																									
																									
																									
																									
																									
																									
																									
