	Ensemble						Hommes						Femmes												
Tarn	79384	82380	97123	57540	38816	355243	40763	41212	47756	26832	14903	171466	38621	41168	49367	30708	23913	183777							
Tarn-et-Garonne	51398	52562	59377	32666	21289	217292	26334	26389	29720	15400	8181	106024	25064	26173	29657	17266	13108	111268							
Var	219020	223518	255462	155572	92700	946272	112130	111173	123259	72875	35183	454620	106890	112345	132203	82697	57517	491652							
Vaucluse	132551	131128	140586	72244	41811	518320	68084	64762	68460	33672	15504	250482	64467	66366	72126	38572	26307	267838							
Vendée	136991	142263	152566	87669	51162	570651	70169	72983	76448	41369	19112	280081	66822	69280	76118	46300	32050	290570							
Vienne	96856	112071	107470	56141	37193	409731	48991	55384	53453	26672	14252	198752	47865	56687	54017	29469	22941	210979							
Haute-Vienne	75828	92427	99563	54755	38176	360749	38734	45807	49176	25344	14042	173103	37094	46620	50387	29411	24134	187646							
Vosges	95208	94993	104771	53612	32055	380639	49077	48548	52474	24391	10864	185354	46131	46445	52297	29221	21191	195285							
Yonne	81627	80766	91953	49393	33290	337029	41763	40786	46074	23093	12513	164229	39864	39980	45879	26300	20777	172800							
Territoire de Belfort	35767	39235	37607	17203	9738	139550	18511	20755	18800	7882	3338	69286	17256	18480	18807	9321	6400	70264							
Essonne	327713	340363	321759	122449	57256	1169540	167210	170289	158972	57929	19942	574342	160503	170074	162787	64520	37314	595198							
Hauts-de-Seine	369246	479197	384062	157655	98445	1488605	187750	233866	184309	71001	33521	710447	181496	245331	199753	86654	64924	778158							
Seine-Saint-Denis	418759	442888	376521	137957	66804	1442929	212887	216802	187425	65280	23127	705521	205872	226086	189096	72677	43677	737408							
Val-de-Marne	327087	387536	338967	135318	77782	1266690	166537	189891	165663	61071	26682	609844	160550	197645	173304	74247	51100	656846							
Val-d'Oise	335448	327771	312731	104858	52206	1133014	171423	160053	153668	49182	17707	552033	164025	167718	159063	55676	34499	580981							
	15112516	16411306	16152599	7778692	4646728	60101841	7728000	8179531	7967758	3584051	1668471	29127811	7384516	8231775	8184841	4194641	2978257	30974030							
Guadeloupe	124827	110318	99649	39550	20537	394881	63762	50878	46446	17911	8154	187151	61065	59440	53203	21639	12383	207730							
Martinique	116619	107397	101527	44169	21964	391676	58691	49464	47121	20118	8341	183735	57928	57933	54406	24051	13623	207941							
Guyane	82791	55435	36028	7497	3041	184792	41871	26607	18695	3843	1257	92273	40920	28828	17333	3654	1784	92519							
La Réunion	273105	231657	168327	56076	21675	750840	138909	111490	82165	25909	7901	366374	134196	120167	86162	30167	13774	384466							
	597342	504807	405531	147292	67217	1722189	303233	238439	194427	67781	25653	829533	294109	266368	211104	79511	41564	892656							
	15709858	16916113	16558130	7925984	4713945	61824030	8031233	8417970	8162185	3651832	1694124	29957344	7678625	8498143	8395945	4274152	3019821	31866686							
																									
																									
																									
																									
																									
																									
																									
																									
																									
