	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	147793	146212	149722	63598	35811	543136	75695	73710	75642	30666	13195	268908	72098	72502	74080	32932	22616	274228							
Aisne	144481	137507	145834	68038	40791	536651	73538	69231	73224	30770	14705	261468	70943	68276	72610	37268	26086	275183							
Allier	72268	79277	95675	57415	39370	344005	37123	40103	47323	26054	14609	165212	35145	39174	48352	31361	24761	178793							
Alpes-de-Haute-Provence	34680	33509	41594	23913	14274	147970	17805	16577	20654	11427	5561	72024	16875	16932	20940	12486	8713	75946							
Hautes-Alpes	30599	30658	35604	18318	11542	126721	15719	15354	17851	8755	4414	62093	14880	15304	17753	9563	7128	64628							
Alpes-Maritimes	230731	258401	276196	164039	115062	1044429	118465	125197	131652	74343	41234	490891	112266	133204	144544	89696	73828	553538							
Ardèche	69817	70618	82226	45482	28817	296960	35993	35654	41352	21636	10767	145402	33824	34964	40874	23846	18050	151558							
Ardennes	75757	74470	77812	38437	21344	287820	38881	37766	39188	17595	7571	141001	36876	36704	38624	20842	13773	146819							
Ariège	30602	31801	39848	23488	16304	142043	15839	16043	20115	11162	6352	69511	14763	15758	19733	12326	9952	72532							
Aube	74399	76576	80822	39617	24880	296294	38023	38524	40348	18194	9048	144137	36376	38052	40474	21423	15832	152157							
Aude	73332	76226	88796	53321	34816	326491	37559	37998	43548	25132	13568	157805	35773	38228	45248	28189	21248	168686							
Aveyron	56084	61395	73071	46666	31898	269114	29037	31564	37180	22023	12190	131994	27047	29831	35891	24643	19708	137120							
Bouches-du-Rhône	471297	514168	508542	249014	148323	1891344	241398	250053	244785	114909	53559	904704	229899	264115	263757	134105	94764	986640							
Calvados	172455	179159	176608	83814	49462	661498	87188	89081	86777	37316	17388	317750	85267	90078	89831	46498	32074	343748							
Cantal	30144	35032	42512	25471	16959	150118	15428	17953	21697	11931	6350	73359	14716	17079	20815	13540	10609	76759							
Charente	77092	82198	96779	53086	34739	343894	39531	41219	47952	24988	12912	166602	37561	40979	48827	28098	21827	177292							
Charente-Maritime	129184	135839	159185	95084	60585	579877	66412	68058	77664	44351	23176	279661	62772	67781	81521	50733	37409	300216							
Cher	72339	74842	87982	49106	30512	314781	36923	37708	44099	23105	11241	153076	35416	37134	43883	26001	19271	161705							
Corrèze	47328	54223	65721	40651	28882	236805	24629	28137	32953	18725	10633	115077	22699	26086	32768	21926	18249	121728							
Corse-du-Sud	28517	31548	36007	20741	11285	128098	14891	15275	17855	9864	4116	62001	13626	16273	18152	10877	7169	66097							
Haute-Corse	32995	39485	41644	23305	13500	150929	16958	19653	20901	11230	5004	73746	16037	19832	20743	12075	8496	77183							
Côte-d'Or	127726	142828	138240	63885	39912	512591	64724	70439	68358	29567	14397	247485	63002	72389	69882	34318	25515	265106							
Côtes-d'Armor	129964	128531	150834	91765	56737	557831	66771	65599	75387	41674	20131	269562	63193	62932	75447	50091	36606	288269							
Creuse	23375	25937	33993	23103	17389	123797	12017	13427	17341	10836	6696	60317	11358	12510	16652	12267	10693	63480							
Dordogne	81914	86526	111355	70146	46964	396905	41890	43199	54979	33147	17783	190998	40024	43327	56376	36999	29181	205907							
Doubs	132202	144055	134833	63548	33894	508532	67665	72860	66892	29378	12356	249151	64537	71195	67941	34170	21538	259381							
Drôme	116554	113548	124082	63515	37003	454702	60094	56664	60930	29716	13839	221243	56460	56884	63152	33799	23164	233459							
Eure	152474	145877	154145	66161	37165	555822	78004	72917	77068	30973	13500	272462	74470	72960	77077	35188	23665	283360							
Eure-et-Loir	109834	107885	113556	51404	32353	415032	56196	54392	56992	24276	12496	204352	53638	53493	56564	27128	19857	210680							
Finistère	209465	220709	232676	126975	79380	869205	107484	113511	116860	55906	26856	420617	101981	107198	115816	71069	52524	448588							
Gard	161980	161126	182186	94502	56098	655892	82683	79491	89204	44325	21131	316834	79297	81635	92982	50177	34967	339058							
Haute-Garonne	273340	350120	295453	127508	76357	1122778	139176	175070	144939	59106	27957	546248	134164	175050	150514	68402	48400	576530							
Gers	36607	37996	50251	31395	20936	177185	18718	19196	25149	15217	8341	86621	17889	18800	25102	16178	12595	90564							
Gironde	322640	380833	367678	166820	107797	1345768	164155	187308	178711	76454	37868	644496	158485	193525	188967	90366	69929	701272							
Hérault	230518	260772	248575	132418	80582	952865	117510	126069	118554	61631	30433	454197	113008	134703	130021	70787	50149	498668							
Ille-et-Vilaine	238965	267285	231198	108769	64150	910367	121777	134499	114496	50054	22640	443466	117188	132786	116702	58715	41510	466901							
Indre	49026	53780	63606	39395	26348	232155	24918	27403	32174	18419	9962	112876	24108	26377	31432	20976	16386	119279							
Indre-et-Loire	140031	152409	151982	75569	48774	568765	71199	74898	74475	34976	18065	273613	68832	77511	77507	40593	30709	295152							
Isère	303263	324776	300862	134690	71489	1135080	155982	163977	149141	63413	26007	558520	147281	160799	151721	71277	45482	576560							
Jura	63292	63003	68935	36334	23127	254691	32589	31832	34645	17092	8569	124727	30703	31171	34290	19242	14558	129964							
Landes	76746	81885	97085	56379	34525	346620	39768	41601	47987	26517	12670	168543	36978	40284	49098	29862	21855	178077							
Loir-et-Cher	75016	77313	86666	48955	32586	320536	38209	38950	43380	22830	12740	156109	36807	38363	43286	26125	19846	164427							
Loire	182022	187869	196322	104772	64795	735780	93378	94315	96671	47603	22832	354799	88644	93554	99651	57169	41963	380981							
Haute-Loire	50440	51997	58425	33325	20408	214595	26120	26610	30043	15526	7172	105471	24320	25387	28382	17799	13236	109124							
Loire-Atlantique	312602	331424	317124	143554	84453	1189157	159793	166443	156178	64489	29347	576250	152809	164981	160946	79065	55106	612907							
Loiret	163580	170342	169841	79594	49662	633019	83820	85270	84299	37418	18901	309708	79760	85072	85542	42176	30761	323311							
Lot	34094	35616	46192	29826	19765	165493	17563	17948	23101	14209	7569	80390	16531	17668	23091	15617	12196	85103							
Lot-et-Garonne	70029	71853	86422	51978	34139	314421	35949	35845	42364	24436	13039	151633	34080	36008	44058	27542	21100	162788							
Lozère	16411	18496	20716	11685	8006	75314	8603	9559	10823	5710	3188	37883	7808	8937	9893	5975	4818	37431							
Maine-et-Loire	201628	205357	193648	92248	58827	751708	102514	102761	95915	42185	21873	365248	99114	102596	97733	50063	36954	386460							
Manche	121686	118029	129459	73890	45196	488260	62176	60027	65666	34075	16279	238223	59510	58002	63793	39815	28917	250037							
Marne	145884	162557	151992	65884	39513	565830	74737	81849	74935	30010	13713	275244	71147	80708	77057	35874	25800	290586							
Haute-Marne	46529	46856	52581	27896	17045	190907	23993	24063	26584	12932	6255	93827	22536	22793	25997	14964	10790	97080							
Mayenne	76203	75064	75958	40099	25798	293122	39244	38588	38244	18596	9689	144361	36959	36476	37714	21503	16109	148761							
Meurthe-et-Moselle	183151	204494	190615	91510	50868	720638	93758	102697	93983	41405	17578	349421	89393	101797	96632	50105	33290	371217							
Meuse	49183	48905	52617	26567	16049	193321	25512	25318	26854	12329	5684	95697	23671	23587	25763	14238	10365	97624							
Morbihan	163287	166641	181977	101869	58072	671846	84441	85487	90413	46098	20487	326926	78846	81154	91564	55771	37585	344920							
Moselle	259218	285216	284398	137727	64862	1031421	132870	144544	142197	64277	22486	506374	126348	140672	142201	73450	42376	525047							
Nièvre	47434	49146	62271	38954	25800	223605	24257	24903	31016	18032	9433	107641	23177	24243	31255	20922	16367	115964							
Nord	729134	733976	654214	282437	160110	2559871	373055	365145	320767	123102	53535	1235604	356079	368831	333447	159335	106575	1324267							
Oise	221122	217267	216542	82819	43712	781462	113531	108918	108971	38802	15642	385864	107591	108349	107571	44017	28070	395598							
Orne	71965	69983	78895	44584	27731	293158	37048	35670	39643	20813	10095	143269	34917	34313	39252	23771	17636	149889							
Pas-de-Calais	404319	387638	381118	173484	102198	1448757	207138	194255	189417	74847	34055	699712	197181	193383	191701	98637	68143	749045							
Puy-de-Dôme	139370	166598	173134	84759	50827	614688	71153	83611	86003	38873	17815	297455	68217	82987	87131	45886	33012	317233							
Pyrénées-Atlantiques	139411	155362	169962	95139	60334	620208	71668	78468	82983	43847	21516	298482	67743	76894	86979	51292	38818	321726							
Hautes-Pyrénées	47472	51820	64102	37698	24319	225411	24536	26166	31586	17485	8799	108572	22936	25654	32516	20213	15520	116839							
Pyrénées-Orientales	93479	98029	108273	69868	44307	413956	47633	47778	51680	32272	16943	196306	45846	50251	56593	37596	27364	217650							
Bas-Rhin	267045	312644	282832	128541	64828	1055890	135954	156126	142020	59717	20679	514496	131091	156518	140812	68824	44149	541394							
Haut-Rhin	184908	199933	199154	93713	45977	723685	94460	100921	100519	44081	15240	355221	90448	99012	98635	49632	30737	368464							
Rhône	425834	487209	413278	192478	109352	1628151	215933	239319	200352	88514	37387	781505	209901	247890	212926	103964	71965	846646							
Haute-Saône	58229	58392	64842	32392	19354	233209	30083	29831	32868	15492	7104	115378	28146	28561	31974	16900	12250	117831							
Saône-et-Loire	125604	129146	152256	85249	55277	547532	64789	65407	76033	39317	20498	266044	60815	63739	76223	45932	34779	281488							
Sarthe	137792	140770	143100	74182	47193	543037	70448	71377	71407	34214	17872	265318	67344	69393	71693	39968	29321	277719							
Savoie	97337	105706	106857	50695	28949	389544	50544	53518	53552	23541	10181	191336	46793	52188	53305	27154	18768	198208							
Haute-Savoie	175857	189470	185809	76352	39672	667160	90996	95758	92314	35718	14243	329029	84861	93712	93495	40634	25429	338131							
Paris	421482	775126	559029	238077	160807	2154521	212283	376981	266518	104549	53506	1013837	209199	398145	292511	133528	107301	1140684							
Seine-Maritime	331079	337704	332321	151106	89892	1242102	168554	167575	162960	67414	31589	598092	162525	170129	169361	83692	58303	644010							
Seine-et-Marne	361293	355631	345591	115289	59711	1237515	184414	175401	172269	54662	20797	607543	176879	180230	173322	60627	38914	629972							
Yvelines	387528	387169	385860	146114	70589	1377260	198697	192575	188963	69530	25192	674957	188831	194594	196897	76584	45397	702303							
Deux-Sèvres	83202	87017	96115	52101	34535	352970	42991	44164	48146	24926	13824	174051	40211	42853	47969	27175	20711	178919							
Somme	145964	155418	147868	69365	42351	560966	74437	77480	73422	31329	15533	272201	71527	77938	74446	38036	26818	288765							
