	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	159049	147795	168352	77592	44553	597341	81392	74702	84599	37998	17016	295707	77657	73093	83753	39594	27537	301634							
Aisne	140051	129269	150200	73874	47114	540508	71724	64712	74693	34941	16929	262999	68327	64557	75507	38933	30185	277509							
Allier	72071	70309	96593	59723	44212	342908	37042	35165	47860	28213	16203	164483	35029	35144	48733	31510	28009	178425							
Alpes-de-Haute-Provence	36154	32440	45668	28400	17487	160149	18795	15958	22462	13516	6867	77598	17359	16482	23206	14884	10620	82551							
Hautes-Alpes	31466	29056	39586	22438	14425	136971	16078	14556	19594	10956	5673	66857	15388	14500	19992	11482	8752	70114							
Alpes-Maritimes	235472	250738	288561	176434	127524	1078729	120818	123026	138143	80517	47645	510149	114654	127712	150418	95917	79879	568580							
Ardèche	72685	66679	88707	52282	34737	315090	37412	33349	44390	25218	13111	153480	35273	33330	44317	27064	21626	161610							
Ardennes	70956	66958	80373	39876	25087	283250	36967	33692	40189	19023	9084	138955	33989	33266	40184	20853	16003	144295							
Ariège	32874	31659	43373	25480	18652	152038	16971	15836	21691	12262	7383	74143	15903	15823	21682	13218	11269	77895							
Aube	74329	72391	82645	45039	28923	303327	37789	36704	40825	21501	10575	147394	36540	35687	41820	23538	18348	155933							
Aude	80382	76196	97305	60928	41656	356467	41100	37667	47572	29061	16406	171806	39282	38529	49733	31867	25250	184661							
Aveyron	57774	56288	76885	48369	37489	276805	29926	28633	38788	23377	14804	135528	27848	27655	38097	24992	22685	141277							
Bouches-du-Rhône	478766	503257	529405	282374	178216	1972018	243956	246264	252482	132022	66303	941027	234810	256993	276923	150352	111913	1030991							
Calvados	169885	170840	184362	96108	61910	683105	86611	84986	90474	44626	21975	328672	83274	85854	93888	51482	39935	354433							
Cantal	28632	30260	43537	25867	19866	148162	14591	15385	22195	12439	7447	72057	14041	14875	21342	13428	12419	76105							
Charente	76841	75613	100827	57279	41017	351577	39529	38122	49521	27414	15616	170202	37312	37491	51306	29865	25401	181375							
Charente-Maritime	134587	132614	170053	111149	73920	622323	69449	66575	82367	52716	28596	299703	65138	66039	87686	58433	45324	322620							
Cher	68996	66377	87756	53045	35083	311257	35319	33729	43358	25480	13196	151082	33677	32648	44398	27565	21887	160175							
Corrèze	48920	50974	67901	42436	33320	243551	25452	26403	33617	20056	12546	118074	23468	24571	34284	22380	20774	125477							
Corse-du-Sud	29877	33762	41577	23846	14538	143600	15541	16495	20529	11429	5667	69661	14336	17267	21048	12417	8871	73939							
Haute-Corse	34993	40716	46717	27398	16269	166093	18187	20862	23275	13357	6291	81972	16806	19854	23442	14041	9978	84121							
Côte-d'Or	124339	136186	142081	73539	48213	524358	63455	67759	69913	34749	17785	253661	60884	68427	72168	38790	30428	270697							
Côtes-d'Armor	137885	124102	160262	100641	68751	591641	71137	62878	79809	47239	24755	285818	66748	61224	80453	53402	43996	305823							
Creuse	23189	22839	35263	22790	18948	123029	11853	11805	17827	11095	7214	59794	11336	11034	17436	11695	11734	63235							
Dordogne	84243	80703	117764	76881	54558	414149	43245	40142	57737	36982	21133	199239	40998	40561	60027	39899	33425	214910							
Doubs	133375	139827	138484	72758	43326	527770	68436	70752	68324	34882	16458	258852	64939	69075	70160	37876	26868	268918							
Drôme	120813	110856	133815	74214	45017	484715	62475	54903	65668	35399	17400	235845	58338	55953	68147	38815	27617	248870							
Eure	155308	143717	164212	78780	44526	586543	79246	71523	81478	37880	16364	286491	76062	72194	82734	40900	28162	300052							
