	Ensemble						Hommes						Femmes												
Eure-et-Loir	110225	103810	118400	59010	37488	428933	56657	51751	58786	28550	14500	210244	53568	52059	59614	30460	22988	218689							
Finistère	212627	207870	247153	137439	92539	897628	109455	106844	123663	63246	31539	434747	103172	101026	123490	74193	61000	462881							
Gard	172491	160182	198317	110997	67713	709700	88313	78706	96202	52618	26175	342014	84178	81476	102115	58379	41538	367686							
Haute-Garonne	300828	366583	328845	152046	95339	1243641	154174	184990	161697	71076	35816	607753	146654	181593	167148	80970	59523	635888							
Gers	39142	36017	54676	33491	24833	188159	20251	17918	27146	16270	10265	91850	18891	18099	27530	17221	14568	96309							
Gironde	343990	385881	393121	197712	128541	1449245	175075	190137	189498	92663	47083	694456	168915	195744	203623	105049	81458	754789							
Hérault	244385	269093	273088	158459	99533	1044558	124229	131497	129942	74684	38398	498750	120156	137596	143146	83775	61135	545808							
Ille-et-Vilaine	256762	270231	256693	123441	81013	988140	130363	136501	127617	57541	30125	482147	126399	133730	129076	65900	50888	505993							
Indre	48644	46819	65298	40569	29846	231176	24947	23701	32559	19317	11417	111941	23697	23118	32739	21252	18429	119235							
Indre-et-Loire	142373	146359	159104	84908	57771	590515	72410	72243	77881	39838	22124	284496	69963	74116	81223	45070	35647	306019							
Isère	315659	317492	322916	157991	92316	1206374	162534	160252	159882	75923	35192	593783	153125	157240	163034	82068	57124	612591							
Jura	63528	57894	72562	40423	27127	261534	32777	28961	36307	19529	10304	127878	30751	28933	36255	20894	16823	133656							
Landes	85030	83015	108821	65091	42363	384320	43719	41912	53918	31041	16302	186892	41311	41103	54903	34050	26061	197428							
Loir-et-Cher	77264	70742	90935	52638	38500	330079	39714	35377	45085	25200	15076	160452	37550	35365	45850	27438	23424	169627							
Loire	183025	177526	196937	114020	77439	748947	93776	88994	96661	53797	27873	361101	89249	88532	100276	60223	49566	387846							
Haute-Loire	52757	47900	62769	35948	24632	224006	27022	24367	32019	17476	8990	109874	25735	23533	30750	18472	15642	114132							
Loire-Atlantique	331841	335966	341527	168126	104592	1282052	169923	169190	167575	77808	37132	621628	161918	166776	173952	90318	67460	660424							
Loiret	165757	164461	175736	91650	58501	656105	84896	82439	86426	44148	22549	320458	80861	82022	89310	47502	35952	335647							
Lot	35402	32866	49803	32978	23529	174578	18090	16563	24518	16109	9302	84582	17312	16303	25285	16869	14227	89996							
Lot-et-Garonne	72384	69274	91458	57188	40819	331123	37510	34476	44506	27352	16075	159919	34874	34798	46952	29836	24744	171204							
Lozère	16570	16557	22073	12953	8929	77082	8717	8425	11535	6479	3541	38697	7853	8132	10538	6474	5388	38385							
Maine-et-Loire	205810	199493	205367	103293	70847	784810	104654	99825	101706	48285	26873	381343	101156	99668	103661	55008	43974	403467							
Manche	116989	107820	138858	79021	56059	498747	59828	54964	70241	37423	20794	243250	57161	52856	68617	41598	35265	255497							
Marne	139823	150892	152970	75474	46148	565307	71848	75919	74684	35691	16344	274486	67975	74973	78286	39783	29804	290821							
Haute-Marne	41930	40675	52271	29439	19724	184039	21630	21128	26073	14241	7205	90277	20300	19547	26198	15198	12519	93762							
Mayenne	79500	70593	81721	42757	31766	306337	40978	36053	41270	20298	12367	150966	38522	34540	40451	22459	19399	155371							
Meurthe-et-Moselle	177426	198624	195329	97941	62887	732207	90781	99892	95134	45781	22655	354243	86645	98732	100195	52160	40232	377964							
Meuse	46281	46197	54687	27884	18874	193923	23889	24097	27713	13500	6864	96063	22392	22100	26974	14384	12010	97860							
Morbihan	170368	160457	199648	117279	73905	721657	87798	82116	99158	54904	26560	350536	82570	78341	100490	62375	47345	371121							
Moselle	244432	271073	303513	142689	83359	1045066	125578	138092	150249	67304	30672	511895	118854	132981	153264	75385	52687	533171							
Nièvre	44842	43725	61754	40288	28975	219584	22876	22146	30378	19276	10402	105078	21966	21579	31376	21012	18573	114506							
Nord	701224	711010	668621	309066	186849	2576770	359480	354048	326147	140841	62676	1243192	341744	356962	342474	168225	124173	1333578							
Oise	217644	209369	224844	98500	53238	803595	111349	105146	111476	48004	19634	395609	106295	104223	113368	50496	33604	407986							
Orne	69076	61891	80455	46906	33314	291642	35628	31141	40250	22248	12688	141955	33448	30750	40205	24658	20626	149687							
Pas-de-Calais	388227	370785	397395	188159	116821	1461387	199289	184965	196571	85533	39104	705462	188938	185820	200824	102626	77717	755925							
Puy-de-Dôme	142237	158843	175413	95759	60059	632311	72103	80433	86462	45522	21303	305823	70134	78410	88951	50237	38756	326488							
Pyrénées-Atlantiques	143249	149799	184168	103170	73129	653515	73631	75451	90040	48089	26941	314152	69618	74348	94128	55081	46188	339363							
Hautes-Pyrénées	47745	47603	65309	39631	29170	229458	24809	24357	31788	18621	10839	110414	22936	23246	33521	21010	18331	119044							
Pyrénées-Orientales	100594	97860	118850	77970	53269	448543	51966	47487	56786	36322	20611	213172	48628	50373	62064	41648	32658	235371							
Bas-Rhin	265297	295829	310329	141907	82543	1095905	135118	146174	154753	68421	29567	534033	130179	149655	155576	73486	52976	561872							
Haut-Rhin	182397	187513	217066	101485	61321	749782	93257	93706	108477	49590	22125	367155	89140	93807	108589	51895	39196	382627							
Rhône	446037	499605	428362	215462	135711	1725177	225608	245653	206965	101600	49547	829373	220429	253952	221397	113862	86164	895804							
Haute-Saône	58109	54298	67614	36932	22595	239548	29950	27674	33982	18107	8430	118143	28159	26624	33632	18825	14165	121405							
Saône-et-Loire	124238	118492	155643	92470	64820	555663	64359	60365	77173	44179	24322	270398	59879	58127	78470	48291	40498	285265							
Sarthe	141080	133128	152576	80560	56174	563518	72030	67046	75988	38167	21403	274634	69050	66082	76588	42393	34771	288884							
Savoie	101341	102611	116505	58785	35717	414959	52333	52278	58157	27781	13568	204117	49008	50333	58348	31004	22149	210842							
Haute-Savoie	187897	194703	208787	95706	50995	738088	96766	98458	103207	45740	19149	363320	91131	96245	105580	49966	31846	374768							
Paris	448052	786058	563890	278488	167345	2243833	224723	379527	270493	125244	58050	1058037	223329	406531	293397	153244	109295	1185796							
Seine-Maritime	316447	320121	337467	168824	107552	1250411	161621	158870	164263	77801	38109	600664	154826	161251	173204	91023	69443	649747							
Seine-et-Marne	374188	363953	366877	145942	73905	1324865	190751	178523	180616	71081	27006	647977	183437	185430	186261	74861	46899	676888							
Yvelines	384334	370137	388294	173531	92469	1408765	196421	183758	188549	83718	34489	686935	187913	186379	199745	89813	57980	721830							
Deux-Sèvres	86096	83096	102890	56032	41156	369270	44365	42023	51354	27137	16250	181129	41731	41073	51536	28895	24906	188141							
Somme	143641	147586	152926	78137	48451	570741	73374	73696	75645	36732	17677	277124	70267	73890	77281	41405	30774	293617							
Tarn	84109	79666	103978	61232	46394	375379	43207	39883	50875	29046	18283	181294	40902	39783	53103	32186	28111	194085							
Tarn-et-Garonne	58081	54702	66786	36211	25918	241698	29772	27254	33246	17398	10352	118022	28309	27448	33540	18813	15566	123676							
Var	221181	219514	271573	181022	114893	1008183	113614	110290	130186	85367	44676	484133	107567	109224	141387	95655	70217	524050							
Vaucluse	133191	125817	149548	84090	50459	543105	68131	62027	72173	39588	18954	260873	65060	63790	77375	44502	31505	282232							
Vendée	151968	144213	170676	102763	65158	634778	78197	73274	85300	49247	25275	311293	73771	70939	85376	53516	39883	323485							
Vienne	100341	108251	114094	61229	43278	427193	50730	53196	56031	29353	16608	205918	49611	55055	58063	31876	26670	221275							
Haute-Vienne	80690	88388	102211	60397	44505	376191	40999	43433	50179	28641	16896	180148	39691	44955	52032	31756	27609	196043							
Vosges	90205	85321	107712	58693	37793	379724	46206	43319	53571	28117	13260	184473	43999	42002	54141	30576	24533	195251							
Yonne	80409	75321	95261	54534	36985	342510	41278	37378	47378	26482	13769	166285	39131	37943	47883	28052	23216	176225							
Territoire de Belfort	35699	37785	38635	18955	11837	142911	18673	20144	19218	9151	4174	71360	17026	17641	19417	9804	7663	71551							
Essonne	333593	332407	329889	144200	75251	1215340	170002	166067	162236	69001	28417	595723	163591	166340	167653	75199	46834	619617							
Hauts-de-Seine	398200	477745	407383	174608	114554	1572490	202471	232885	192988	80797	40267	749408	195729	244860	214395	93811	74287	823082							
Seine-Saint-Denis	440761	455594	394477	150305	80911	1522048	224920	222306	194588	74653	29289	745756	215841	233288	199889	75652	51622	776292							
Val-de-Marne	342759	389117	354531	150001	91324	1327732	175959	189168	171000	69551	32428	638106	166800	199949	183531	80450	58896	689626							
Val-d'Oise	334258	327414	319910	124587	64992	1171161	170611	160184	155003	60181	23313	569292	163647	167230	164907	64406	41679	601869							
	15406592	16014053	17009559	8758932	5576099	62765235	7882609	7973646	8342523	4138767	2060405	30397950	7523983	8040407	8667036	4620165	3515694	32367285							
Guadeloupe 	118775	92399	116204	50744	25233	403355	60830	40968	53018	23059	10037	187912	57945	51431	63186	27685	15196	215443							
Martinique 	105693	89749	117963	53064	27704	394173	53523	39945	53444	24367	10831	182110	52170	49804	64519	28697	16873	212063							
Guyane	101277	66329	46582	11235	3617	229040	51602	31336	23455	5678	1536	113607	49675	34993	23127	5557	2081	115433							
La Réunion	278198	225439	218953	71741	26805	821136	142322	106232	106049	33732	9618	397953	135876	119207	112904	38009	17187	423183							
	603943	473916	499702	186784	83359	1847704	308277	218481	235966	86836	32022	881582	295666	255435	263736	99948	51337	966122							
	16010535	16487969	17509261	8945716	5659458	64612939	8190886	8192127	8578489	4225603	2092427	31279532	7819649	8295842	8930772	4720113	3567031	33333407							
																									
																									
																									
