	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	136974	140479	101318	49551	27962	456284	70321	71757	52566	23124	9855	227623	66653	68722	48752	26427	18107	228661							
Aisne	164813	163020	112155	63883	33004	536875	84535	83273	56169	29087	11371	264435	80278	79747	55986	34796	21633	272440							
Allier	88731	97171	84399	56366	34438	361105	45346	49447	41562	25680	12389	174424	43385	47724	42837	30686	22049	186681							
Alpes-de-Haute-Provence	31474	36004	30494	19090	10516	127578	16150	18348	15331	9092	3961	62882	15324	17656	15163	9998	6555	64696							
Hautes-Alpes	29181	33330	24834	15592	8183	111120	15265	16990	12606	7380	3073	55314	13916	16340	12228	8212	5110	55806							
Alpes-Maritimes	209971	258403	225409	154728	98341	946852	107345	127067	107984	67098	35037	444531	102626	131336	117425	87630	63304	502321							
Ardèche	73184	76395	63397	40092	23260	276328	37787	39002	31914	18618	8092	135413	35397	37393	31483	21474	15168	140915							
Ardennes	92717	89312	64172	34009	18284	298494	47511	45421	32610	15401	6232	147175	45206	43891	31562	18608	12052	151319							
Ariège	31229	36086	30786	23167	14986	136254	16122	18531	15383	11073	5867	66976	15107	17555	15403	12094	9119	69278							
Aube	82990	86832	63245	35161	21141	289369	42667	43984	31901	15812	7529	141893	40323	42848	31344	19349	13612	147476							
Aude	69572	79024	67035	48846	29049	293526	36291	40796	32808	22900	11186	143981	33281	38228	34227	25946	17863	149545							
Aveyron	65936	71363	62993	44596	27712	272600	33869	36848	31404	20901	10606	133628	32067	34515	31589	23695	17106	138972							
Bouches-du-Rhône	475883	529444	413177	220708	111555	1750767	243513	260873	205101	99843	38418	847748	232370	268571	208076	120865	73137	903019							
Calvados	189723	192114	125899	69474	34224	611434	96590	95754	61307	31052	10717	295420	93133	96360	64592	38422	23507	316014							
Cantal	40857	44374	36109	24588	14136	160064	20933	23161	18279	11418	5123	78914	19924	21213	17830	13170	9013	81150							
Charente	90217	97983	76840	47969	29087	342096	46329	49357	38048	22300	10531	166565	43888	48626	38792	25669	18556	175531							
Charente-Maritime	137439	143785	117420	80302	44815	523761	70694	72089	57632	37251	16774	254440	66745	71696	59788	43051	28041	269321							
Cher	84466	91798	72766	44633	27474	321137	43169	46746	36920	20443	9799	157077	41297	45052	35846	24190	17675	164060							
Corrèze	55444	63892	54913	40477	24344	239070	28625	32630	27109	18594	8964	115922	26819	31262	27804	21883	15380	123148							
Corse-du-Sud	28406	34180	27528	17061	8405	115580	14628	17700	14309	7742	2910	57289	13778	16480	13219	9319	5495	58291							
Haute-Corse	31302	39991	31299	19017	9986	131595	15859	21536	16518	8807	3565	66285	15443	18455	14781	10210	6421	65310							
Côte-d'Or	143490	153553	104486	55559	31940	489028	72444	76670	52458	25201	11315	238088	71046	76883	52028	30358	20625	250940							
Côtes-d'Armor	148084	143793	120586	83949	42214	538626	75968	74084	59669	37298	13788	260807	72116	69709	60917	46651	28426	277819							
Creuse	28154	32858	30567	24714	17387	133680	14532	17233	15516	11617	6372	65270	13622	15625	15051	13097	11015	68410							
Dordogne	90316	100943	89028	66306	37565	384158	46611	50995	43854	30987	13992	186439	43705	49948	45174	35319	23573	197719							
Doubs	150338	153161	106001	49929	24639	484068	76785	77911	53505	22459	8509	239169	73553	75250	52496	27470	16130	244899							
Drôme	116598	118798	93614	52074	28299	409383	60013	59823	46592	23865	10039	200332	56585	58975	47022	28209	18260	209051							
Eure	157580	155984	105427	53327	27402	499720	80961	78822	53761	24607	9544	247695	76619	77162	51666	28720	17858	252025							
Eure-et-Loir	119291	117163	81163	44298	25269	387184	61314	59085	41408	20623	9574	192004	57977	58078	39755	23675	15695	195180							
Finistère	232934	240119	182437	119260	60707	835457	119725	124087	89401	51495	20050	404758	113209	116032	93036	67765	40657	430699							
Gard	150889	165155	131384	80194	42045	569667	77490	83309	64962	37041	14928	277730	73399	81846	66422	43153	27117	291937							
Haute-Garonne	237059	298599	200246	104251	56972	897127	120141	149107	97977	47227	20562	435014	116918	149492	102269	57024	36410	462113							
Gers	39623	46243	41629	28973	17993	174461	20604	23678	20848	14176	7100	86406	19019	22565	20781	14797	10893	88055							
Gironde	325195	372661	260193	149272	83094	1190415	165577	184221	127401	66806	27604	571609	159618	188440	132792	82466	55490	618806							
Hérault	201911	230619	170530	107879	58077	769016	102549	112992	82652	49441	21059	368693	99362	117627	87878	58438	37018	400323							
Ille-et-Vilaine	240023	245225	164321	91033	44148	784750	122099	123077	80548	40512	14021	380257	117924	122148	83773	50521	30127	404493							
Indre	58689	64681	54440	37253	24073	239136	30100	33239	27244	17314	8996	116893	28589	31442	27196	19939	15077	122243							
Indre-et-Loire	149874	157743	113110	64296	38242	523265	75555	78160	55947	29659	13809	253130	74319	79583	57163	34637	24433	270135							
Isère	297301	313333	222639	104417	52767	990457	152506	158361	112392	47585	17443	488287	144795	154972	110247	56832	35324	502170							
Jura	70295	70233	54879	33096	18818	247321	36168	35910	27572	15225	6810	121685	34127	34323	27307	17871	12008	125636							
Landes	76647	85658	71478	47079	26636	307498	39720	43660	35452	21978	9294	150104	36927	41998	36026	25101	17342	157394							
Loir-et-Cher	82092	85577	66321	42534	26884	303408	42065	43534	33285	19865	9995	148744	40027	42043	33036	22669	16889	154664							
Loire	215103	212216	169252	95119	51749	743439	110497	106115	83887	42755	16740	359994	104606	106101	85365	52364	35009	383445							
Haute-Loire	54571	57177	46774	30096	18033	206651	28117	29884	23557	13754	6287	101599	26454	27293	23217	16342	11746	105052							
Loire-Atlantique	322246	316374	222361	117876	58566	1037423	164492	158750	108533	51927	18504	502206	157754	157624	113828	65949	40062	535217							
Loiret	167205	174243	122438	66470	37837	568193	85136	87748	61826	30566	14167	279443	82069	86495	60612	35904	23670	288750							
Lot	35928	40703	35939	27096	15716	155382	18573	20712	17727	12805	5794	75611	17355	19991	18212	14291	9922	79771							
Lot-et-Garonne	76880	81867	70632	48038	26657	304074	39425	41030	34624	22645	9953	147677	37455	40837	36008	25393	16704	156397							
Lozère	18454	20360	16132	11365	7089	73400	9482	10762	8365	5473	2615	36697	8972	9598	7767	5892	4474	36703							
Maine-et-Loire	227384	208008	140800	78261	44099	698552	116023	104013	68864	35523	15545	339968	111361	103995	71936	42738	28554	358584							
Manche	139087	137767	102530	65304	31728	476416	71426	71342	50462	29651	10038	232919	67661	66425	52068	35653	21690	243497							
Marne	170588	179061	116528	57168	31661	555006	87052	89772	58940	25453	10814	272031	83536	89289	57588	31715	20847	282975							
Haute-Marne	61111	60554	44358	25713	14449	206185	31511	31004	22703	11713	5169	102100	29600	29550	21655	14000	9280	104085							
Mayenne	84751	79510	58049	35103	19049	276462	43549	40651	28550	16139	6383	135272	41202	38859	29499	18964	12666	141190							
Meurthe-et-Moselle	210751	228041	156197	79056	39876	713921	107491	114786	77933	34778	12921	347909	103260	113255	78264	44278	26955	366012							
Meuse	58316	58278	41758	25332	14013	197697	30252	30143	20995	11460	4788	97638	28064	28135	20763	13872	9225	100059							
Morbihan	179752	176326	133181	83557	39404	612220	92759	90711	65698	37081	12796	299045	86993	85615	67483	46476	26608	313175							
Moselle	301692	328749	226967	108640	45631	1011679	155351	166723	115488	48362	14987	500911	146341	162026	111479	60278	30644	510768							
Nièvre	58224	63447	52424	37232	23815	235142	30003	32465	26223	16932	8616	114239	28221	30982	26201	20300	15199	120903							
Nord	825587	783763	514188	263262	130799	2517599	422040	392380	254399	114233	40776	1223828	403547	391383	259789	149029	90023	1293771							
Oise	228873	227524	150591	65750	34532	707270	117356	115131	78246	30168	11782	352683	111517	112393	72345	35582	22750	354587							
Orne	86110	83728	63963	39597	20894	294292	44258	42776	31593	18224	7044	143895	41852	40952	32370	21373	13850	150397							
Pas-de-Calais	463082	427542	293212	167752	76548	1428136	236833	216094	143123	72544	23963	692557	226249	211448	150089	95208	52585	735579							
Puy-de-Dôme	162200	183000	137465	75448	39863	597976	82478	92254	69029	34134	13379	291274	79722	90746	68436	41314	26484	306702							
Pyrénées-Atlantiques	147174	164104	131623	81599	47963	572463	75322	82319	64257	36806	16589	275293	71852	81785	67366	44793	31374	297170							
Hautes-Pyrénées	53841	63441	54021	34923	19541	225767	27906	32248	26463	16092	6900	109609	25935	31193	27558	18831	12641	116158							
Pyrénées-Orientales	85966	93254	82056	61862	32591	355729	44082	46064	39177	28475	12422	170220	41884	47190	42879	33387	20169	185509							
Bas-Rhin	267169	315370	205942	100212	53422	942115	135466	159472	104679	41181	17028	457826	131703	155898	101263	59031	36394	484289							
Haut-Rhin	190342	215860	150383	71169	37737	665491	97681	110082	76745	30215	11452	326175	92661	105778	73638	40954	26285	339316							
Rhône	427736	472064	340356	157335	83797	1481288	217105	233809	169932	69338	26345	716529	210631	238255	170424	87997	57452	764759							
Haute-Saône	68487	65545	50100	29431	17023	230586	35462	33765	25645	13344	5984	114200	33025	31780	24455	16087	11039	116386							
Saône-et-Loire	153358	157162	127995	78940	45700	563155	78921	80084	64001	36160	16083	275249	74437	77078	63994	42780	29617	287906							
Sarthe	151376	150594	109119	64374	36418	511881	77602	76241	54127	29581	12892	250443	73774	74353	54992	34793	23526	261438							
