	Ensemble						Hommes						Femmes												
Savoie	95177	105670	77103	39979	20821	338750	48735	54016	38961	18127	7171	167010	46442	51654	38142	21852	13650	171740							
Haute-Savoie	158606	179682	122457	54514	26270	541529	81603	90799	62535	24674	8991	268602	77003	88883	59922	29840	17279	272927							
Paris	433785	783631	502773	264009	174534	2158732	218217	381614	242831	105357	54819	1002838	215568	402017	259942	158652	119715	1155894							
Seine-Maritime	373610	382117	258475	134143	69602	1217947	190658	190793	128016	59559	22736	591762	182952	191324	130459	74584	46866	626185							
Seine-et-Marne	334162	332712	224555	83306	47927	1022662	171755	164606	116169	37937	16405	506872	162407	168106	108386	45369	31522	515790							
Yvelines	401606	410594	310644	101945	51588	1276377	206126	203072	158681	46527	16531	630937	195480	207522	151963	55418	35057	645440							
Deux-Sèvres	97582	98270	75320	46559	27781	345512	50186	49944	37708	22038	10984	170860	47396	48326	37612	24521	16797	174652							
Somme	168542	167176	112742	64359	34550	547369	85804	84001	55940	29368	12168	267281	82738	83175	56802	34991	22382	280088							
Tarn	85719	92814	79797	52019	31612	341961	44361	46972	39003	24412	11711	166459	41358	45842	40794	27607	19901	175502							
Tarn-et-Garonne	50184	55594	44666	29751	17281	197476	25937	28323	22104	13962	6565	96891	24247	27271	22562	15789	10716	100585							
Var	197082	218537	185656	123540	60984	785799	101683	109612	91480	56541	22046	381362	95399	108925	94176	66999	38938	404437							
Vaucluse	125801	133722	106363	59203	30703	455792	64677	66940	53041	26956	10959	222573	61124	66782	53322	32247	19744	233219							
Vendée	148841	144213	105635	68144	35819	502652	76686	73954	52577	31661	12767	247645	72155	70259	53058	36483	23052	255007							
Vienne	105116	112442	80317	49742	30555	378172	53569	56289	40161	23397	11584	185000	51547	56153	40156	26345	18971	193172							
Haute-Vienne	84979	100320	81534	53179	34455	354467	43370	50122	40509	24234	12382	170617	41609	50198	41025	28945	22073	183850							
Vosges	114655	113969	85215	47848	27679	389366	58896	58370	42697	20954	8999	189916	55759	55599	42518	26894	18680	199450							
Yonne	88685	89425	67382	45315	28973	319780	45779	45819	34484	20867	10752	157701	42906	43606	32898	24448	18221	162079							
Territoire de Belfort	39623	42289	29836	14433	7528	133709	20666	21899	15241	6365	2443	66614	18957	20390	14595	8068	5085	67095							
Essonne	325163	352134	255697	80500	43598	1057092	166535	176610	130314	36712	14015	524186	158628	175524	125383	43788	29583	532906							
Hauts-de-Seine	345345	477024	333410	151867	81736	1389382	175179	234818	166232	65425	25146	666800	170166	242206	167178	86442	56590	722582							
Seine-Saint-Denis	407163	474312	310019	117544	56334	1365372	208032	235211	160622	51766	17564	673195	199131	239101	149397	65778	38770	692177							
Val-de-Marne	325514	413031	286307	118865	64580	1208297	165460	205605	143240	51701	19704	585710	160054	207426	143067	67164	44876	622587							
Val-d'Oise	325514	340820	228056	78574	39679	1012643	166534	167601	116806	35343	12427	498711	158980	173219	111250	43231	27252	513932							
	15852690	17203209	12481960	6751421	3676862	55966142	8110575	8635588	6225048	3029992	1254428	27255631	7742115	8567621	6256912	3721429	2422434	28710511							
																									
																									
																									
																									
																									
																									
																									
																									
																									
