	Ensemble						Hommes						Femmes																																																																	
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																												
Ain	151471	146125	157308	65923	38141	558968	77639	73575	79094	31969	14118	276395	73832	72550	78214	33954	24023	282573																																																												
Aisne	142747	134079	150175	66443	43354	536798	72764	67154	75059	30376	15659	261012	69983	66925	75116	36067	27695	275786																																																												
Allier	71918	76599	97599	56287	41155	343558	36909	38662	48298	25647	15370	164886	35009	37937	49301	30640	25785	178672																																																												
Alpes-de-Haute-Provence	35305	33300	43795	24726	15250	152376	18244	16331	21632	11848	5942	73997	17061	16969	22163	12878	9308	78379																																																												
Hautes-Alpes	30846	30239	37283	18820	12265	129453	15877	15167	18624	9011	4632	63311	14969	15072	18659	9809	7633	66142																																																												
Alpes-Maritimes	235361	256715	284825	167182	119417	1063500	121009	124650	135731	76002	43078	500470	114352	132065	149094	91180	76339	563030																																																												
Ardèche	71048	69368	86049	46030	30622	303117	36672	34832	43301	21980	11459	148244	34376	34536	42748	24050	19163	154873																																																												
Ardennes	74048	71874	80394	37263	22846	286425	37922	36381	40372	17130	8220	140025	36126	35493	40022	20133	14626	146400																																																												
Ariège	31450	31374	41628	23363	17073	144888	16225	15790	20967	11149	6679	70810	15225	15584	20661	12214	10394	74078																																																												
Aube	74168	75072	83362	39590	26291	298483	37881	37751	41397	18355	9619	145003	36287	37321	41965	21235	16672	153480																																																												
Aude	75607	76221	93314	54249	36846	336237	38629	37697	45682	25638	14451	162097	36978	38524	47632	28611	22395	174140																																																												
Aveyron	56610	60136	75837	46099	33297	271979	29384	30738	38644	21804	12751	133321	27226	29398	37193	24295	20546	138658																																																												
Bouches-du-Rhône	477915	510014	521846	254789	157257	1921821	244969	247439	249833	117852	56794	916887	232946	262575	272013	136937	100463	1004934																																																												
Calvados	172727	175333	182751	84505	52894	668210	87352	86881	89644	37851	18656	320384	85375	88452	93107	46654	34238	347826																																																												
Cantal	29817	33616	43723	24850	17824	149830	15224	17149	22182	11655	6708	72918	14593	16467	21541	13195	11116	76912																																																												
Charente	76405	80153	99838	53161	36354	345911	39084	40061	49414	25056	13569	167184	37321	40092	50424	28105	22785	178727																																																												
Charente-Maritime	130985	134823	165787	96349	64696	592640	67261	67580	80590	45076	24760	285267	63724	67243	85197	51273	39936	307373																																																												
Cher	71839	72681	89837	48697	31588	314642	36642	36570	44744	22972	11816	152744	35197	36111	45093	25725	19772	161898																																																												
Corrèze	47424	53518	67897	39957	30389	239185	24742	27801	34047	18602	11171	116363	22682	25717	33850	21355	19218	122822																																																												
Corse-du-Sud	28657	31913	38419	21647	12492	133128	15035	15476	18914	10288	4658	64371	13622	16437	19505	11359	7834	68757																																																												
Haute-Corse	33419	39904	44056	24086	14499	155964	17140	19966	21915	11629	5426	76076	16279	19938	22141	12457	9073	79888																																																												
Côte-d'Or	127790	139605	142152	64331	41951	515829	64727	68900	70149	30105	15153	249034	63063	70705	72003	34226	26798	266795																																																												
Côtes-d'Armor	131950	126460	156897	90972	60409	566688	67913	64229	78390	41536	21811	273879	64037	62231	78507	49436	38598	292809																																																												
Creuse	23290	24878	35188	22038	18029	123423	11961	12790	17865	10400	7058	60074	11329	12088	17323	11638	10971	63349																																																												
