	Ensemble						Hommes						Femmes																																																																	
Dordogne	82875	84134	115611	69889	49098	401607	42337	41748	56864	33202	18566	192717	40538	42386	58747	36687	30532	208890																																																												
Doubs	132318	142597	138404	64096	36156	513571	67771	72326	68382	29729	13409	251617	64547	70271	70022	34367	22747	261954																																																												
Drôme	117781	112496	128973	65307	39419	463976	60774	55965	63188	30609	14800	225336	57007	56531	65785	34698	24619	238640																																																												
Eure	152948	143773	160078	67231	39286	563316	78253	71646	79604	31497	14423	275423	74695	72127	80474	35734	24863	287893																																																												
Eure-et-Loir	109506	106779	117026	51258	34399	418968	56132	53742	58413	24421	13398	206106	53374	53037	58613	26837	21001	212862																																																												
Finistère	210814	216126	241946	125218	84428	878532	108339	110758	121268	55451	28885	424701	102475	105368	120678	69767	55543	453831																																																												
Gard	165827	160894	190340	97702	59299	674062	84812	79118	92782	45910	22416	325038	81015	81776	97558	51792	36883	349024																																																												
Haute-Garonne	285857	354677	312110	131767	80782	1165193	145544	178152	153059	61345	29260	567360	140313	176525	159051	70422	51522	597833																																																												
Gers	37333	37028	52376	31144	22114	179995	19070	18642	26140	15102	8877	87831	18263	18386	26236	16042	13237	92164																																																												
Gironde	330394	380716	382383	170085	114413	1377991	167814	187472	185374	78434	40098	659192	162580	193244	197009	91651	74315	718799																																																												
Hérault	238996	262092	260187	137744	86094	985113	121654	126835	123448	64422	32668	469027	117342	135257	136739	73322	53426	516086																																																												
Ille-et-Vilaine	245685	267951	242571	109129	68549	933885	125025	135310	120091	50355	24648	455429	120660	132641	122480	58774	43901	478456																																																												
Indre	49123	51768	65434	38727	27560	232612	24888	26339	32891	18224	10448	112790	24235	25429	32543	20503	17112	119822																																																												
Indre-et-Loire	141241	150069	156895	76688	51473	576366	71860	73961	76648	35602	18975	277046	69381	76108	80247	41086	32498	299320																																																												
Isère	309331	322666	311157	138534	76215	1157903	159224	163137	153650	65582	27905	569498	150107	159529	157507	72952	48310	588405																																																												
Jura	63301	61285	71080	36476	24425	256567	32536	30909	35656	17229	9068	125398	30765	30376	35424	19247	15357	131169																																																												
Landes	79207	81320	102747	57175	37095	357544	41028	41224	50722	27068	13658	173700	38179	40096	52025	30107	23437	183844																																																												
Loir-et-Cher	75430	75608	89666	48512	34273	323489	38376	38050	44746	22618	13444	157234	37054	37558	44920	25894	20829	166255																																																												
Loire	181560	184550	200205	104688	68390	739393	93512	92560	98168	48177	24120	356537	88048	91990	102037	56511	44270	382856																																																												
Haute-Loire	51280	50884	61260	32810	21586	217820	26544	25848	31505	15343	7676	106916	24736	25036	29755	17467	13910	110904																																																												
Loire-Atlantique	319282	332491	331087	145633	90317	1218810	163153	167200	163095	65832	31568	590848	156129	165291	167992	79801	58749	627962																																																												
Loiret	164967	168829	174706	80228	52439	641169	84565	84728	86243	38132	19941	313609	80402	84101	88463	42096	32498	327560																																																												
Lot	34463	34859	48412	29753	20784	168271	17804	17518	24244	14183	7946	81695	16659	17341	24168	15570	12838	86576																																																												
Lot-et-Garonne	70561	70867	89888	51961	36442	319719	36334	35277	44093	24468	13907	154079	34227	35590	45795	27493	22535	165640																																																												
Lozère	16585	18225	21603	11689	8196	76298	8795	9305	11220	5786	3288	38394	7790	8920	10383	5903	4908	37904																																																												
Maine-et-Loire	203411	202225	201350	92258	62285	761529	103491	101305	99466	42311	23548	370121	99920	100920	101884	49947	38737	391408																																																												
Manche	120377	114483	135040	72465	48745	491110	61648	57900	68358	33635	17719	239260	58729	56583	66682	38830	31026	251850																																																												
Marne	144208	158605	155462	65647	41753	565675	73832	79961	76360	29968	14613	274734	70376	78644	79102	35679	27140	290941																																																												
Haute-Marne	44858	44943	53832	27264	17920	188817	23088	23087	27125	12723	6639	92662	21770	21856	26707	14541	11281	96155																																																												
Mayenne	76751	73945	79182	39602	27404	296884	39482	38029	39744	18437	10423	146115	37269	35916	39438	21165	16981	150769																																																												
Meurthe-et-Moselle	182533	201173	196109	89584	54398	723797	93535	101362	96461	40700	18992	351050	88998	99811	99648	48884	35406	372747																																																												
Meuse	48535	47975	54645	25636	16846	193637	25200	24773	27930	11974	6017	95894	23335	23202	26715	13662	10829	97743																																																												
Morbihan	165464	165164	191822	102628	62402	687480	85647	84817	95044	46769	22204	334481	79817	80347	96778	55859	40198	352999																																																												
Moselle	255177	278439	296541	134714	69897	1034768	130788	141235	148024	62950	24624	507621	124389	137204	148517	71764	45273	527147																																																												
Nièvre	46571	47145	63825	38015	27155	222711	23778	23807	31674	17638	10016	106913	22793	23338	32151	20377	17139	115798																																																												
Nord	721083	722933	672330	276814	170726	2563886	369501	359462	328022	121261	57970	1236216	351582	363471	344308	155553	112756	1327670																																																												
Oise	220433	214226	223642	84277	46434	789012	113056	107181	111868	39660	16770	388535	107377	107045	111774	44617	29664	400477																																																												
Orne	70787	67710	81335	43711	29562	293105	36485	34373	40774	20446	11003	143081	34302	33337	40561	23265	18559	150024																																																												
Pas-de-Calais	398477	381137	395007	168025	109081	1451727	204396	190198	195923	72845	36924	700286	194081	190939	199084	95180	72157	751441																																																												
Puy-de-Dôme	140426	164091	176663	85638	53753	620571	71737	82632	87335	39689	18769	300162	68689	81459	89328	45949	34984	320409																																																												
Pyrénées-Atlantiques	140989	153464	177443	95453	63986	631335	72491	77658	86696	44057	23020	303922	68498	75806	90747	51396	40966	327413																																																												
Hautes-Pyrénées	47725	49725	66215	37748	25670	227083	24714	25037	32587	17645	9342	109325	23011	24688	33628	20103	16328	117758																																																												
Pyrénées-Orientales	96474	98008	114192	70623	46711	426008	49175	47453	54432	32606	17893	201559	47299	50555	59760	38017	28818	224449																																																												
Bas-Rhin	269039	308041	296451	128839	68790	1071160	136708	153508	148498	60162	22486	521362	132331	154533	147953	68677	46304	549798																																																												
Haut-Rhin	184842	196611	207490	93469	49830	732242	94452	99161	104508	44353	16890	359364	90390	97450	102982	49116	32940	372878																																																												
Rhône	431946	487219	423814	195529	116703	1655211	219126	239199	204965	90375	40425	794090	212820	248020	218849	105154	76278	861121																																																												
Haute-Saône	58071	57264	67050	32363	20186	234934	30006	29173	33922	15602	7339	116042	28065	28091	33128	16761	12847	118892																																																												
Saône-et-Loire	124462	125017	156409	84520	58259	548667	64245	63013	77861	39213	21785	266117	60217	62004	78548	45307	36474	282550																																																												
Sarthe	139603	138452	148470	73579	49963	550067	71235	70208	74002	34075	18880	268400	68368	68244	74468	39504	31083	281667																																																												
Savoie	99054	104987	111620	51674	31211	398546	51638	53195	55868	24105	11049	195855	47416	51792	55752	27569	20162	202691																																																												
Haute-Savoie	179303	189904	194872	79962	42581	686622	92955	95978	96475	37640	15326	338374	86348	93926	98397	42322	27255	348248																																																												
Paris	428463	774451	565574	241161	162537	2172186	216100	376664	269293	106886	54704	1023647	212363	397787	296281	134275	107833	1148539																																																												
Seine-Maritime	326602	330516	339506	151558	95179	1243361	166028	164113	165386	68174	33825	597526	160574	166403	174120	83384	61354	645835																																																												
Seine-et-Marne	364360	356028	357882	119712	63028	1261010	185868	175195	177576	57069	22058	617766	178492	180833	180306	62643	40970	643244																																																												
Yvelines	388272	382393	391842	151438	75511	1389456	199093	190529	190779	72371	27402	680174	189179	191864	201063	79067	48109	709282																																																												
Deux-Sèvres	83851	85654	100047	51417	36350	357319	43432	43358	50016	24656	14640	176102	40419	42296	50031	26761	21710	181217																																																												
Somme	145604	151918	152210	68840	44646	563218	74315	75582	75261	31176	16485	272819	71289	76336	76949	37664	28161	290399																																																												
Tarn	80905	81190	101237	57248	41352	361932	41480	40481	49703	26786	15866	174316	39425	40709	51534	30462	25486	187616																																																												
Tarn-et-Garonne	53219	52730	62474	32800	22509	223732	27338	26345	31267	15481	8651	109082	25881	26385	31207	17319	13858	114650																																																												
Var	222517	222986	267046	160471	99359	972379	113939	111132	128440	75419	37762	466692	108578	111854	138606	85052	61597	505687																																																												
Vaucluse	134432	129896	145728	74504	44475	529035	69313	63951	70772	34761	16614	255411	65119	65945	74956	39743	27861	273624																																																												
Vendée	140142	142419	161997	88654	54889	588101	71759	72779	81144	41946	20578	288206	68383	69640	80853	46708	34311	299895																																																												
Vienne	98190	110620	111464	56148	39015	415437	49793	54687	55328	26902	14941	201651	48397	55933	56136	29246	24074	213786																																																												
Haute-Vienne	76921	90873	102450	54314	40321	364879	39384	45126	50503	25337	14873	175223	37537	45747	51947	28977	25448	189656																																																												
Vosges	93796	91766	108284	52463	33957	380266	48370	46841	54003	24050	11644	184908	45426	44925	54281	28413	22313	195358																																																												
Yonne	80986	78969	95253	48634	35141	338983	41298	39686	47418	22846	13234	164482	39688	39283	47835	25788	21907	174501																																																												
Territoire de Belfort	35649	38709	38697	17223	10394	140672	18545	20538	19264	7968	3607	69922	17104	18171	19433	9255	6787	70750																																																												
Essonne	332438	337861	329762	126802	61488	1188351	169770	168842	162218	60121	21715	582666	162668	169019	167544	66681	39773	605685																																																												
Hauts-de-Seine	379221	481858	396945	158337	103745	1520106	192884	235216	189500	71925	35428	724953	186337	246642	207445	86412	68317	795153																																																												
Seine-Saint-Denis	428431	449083	388274	138456	70676	1474920	217642	219764	191824	66550	24702	720482	210789	229319	196450	71906	45974	754438																																																												
Val-de-Marne	332978	387046	349214	136195	81917	1287350	169783	189089	169962	62008	28279	619121	163195	197957	179252	74187	53638	668229																																																												
Val-d'Oise	337951	326727	321227	107093	55766	1148764	172763	159340	156516	50665	19114	558398	165188	167387	164711	56428	36652	590366																																																												
	15244989	16253263	16714029	7828306	4922677	60963264	7798655	8094303	8218077	3626588	1779738	29517361	7446334	8158960	8495952	4201718	3142939	31445903																																																												
Guadeloupe	124155	104562	106609	41740	22112	399178	63488	47599	49270	18994	8807	188158	60667	56963	57339	22746	13305	211020																																																												
Martinique	115247	102449	108876	46061	23349	395982	58068	46800	50041	21150	8782	184841	57179	55649	58835	24911	14567	211141																																																												
Guyane	89056	58770	39614	8353	3413	199206	45094	28028	20349	4319	1433	99223	43962	30742	19265	4034	1980	99983																																																												
La Réunion	275410	229240	184544	59941	23772	772907	140360	109192	89874	27756	8827	376009	135050	120048	94670	32185	14945	396898																																																												
	603868	495021	439643	156095	72646	1767273	307010	231619	209534	72219	27849	848231	296858	263402	230109	83876	44797	919042																																																												
	15848857	16748284	17153672	7984401	4995323	62730537	8105665	8325922	8427611	3698807	1807587	30365592	7743192	8422362	8726061	4285594	3187736	32364945																																																												
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
