	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	156875	147234	166380	74738	43626	588853	80092	74176	83523	36499	16573	290863	76783	73058	82857	38239	27053	297990							
Aisne	140108	130650	151050	71463	46599	539870	71798	65520	75244	33654	16699	262915	68310	65130	75806	37809	29900	276955							
Allier	71746	71728	97005	58555	44012	343046	36844	36075	47793	27502	16125	164339	34902	35653	49212	31053	27887	178707							
Alpes-de-Haute-Provence	36485	32462	45785	27538	17180	159450	18996	15924	22448	13201	6708	77277	17489	16538	23337	14337	10472	82173							
Hautes-Alpes	31261	29425	39568	21688	13894	135836	16061	14798	19667	10516	5363	66405	15200	14627	19901	11172	8531	69431							
Alpes-Maritimes	235569	252371	289638	174679	126843	1079100	120813	123683	137891	79918	47206	509511	114756	128688	151747	94761	79637	569589							
Ardèche	72885	67104	88571	50756	34262	313578	37465	33647	44195	24477	12939	152723	35420	33457	44376	26279	21323	160855							
Ardennes	71495	67896	80587	38772	24546	283296	37250	34089	40344	18409	8796	138888	34245	33807	40243	20363	15750	144408							
Ariège	32414	31759	43334	24858	18752	151117	16800	15812	21760	11926	7430	73728	15614	15947	21574	12932	11322	77389							
Aube	74797	73165	83540	43478	28318	303298	38245	36756	41306	20782	10200	147289	36552	36409	42234	22696	18118	156009							
Aude	79366	76394	96931	59586	41703	353980	40443	38160	47418	28305	16389	170715	38923	38234	49513	31281	25314	183265							
Aveyron	58336	57378	77124	47249	36961	277048	30228	29163	39000	22771	14550	135712	28108	28215	38124	24478	22411	141336							
Bouches-du-Rhône	480429	504586	530843	276670	174771	1967299	245119	246582	253329	129256	64715	939001	235310	258004	277514	147414	110056	1028298							
Calvados	172025	170600	185233	92725	60325	680908	87754	84901	90812	42744	21281	327492	84271	85699	94421	49981	39044	353416							
Cantal	28846	31016	43546	25352	19620	148380	14725	15778	22199	12067	7394	72163	14121	15238	21347	13285	12226	76217							
Charente	76927	76745	101299	56106	40486	351563	39533	38618	49833	26853	15325	170162	37394	38127	51466	29253	25161	181401							
Charente-Maritime	134424	132458	169672	107702	72351	616607	69524	66261	82239	50874	27997	296895	64900	66197	87433	56828	44354	319712							
Cher	68962	67542	88028	52149	34341	311022	35332	34219	43472	24953	12912	150888	33630	33323	44556	27196	21429	160134							
Corrèze	49138	51583	68485	41537	32609	243352	25581	26695	34148	19604	12129	118157	23557	24888	34337	21933	20480	125195							
Corse-du-Sud	29265	33050	41248	23396	14371	141330	15285	16185	20304	11239	5727	68740	13980	16865	20944	12157	8644	72590							
Haute-Corse	33487	41455	46440	26957	16005	164344	17350	21050	23135	13154	6085	80774	16137	20405	23305	13803	9920	83570							
Côte-d'Or	125757	136756	143132	71100	47399	524144	63888	68105	70178	33639	17357	253167	61869	68651	72954	37461	30042	270977							
Côtes-d'Armor	137007	125413	160615	97709	66775	587519	70610	63509	80092	45634	23847	283692	66397	61904	80523	52075	42928	303827							
Creuse	23488	23132	35588	22597	18779	123584	12067	11927	18023	10939	7183	60139	11421	11205	17565	11658	11596	63445							
Dordogne	83624	81647	117901	74774	54136	412082	42833	40561	57863	35839	20960	198056	40791	41086	60038	38935	33176	214026							
Doubs	131997	141542	138935	70976	41826	525276	68095	71707	68558	33844	15821	258025	63902	69835	70377	37132	26005	267251							
Drôme	120782	111532	134063	72129	44478	482984	62333	55377	65820	34381	17113	235024	58449	56155	68243	37748	27365	247960							
Eure	155285	143761	163794	76127	43855	582822	79239	71377	81277	36496	16052	284441	76046	72384	82517	39631	27803	298381							
Eure-et-Loir	109085	104263	118359	56556	37239	425502	56136	52178	58827	27094	14380	208615	52949	52085	59532	29462	22859	216887							
Finistère	211972	210670	246670	133676	90926	893914	109142	108357	123363	61321	30873	433056	102830	102313	123307	72355	60053	460858							
Gard	170803	159764	197503	107312	66501	701883	87344	78532	95966	50850	25782	338474	83459	81232	101537	56462	40719	363409							
Haute-Garonne	298417	365230	327472	147057	92644	1230820	152809	184583	160996	68855	34311	601554	145608	180647	166476	78202	58333	629266							
Gers	39012	36265	54595	32556	24753	187181	20064	18074	27090	15820	10273	91321	18948	18191	27505	16736	14480	95860							
Gironde	340935	384307	392150	190617	126652	1434661	173831	189548	189382	89095	45769	687625	167104	194759	202768	101522	80883	747036							
Hérault	243609	266074	271332	153611	97348	1031974	123984	130119	129169	72174	37500	492946	119625	135955	142163	81437	59848	539028							
Ille-et-Vilaine	254509	270340	254846	119448	78306	977449	129682	136216	126447	55567	28907	476819	124827	134124	128399	63881	49399	500630							
