	Ensemble						Hommes						Femmes												
Indre	48812	48506	65486	39939	29525	232268	24927	24575	32810	18978	11259	112549	23885	23931	32676	20961	18266	119719							
Indre-et-Loire	141487	148273	159329	82843	56488	588420	72001	73077	78009	38894	21395	283376	69486	75196	81320	43949	35093	305044							
Isère	314387	318656	320978	153379	89638	1197038	161861	160835	158609	73744	33804	588853	152526	157821	162369	79635	55834	608185							
Jura	63560	59024	72317	39373	27003	261277	32788	29665	36083	18932	10167	127635	30772	29359	36234	20441	16836	133642							
Landes	83857	82614	108358	63211	41301	379341	43036	41805	53619	30025	15920	184405	40821	40809	54739	33186	25381	194936							
Loir-et-Cher	76579	71445	91129	51301	37414	327868	39295	35881	45131	24445	14584	159336	37284	35564	45998	26856	22830	168532							
Loire	182287	178610	197980	111228	76010	746115	93435	89876	96990	52391	27034	359726	88852	88734	100990	58837	48976	386389							
Haute-Loire	52586	48843	62613	35113	23967	223122	27006	24819	32017	16932	8722	109496	25580	24024	30596	18181	15245	113626							
Loire-Atlantique	327703	336242	339997	161266	101150	1266358	167623	169397	166891	74461	35719	614091	160080	166845	173106	86805	65431	652267							
Loiret	164957	166733	175800	88486	57534	653510	84671	83508	86672	42267	21924	319042	80286	83225	89128	46219	35610	334468							
Lot	35602	32902	49955	32329	22774	173562	18304	16439	24678	15723	8963	84107	17298	16463	25277	16606	13811	89455							
Lot-et-Garonne	72116	69772	91938	55806	40065	329697	37467	34587	44818	26607	15551	159030	34649	35185	47120	29199	24514	170667							
Lozère	16365	17307	22094	12670	8727	77163	8617	8872	11524	6290	3458	38761	7748	8435	10570	6380	5269	38402							
Maine-et-Loire	206301	199135	205010	100530	69106	780082	105069	99630	101358	46984	26002	379043	101232	99505	103652	53546	43104	401039							
Manche	117572	109367	138857	77151	54815	497762	60299	55568	70247	36257	20336	242707	57273	53799	68610	40894	34479	255055							
Marne	140491	152322	154460	73129	45743	566145	72122	76715	75309	34391	16106	274643	68369	75607	79151	38738	29637	291502							
Haute-Marne	42556	41686	52793	28902	19277	185214	21868	21481	26300	13883	7047	90579	20688	20205	26493	15019	12230	94635							
Mayenne	78367	72248	81379	41740	31413	305147	40368	37096	41053	19705	12120	150342	37999	35152	40326	22035	19293	154805							
Meurthe-et-Moselle	178483	199325	196077	95432	61702	731019	91052	100212	95576	44608	21986	353434	87431	99113	100501	50824	39716	377585							
Meuse	46784	46758	54963	27029	18469	194003	24206	24339	27829	13043	6668	96085	22578	22419	27134	13986	11801	97918							
Morbihan	170164	161608	199347	113663	71400	716182	87720	82647	99125	52890	25409	347791	82444	78961	100222	60773	45991	368391							
Moselle	246122	272761	305123	139232	81660	1044898	126516	138892	151211	65691	29911	512221	119606	133869	153912	73541	51749	532677							
Nièvre	45445	43505	62762	39746	28741	220199	23270	22009	30849	18960	10353	105441	22175	21496	31913	20786	18388	114758							
Nord	701016	715501	671480	300062	183881	2571940	359352	356241	327151	136010	61436	1240190	341664	359260	344329	164052	122445	1331750							
Oise	217671	210356	226182	95483	51820	801512	111495	105539	112251	46572	19075	394932	106176	104817	113931	48911	32745	406580							
Orne	69107	63435	81154	45786	32728	292210	35507	32026	40574	21780	12332	142219	33600	31409	40580	24006	20396	149991							
Pas-de-Calais	389889	374134	399473	182642	115119	1461257	199991	186779	197734	82279	38510	705293	189898	187355	201739	100363	76609	755964							
Puy-de-Dôme	140900	159662	176801	93278	58775	629416	71524	80557	87303	44002	20722	304108	69376	79105	89498	49276	38053	325308							
Pyrénées-Atlantiques	143809	149521	183725	101643	71658	650356	74070	75311	89589	47178	26487	312635	69739	74210	94136	54465	45171	337721							
Hautes-Pyrénées	48171	47768	66197	38992	28542	229670	24887	24401	32255	18196	10514	110253	23284	23367	33942	20796	18028	119417							
Pyrénées-Orientales	100682	98838	118785	75675	51910	445890	51853	47947	56661	35230	19812	211503	48829	50891	62124	40445	32098	234387							
Bas-Rhin	266037	299239	310288	137930	80945	1094439	135612	147743	154669	66287	28652	532963	130425	151496	155619	71643	52293	561476							
Haut-Rhin	183821	189782	216977	98522	59512	748614	94227	94987	108566	47750	21311	366841	89594	94795	108411	50772	38201	381773							
Rhône	440207	498109	426247	210625	133483	1708671	222769	244913	205877	99036	48695	821290	217438	253196	220370	111589	84788	887381							
Haute-Saône	58313	55168	67861	35772	22080	239194	30153	28038	34190	17454	8180	118015	28160	27130	33671	18318	13900	121179							
Saône-et-Loire	124420	119004	156837	90386	64073	554720	64535	60456	77757	42980	23927	269655	59885	58548	79080	47406	40146	285065							
Sarthe	140830	134182	152436	78636	54966	561050	72007	67845	75846	37227	20890	273815	68823	66337	76590	41409	34076	287235							
Savoie	100663	102995	115615	56733	35001	411007	52002	52478	57707	26869	12986	202042	48661	50517	57908	29864	22015	208965							
Haute-Savoie	185761	192769	205947	91784	49533	725794	95984	97536	101700	43918	18351	357489	89777	95233	104247	47866	31182	368305							
Paris	444286	785061	566908	271489	166361	2234105	222375	380051	271134	121603	57009	1052172	221911	405010	295774	149886	109352	1181933							
Seine-Maritime	318228	322904	339222	164225	105541	1250120	162059	160079	165467	75474	37247	600326	156169	162825	173755	88751	68294	649794							
Seine-et-Marne	371860	363000	366182	140386	71986	1313414	189870	178217	180440	68159	26054	642740	181990	184783	185742	72227	45932	670674							
Yvelines	386231	372462	389611	168898	90358	1407560	197414	185107	189049	81672	33708	686950	188817	187355	200562	87226	56650	720610							
Deux-Sèvres	85208	83849	102715	54605	39962	366339	43912	42426	51148	26281	15838	179605	41296	41423	51567	28324	24124	186734							
Somme	143460	149287	153806	75534	47688	569775	73312	74439	75982	35429	17526	276688	70148	74848	77824	40105	30162	293087							
Tarn	84154	80036	104240	59756	45832	374018	43044	40041	51083	28237	17977	180382	41110	39995	53157	31519	27855	193636							
Tarn-et-Garonne	57455	54838	66469	35331	25198	239291	29465	27424	33142	16870	9942	116843	27990	27414	33327	18461	15256	122448							
Var	223610	220479	273094	177215	112905	1007303	115079	110392	131031	83423	43647	483572	108531	110087	142063	93792	69258	523731							
Vaucluse	133205	126465	149024	81570	49801	540065	68346	62284	71842	38584	18733	259789	64859	64181	77182	42986	31068	280276							
Vendée	149889	144641	169446	99273	63162	626411	77046	73624	84731	47558	24389	307348	72843	71017	84715	51715	38773	319063							
Vienne	99707	109691	114026	59944	42698	426066	50388	53622	56224	28686	16423	205343	49319	56069	57802	31258	26275	220723							
Haute-Vienne	79288	90184	103055	58539	43783	374849	40173	44649	50650	27588	16506	179566	39115	45535	52405	30951	27277	195283							
Vosges	90645	87076	108732	56704	37035	380192	46545	44321	54083	26959	12867	184775	44100	42755	54649	29745	24168	195417							
Yonne	81118	76463	95918	52902	36976	343377	41684	38079	47625	25684	13706	166778	39434	38384	48293	27218	23270	176599							
Territoire de Belfort	35608	37734	38727	18625	11767	142461	18656	20056	19251	9004	4154	71121	16952	17678	19476	9621	7613	71340							
Essonne	332875	331892	330275	139566	73396	1208004	170049	166206	162204	66658	27361	592478	162826	165686	168071	72908	46035	615526							
Hauts-de-Seine	392670	480385	405194	170313	113183	1561745	199820	234738	191749	78722	39529	744558	192850	245647	213445	91591	73654	817187							
Seine-Saint-Denis	438747	453825	397180	147939	78292	1515983	223120	221777	195541	73521	28053	742012	215627	232048	201639	74418	50239	773971							
Val-de-Marne	340211	389181	353514	146703	88928	1318537	173692	189124	170130	68274	31175	632395	166519	200057	183384	78429	57753	686142							
Val-d'Oise	335383	327597	321264	121064	63584	1168892	171265	160205	155834	58386	22776	568466	164118	167392	165430	62678	40808	600426							
	15368840	16082452	17024614	8520227	5469576	62465709	7864098	8009845	8347989	4015893	2009609	30247434	7504742	8072607	8676625	4504334	3459967	32218275							
Guadeloupe 	120312	93918	114404	48820	24100	401554	61891	41915	52453	22140	9468	187867	58421	52003	61951	26680	14632	213687							
Martinique 	108891	92318	116740	51695	26760	396404	54973	41471	53091	23748	10372	183655	53918	50847	63649	27947	16388	212749							
Guyane	99680	65773	45078	10478	3460	224469	50651	31046	22754	5333	1417	111201	49029	34727	22324	5145	2043	113268							
La Réunion	279585	227738	213165	69968	25908	816364	142580	107599	103565	32516	9428	395688	137005	120139	109600	37452	16480	420676							
	608468	479747	489387	180961	80228	1838791	310095	222031	231863	83737	30685	878411	298373	257716	257524	97224	49543	960380							
	15977308	16562199	17514001	8701188	5549804	64304500	8174193	8231876	8579852	4099630	2040294	31125845	7803115	8330323	8934149	4601558	3509510	33178655							
																									
																									
