	Ensemble						Hommes						Femmes																																																									
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																				
Val-de-Marne	316261	387606	316252	137272	69639	1227030	160949	190307	156240	60939	23187	591622	155312	197299	160012	76333	46452	635408																																																				
Val-d'Oise	334367	330363	290677	103461	45665	1104533	170895	161861	145213	47739	15242	540950	163472	168502	145464	55722	30423	563583																																																				
	15017908	16565356	14890414	7901639	4121296	58496613	7682497	8266444	7397208	3608319	1451677	28406145	7335411	8298912	7493206	4293320	2669619	30090468																																																				
Guadeloupe	126024	120063	85774	36494	17254	385609	64003	57401	40202	16564	6791	184961	62021	62662	45572	19930	10463	200648																																																				
Martinique	116634	117212	86321	41423	19273	380863	58924	55447	40137	18800	7384	180692	57710	61765	46184	22623	11889	200171																																																				
Guyane	69234	48923	28834	6400	2369	155760	35112	23999	15076	3273	983	78443	34122	24924	13758	3127	1386	77317																																																				
La Réunion	265370	230999	140720	49229	17502	703820	134963	113050	69603	22455	6100	346171	130407	117949	71117	26774	11402	357649																																																				
	577262	517197	341649	133546	56398	1626052	293002	249897	165018	61092	21258	790267	284260	267300	176631	72454	35140	835785																																																				
	15595170	17082553	15232063	8035185	4177694	60122665	7975499	8516341	7562226	3669411	1472935	29196412	7619671	8566212	7669837	4365774	2704759	30926253																																																				
																																																																						
																																																																						
																																																																						
