	Ensemble						Hommes						Femmes												
Haute-Garonne	232473	231212	177770	100626	41042	783123	118770	115610	86867	45871	13776	380894	113703	115602	90903	54755	27266	402229							
Gers	49015	40238	42601	31089	12653	175596	25098	20758	21799	15172	4515	87342	23917	19480	20802	15917	8138	88254							
Gironde	322301	294227	242452	145774	64926	1069680	164180	147361	118020	63881	20130	513572	158121	146866	124432	81893	44796	556108							
Hérault	189962	174535	149385	98414	42553	654849	97000	87205	72210	44299	14454	315168	92962	87330	77175	54115	28099	339681							
Ille-et-Vilaine	243684	196072	151488	87787	29601	708632	123694	98417	73936	37465	8218	341730	119990	97655	77552	50322	21383	366902							
Indre	73357	58253	55603	42337	18525	248075	37688	30301	27880	19817	6464	122150	35669	27952	27723	22520	12061	125925							
Indre-et-Loire	159424	131685	100289	63445	27369	482212	81011	66153	49469	29071	9086	234790	78413	65532	50820	34374	18283	247422							
Isère	286795	259986	187688	97154	37731	869354	146867	134101	94707	42771	12220	430666	139928	125885	92981	54383	25511	438688							
Jura	78438	60787	52373	34545	13509	239652	40314	31678	26047	15881	4526	118446	38124	29109	26326	18664	8983	121206							
Landes	86163	69930	67226	46971	19277	289567	44184	35507	33692	21585	6254	141222	41979	34423	33534	25386	13023	148345							
Loir-et-Cher	90544	71285	60313	44086	19229	285457	46442	36644	30300	20416	6598	140400	44102	34641	30013	23670	12631	145057							
Loire	236812	199731	168440	98354	38747	742084	120740	102617	83386	42851	11663	361257	116072	97114	85054	55503	27084	380827							
Haute-Loire	61630	48841	46531	34026	14743	205771	31614	25544	23240	15348	4804	100550	30016	23297	23291	18678	9939	105221							
Loire-Atlantique	330436	258855	201340	109065	42449	942145	168940	129564	98307	46417	12068	455296	161496	129291	103033	62648	30381	486849							
Loiret	159884	140381	103672	64733	26840	495510	81763	72192	51866	29976	9184	244981	78121	68189	51806	34757	17656	250529							
Lot	41941	34515	35475	28058	11270	151259	21483	17695	17659	13127	3810	73774	20458	16820	17816	14931	7460	77485							
Lot-et-Garonne	85895	70821	69636	47751	19476	293579	43783	35960	34342	22365	6835	143285	42112	34861	35294	25386	12641	150294							
Lozère	21816	18058	16472	12832	5575	74753	11240	9572	8563	6035	1897	37307	10576	8486	7909	6797	3678	37446							
Maine-et-Loire	231954	168410	127613	75760	32140	635877	117876	84679	62425	33686	10288	308954	114078	83731	65188	42074	21852	326923							
Manche	156287	109856	104185	62521	21162	454011	79566	56215	51467	26992	5507	219747	76721	53641	52718	35529	15655	234264							
Marne	184656	157788	106818	58611	23826	531699	94069	81615	53617	25891	8040	263232	90587	76173	53201	32720	15786	268467							
Haute-Marne	74844	55180	44243	27013	10819	212099	38459	29100	22367	12456	3554	105936	36385	26080	21876	14557	7265	106163							
Mayenne	92038	66225	57216	35271	12516	263266	46971	33222	28425	15483	3548	127649	45067	33003	28791	19788	8968	135617							
Meurthe-et-Moselle	245083	210700	155715	80768	29423	721689	124386	109987	77811	35225	9545	356954	120697	100713	77904	45543	19878	364735							
Meuse	69547	51934	43634	27399	11194	203708	35768	27330	21895	12239	3805	101037	33779	24604	21739	15160	7389	102671							
Morbihan	194126	140048	127633	79832	25710	567349	99680	72369	63329	34405	7575	277358	94446	67679	64304	45427	18135	289991							
Moselle	363909	288333	220844	101137	31853	1006076	185821	151561	112200	44984	11033	505599	178088	136772	108644	56153	20820	500477							
Nièvre	71970	57192	54045	42306	19367	244880	37048	29780	26963	19535	6641	119967	34922	27412	27082	22771	12726	124913							
Nord	901029	693594	525453	284656	106243	2510975	459160	356738	260102	120924	33625	1230549	441869	336856	265351	163732	72618	1280426							
Oise	219243	179464	122723	64569	27008	613007	112319	94698	63006	29264	8947	308234	106924	84766	59717	35305	18061	304773							
Orne	101907	73865	64788	38668	14821	294049	52060	37773	32286	17178	4419	143716	49847	36092	32502	21490	10402	150333							
Pas-de-Calais	510811	361682	307918	167566	57464	1405441	260652	184773	150614	71628	18083	685750	250159	176909	157304	95938	39381	719691							
Puy-de-Dôme	178892	164254	131793	76589	30565	582093	91286	84874	66123	34212	9708	286203	87606	79380	65670	42377	20857	295890							
Pyrénées-Atlantiques	164611	133686	123826	82261	33175	537559	83833	66665	61156	36946	10824	259424	80778	67021	62670	45315	22351	278135							
Hautes-Pyrénées	65783	55810	55448	36316	13993	227350	33825	28142	27505	16696	4531	110699	31958	27668	27943	19620	9462	116651							
Pyrénées-Orientales	84169	67453	75339	55375	21389	303725	43207	33067	36434	25736	7720	146164	40962	34386	38905	29639	13669	157561							
Bas-Rhin	293475	257566	186142	111362	37670	886215	149089	135153	89964	46887	12513	433606	144386	122413	96178	64475	25157	452609							
Haut-Rhin	210243	184624	137212	76615	28128	636822	107391	97588	67518	31783	8807	313087	102852	87036	69694	44832	19321	323735							
Rhône	458833	433284	315861	159996	61920	1429894	234025	221847	157309	67260	18614	699055	224808	211437	158552	92736	43306	730839							
Haute-Saône	75530	56842	46273	32095	12900	223640	38771	30200	23117	14363	4238	110689	36759	26642	23156	17732	8662	112951							
Saône-et-Loire	181131	142806	127724	83612	35132	570405	92633	74038	63979	37944	11623	280217	88498	68768	63745	45668	23509	290188							
Sarthe	173084	126885	103442	63889	25500	492800	88744	64226	51047	28572	8002	240591	84340	62659	52395	35317	17498	252209							
Savoie	99172	86636	68525	38350	14671	307354	50700	44985	34792	17386	4906	152769	48472	41651	33733	20964	9765	154585							
Haute-Savoie	149163	141896	95774	48884	17048	452765	76474	73404	48152	21996	5659	225685	72689	68492	47622	26888	11389	227080							
Paris	448512	769816	545939	369456	152825	2286548	225496	391216	250515	144683	45010	1056920	223016	378600	295424	224773	107815	1229628							
Seine-Maritime	408862	333587	249727	133580	49892	1175648	208448	170608	123299	58578	15364	576297	200414	162979	126428	75002	34528	599351							
Seine-et-Marne	266488	231087	156574	81190	34286	769625	136267	118312	80127	36560	11499	382765	130221	112775	76447	44630	22787	386860							
Yvelines	378696	352031	238729	87495	36633	1093584	194282	179505	122016	38312	11116	545231	184414	172526	116713	49183	25517	548353							
Deux-Sèvres	112760	82999	72929	48325	20092	337105	57844	42509	36557	22837	7093	166840	54916	40490	36372	25488	12999	170265							
Somme	189668	143166	110150	68384	28126	539494	96368	73216	54768	30692	9638	264682	93300	69950	55382	37692	18488	274812							
Tarn	98572	80738	81668	54452	22873	338303	50785	40697	40524	25007	8032	165045	47787	40041	41144	29445	14841	173258							
Tarn-et-Garonne	54794	43769	43051	30678	12155	184447	28196	22273	21319	14295	4313	90396	26598	21496	21732	16383	7842	94051							
Var	179000	164925	150418	103280	37982	635605	92451	85579	74099	47111	12753	311993	86549	79346	76319	56169	25229	323612							
Vaucluse	122670	107918	89402	54132	20814	394936	63051	55848	44378	24634	7039	194950	59619	52070	45024	29498	13775	199986							
Vendée	157318	113351	95629	64268	24346	454912	80478	58136	47602	28983	7721	222920	76840	55215	48027	35285	16625	231992							
Vienne	115661	93363	76337	52099	21915	359375	58800	47427	38259	24399	7584	176469	56861	45936	38078	27700	14331	182906							
Haute-Vienne	94658	89246	82915	60004	25930	352753	48252	45537	41116	27284	8669	170858	46406	43709	41799	32720	17261	181895							
Vosges	135584	104272	84225	53958	19859	397898	69353	54622	41551	23114	6053	194693	66231	49650	42674	30844	13806	203205							
Yonne	92100	74338	62247	50320	22293	301298	47185	39340	31397	23359	7913	149194	44915	34998	30850	26961	14380	152104							
Territoire de Belfort	43037	37376	28024	14613	5661	128711	22311	19838	14147	6232	1825	64353	20726	17538	13877	8381	3836	64358							
Essonne	328213	302685	194846	70713	31612	928069	168203	153182	100181	31350	9865	462781	160010	149503	94665	39363	21747	465288							
Hauts-de-Seine	385732	460137	357007	163532	64118	1430526	195617	237741	176675	68734	18862	697629	190115	222396	180332	94798	45256	732897							
Seine-Saint-Denis	425978	416837	309860	121322	45700	1319697	218998	216777	157135	52227	14339	659476	206980	200060	152725	69095	31361	660221							
Val-de-Marne	365512	386771	285216	120551	52345	1210395	185249	197717	140829	51777	15388	590960	180263	189054	144387	68774	36957	619435							
Val-d'Oise	294883	267373	186497	70684	29597	849034	150692	135793	94660	30910	9305	421360	144191	131580	91837	39774	20292	427674							
	16809211	14678387	11726623	6861583	2722534	52798338	8587539	7537916	5812102	3030414	878593	25846564	8221672	7140471	5914521	3831169	1843941	26951774							
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
