	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	122612	107766	82110	49288	19550	381326	62965	56941	42310	22403	6628	191247	59647	50825	39800	26885	12922	190079							
Aisne	187288	140637	113284	65871	27190	534270	95844	73214	56850	29471	9564	264943	91444	67423	56434	36400	17626	269327							
Allier	109220	89475	88409	63329	27212	377645	55811	45779	43941	28889	9185	183605	53409	43696	44468	34440	18027	194040							
Alpes-de-Haute-Provence	33348	28475	25889	17884	7379	112975	17262	14832	13220	8534	2651	56499	16086	13643	12669	9350	4728	56476							
Hautes-Alpes	29350	26341	22567	14378	5713	98349	15174	13691	11611	6811	2011	49298	14176	12650	10956	7567	3702	49051							
Alpes-Maritimes	198120	206887	194247	155850	68432	823536	101572	104207	91514	67111	23956	388360	96548	102680	102733	88739	44476	435176							
Ardèche	78603	63101	58685	40930	17241	258560	40351	32569	29637	18409	5625	126591	38252	30532	29048	22521	11616	131969							
Ardennes	111481	80629	64981	36975	14429	308495	57107	42424	32988	16746	4869	154134	54374	38205	31993	20229	9560	154361							
Ariège	36214	30182	32860	26302	11987	137545	18633	15688	16556	12527	4458	67862	17581	14494	16304	13775	7529	69683							
Aube	92604	78119	60167	38301	16498	285689	47475	40376	29934	17273	5727	140785	45129	37743	30233	21028	10771	144904							
Aude	74076	60227	66924	50255	22239	273721	38446	30527	32731	23417	7935	133056	35630	29700	34193	26838	14304	140665							
Aveyron	79175	64821	65382	49383	19908	278669	40453	33404	32691	23064	6917	136529	38722	31417	32691	26319	12991	142140							
Bouches-du-Rhône	498110	467982	384871	210191	82652	1643806	255032	239406	191590	93391	27092	806511	243078	228576	193281	116800	55560	837295							
Calvados	200917	158850	117632	63453	23642	564494	102471	80395	57568	27527	6668	274629	98446	78455	60064	35926	16974	289865							
Cantal	51500	39288	37994	26855	10669	166306	26294	20691	19371	12609	3547	82512	25206	18597	18623	14246	7122	83794							
Charente	105119	83525	76683	51300	21225	337852	53667	42531	38257	23503	7127	165085	51452	40994	38426	27797	14098	172767							
Charente-Maritime	158299	121901	112052	76321	31483	500056	80996	62018	55288	35464	10658	244424	77303	59883	56764	40857	20825	255632							
Cher	96167	80560	69118	49854	21325	317024	49084	42081	34829	22907	7305	156206	47083	38479	34289	26947	14020	160818							
Corrèze	65125	56006	57880	43753	17980	240744	33598	28895	28655	20236	6168	117552	31527	27111	29225	23517	11812	123192							
Corse-du-Sud	26468	28844	24345	16126	6567	102350	13726	16774	12547	7385	2151	52583	12742	12070	11798	8741	4416	49767							
Haute-Corse	32054	37628	29673	18736	8169	126260	16745	23286	15415	8739	2919	67104	15309	14342	14258	9997	5250	59156							
Côte-d'Or	152138	131420	95294	55713	23615	458180	77351	67342	47515	25388	7806	225402	74787	64078	47779	30325	15809	232778							
Côtes-d'Armor	170346	125331	120682	82844	28405	527608	87635	64748	59712	36077	8032	256204	82711	60583	60970	46767	20373	271404							
Creuse	36750	29355	34829	30493	14203	145630	18742	15656	17718	14151	4841	71108	18008	13699	17111	16342	9362	74522							
Dordogne	103728	84375	90882	67710	27176	373871	53306	43034	45151	31729	9082	182302	50422	41341	45731	35981	18094	191569							
Doubs	168595	143149	95412	47454	16771	471381	85576	75232	48042	21063	5412	235325	83019	67917	47370	26391	11359	236056							
Drôme	117531	97444	80669	49357	20150	365151	60516	49554	40173	22373	6705	179321	57015	47890	40496	26984	13445	185830							
Eure	150933	117979	88545	50539	19743	427739	77012	61102	44723	23018	6293	212148	73921	56877	43822	27521	13450	215591							
Eure-et-Loir	114375	92471	69891	43989	17646	338372	59004	48068	35395	20622	6253	169342	55371	44403	34496	23367	11393	169030							
Finistère	259128	197893	185715	122621	42089	807446	132453	101965	90504	52964	13188	391074	126675	95928	95211	69657	28901	416372							
Gard	149079	126516	118620	74024	31040	499279	76288	64705	58619	33516	10182	243310	72791	61811	60001	40508	20858	255969							
