	Ensemble						Hommes						Femmes														
Lozère	20893	19023	17123	11461	5960	74460	10719	10149	8846	5330	2153	37197	10174	8874	8277	6131	3807	37263									
Maine-et-Loire	232195	180203	137641	68618	35143	653800	118238	90791	67186	30369	11720	318304	113957	89412	70455	38249	23423	335496									
Manche	150551	116904	110223	57648	23838	459164	76865	60216	54321	24920	6641	222963	73686	56688	55902	32728	17197	236201									
Marne	180835	163183	113621	53022	25922	536583	92111	83595	56970	23174	8884	264734	88724	79588	56651	29848	17038	271849									
Haute-Marne	71177	57338	46655	24282	11738	211190	36637	30074	23555	11094	3993	105353	34540	27264	23100	13188	7745	105837									
Mayenne	90235	70001	61004	31876	14081	267197	46201	35380	30108	13903	4284	129876	44034	34621	30896	17973	9797	137321									
Meurthe-et-Moselle	235525	214377	164345	71995	32398	718640	119982	110425	81812	30983	10543	353745	115543	103952	82533	41012	21855	364895									
Meuse	66057	53830	45918	24093	11964	201862	34157	28112	23035	10620	4057	99981	31900	25718	22883	13473	7907	101881									
Morbihan	189978	149789	136271	73649	28842	578529	97691	77639	67145	31557	8907	282939	92287	72150	69126	42092	19935	295590									
Moselle	344382	298086	235740	91370	35442	1005020	176201	154649	119506	40214	12066	502636	168181	143437	116234	51156	23376	502384									
Nièvre	67904	59382	56534	37626	20841	242287	34939	30724	28227	17100	7356	118346	32965	28658	28307	20526	13485	123941									
Nord	877765	718680	556944	242242	114287	2509918	447852	366848	274512	101144	36466	1226822	429913	351832	282432	141098	77821	1283096									
Oise	221212	192312	133799	58464	29626	635413	113479	99833	68830	26214	10101	318457	107733	92479	64969	32250	19525	316956									
Orne	97529	77032	68404	35054	16465	294484	49842	39455	34013	15470	5132	143912	47687	37577	34391	19584	11333	150572									
Pas-de-Calais	491436	380831	320333	150681	62992	1406273	250911	194625	156144	63162	20040	684882	240525	186206	164189	87519	42952	721391									
Puy-de-Dôme	175362	171263	139672	68109	33343	587749	89479	88136	69806	30290	10859	288570	85883	83127	69866	37819	22484	299179									
Pyrénées-Atlantiques	159561	141372	131531	76351	37225	546040	81259	70767	64755	34031	12446	263258	78302	70605	66776	42320	24779	282782									
Hautes-Pyrénées	62684	58514	57588	33054	15369	227209	32283	29539	28337	15192	5180	110531	30401	28975	29251	17862	10189	116678									
Pyrénées-Orientales	85839	74551	80596	53528	23763	318277	44213	36633	38754	24764	8812	153176	41626	37918	41842	28764	14951	165101									
Bas-Rhin	285651	271905	201264	97609	42459	898888	145048	141209	98157	40314	14076	438804	140603	130696	103107	57295	28383	460084									
Haut-Rhin	204298	192334	148169	66347	31105	642253	104525	100326	73412	27078	9799	315140	99773	92008	74757	39269	21306	327113									
Rhône	450851	440000	331947	144379	68407	1435584	229761	222388	165125	60553	21089	698916	221090	217612	166822	83826	47318	736668									
Haute-Saône	74558	60619	49560	28638	13977	227352	38436	31669	24904	12689	4754	112452	36122	28950	24656	15949	9223	114900									
Saône-et-Loire	174666	148544	134409	74673	38450	570742	89661	76382	67268	33517	13194	280022	85005	72162	67141	41156	25256	290720									
Sarthe	167767	133953	109767	58613	28505	498605	86260	67927	54030	26268	9378	243863	81507	66026	55737	32345	19127	254742									
Savoie	98044	91942	73292	35140	16425	314843	50099	47539	36940	15915	5537	156030	47945	44403	36352	19225	10888	158813									
Haute-Savoie	151382	150907	104411	46016	19430	472146	77628	77222	52563	20469	6522	234404	73754	73685	51848	25547	12908	237742									
Paris	439780	771450	540973	315182	162144	2229529	220564	387131	252259	121771	48633	1030358	219216	384319	288714	193411	113511	1199171									
Seine-Maritime	395686	347835	261107	122603	55339	1182570	201828	176980	128836	53220	17513	578377	193858	170855	132271	69383	37826	604193									
Seine-et-Marne	280870	254083	176240	74734	38698	824625	143656	128546	90252	33296	13260	409010	137214	125537	85988	41438	25438	415615									
Yvelines	387132	369091	264582	81221	40822	1142848	198638	185816	135270	35617	12577	567918	188494	183275	129312	45604	28245	574930									
Deux-Sèvres	109143	87498	77737	43577	21927	339882	56148	44695	38940	20443	8062	168288	52995	42803	38797	23134	13865	171594									
Somme	184265	150222	116108	60828	30349	541772	93702	76436	57659	26989	10661	265447	90563	73786	58449	33839	19688	276325									
Tarn	94978	84025	86088	48308	25398	338797	49202	42228	42445	22266	9132	165273	45776	41797	43643	26042	16266	173524									
Tarn-et-Garonne	53478	47015	45642	27842	13389	187366	27452	23908	22485	13007	4861	91713	26026	23107	23157	14835	8528	95653									
Var	181865	180001	163236	101633	43143	669878	94089	92548	80095	46332	14675	327739	87776	87453	83141	55301	28468	342139									
Vaucluse	123308	116089	96470	50832	23239	409938	63355	59704	47816	22944	8128	201947	59953	56385	48654	27888	15111	207991									
Vendée	155858	122144	104120	58714	27370	468206	79880	62672	51652	26474	9188	229866	75978	59472	52468	32240	18182	238340									
Vienne	113041	99168	81234	47382	24158	364983	57394	50502	40506	22026	8753	179181	55647	48666	40728	25356	15405	185802									
Haute-Vienne	92148	93420	86611	53537	28396	354112	46964	47333	42809	24253	9871	171230	45184	46087	43802	29284	18525	182882									
Vosges	130039	107719	88860	47911	22119	396648	66618	55984	43791	20363	6963	193719	63421	51735	45069	27548	15156	202929									
Yonne	90545	78589	66900	45015	24583	305632	46593	41079	33769	20655	9045	151141	43952	37510	33131	24360	15538	154491									
Territoire de Belfort	42172	38961	29679	13173	6277	130262	21780	20390	15025	5571	2033	64799	20392	18571	14654	7602	4244	65463									
Essonne	328413	310183	217575	65349	35420	956940	168255	156291	111664	28664	11246	476120	160158	153892	105911	36685	24174	480820									
Hauts-de-Seine	369964	459291	363058	144987	70450	1407750	187582	233601	179838	60275	21431	682727	182382	225690	183220	84712	49019	725023									
Seine-Saint-Denis	416416	424368	320094	107828	50462	1319168	213164	217865	162493	46031	15827	655380	203252	206503	157601	61797	34635	663788									
Val-de-Marne	353155	387987	294807	107723	56992	1200664	179488	196700	145386	45544	17296	584414	173667	191287	149421	62179	39696	616250									
Val-d'Oise	298925	283181	202347	64682	33230	882365	152970	142653	102629	28118	10496	436866	145955	140528	99718	36564	22734	445499									
	16510923	15351260	12414968	6210532	2993390	53481073	8439834	7827545	6150728	2724454	990964	26133525	8071089	7523715	6264240	3486078	2002426	27347548									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
