	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	125921	116298	89428	44775	21921	398343	64606	60688	45971	20288	7598	199151	61315	55610	43457	24487	14323	199192									
Aisne	179522	146981	119771	57905	29217	533396	92192	75836	60042	25543	10355	263968	87330	71145	59729	32362	18862	269428									
Allier	103925	92349	92007	55921	29330	373532	53221	47133	45576	25293	10184	181407	50704	45216	46431	30628	19146	192125									
Alpes-de-Haute-Provence	32723	30387	27952	16590	8129	115781	17014	15660	14233	7902	2955	57764	15709	14727	13719	8688	5174	58017									
Hautes-Alpes	29245	28702	23940	13426	6351	101664	15216	14770	12263	6367	2274	50890	14029	13932	11677	7059	4077	50774									
Alpes-Maritimes	199772	219241	208259	147020	76315	850607	101844	109242	98779	62602	26992	399459	97928	109999	109480	84418	49323	451148									
Ardèche	77107	67712	62528	36598	18913	262858	39784	34805	31619	16404	6263	128875	37323	32907	30909	20194	12650	133983									
Ardennes	106238	82836	68674	32023	15581	305352	54409	43230	34573	14330	5358	151900	51829	39606	34101	17693	10223	153452									
Ariège	34478	31734	34272	23225	12826	136535	17717	16536	17122	11000	4913	67288	16761	15198	17150	12225	7913	69247									
Aube	89951	81362	63275	34487	18163	287238	46252	41865	31471	15467	6396	141451	43699	39497	31804	19020	11767	145787									
Aude	72202	65496	69645	45004	24231	276578	37617	33520	33931	20819	9048	134935	34585	31976	35714	24185	15183	141643									
Aveyron	76041	67587	68706	44231	21938	278503	38899	34810	34319	20519	7902	136449	37142	32777	34387	23712	14036	142054									
Bouches-du-Rhône	497491	491988	403472	198627	90570	1682148	254834	249123	200778	88342	29979	823056	242657	242865	202694	110285	60591	859092									
Calvados	197346	168494	124994	58775	26457	576066	100781	84906	61017	25250	7937	279891	96565	83588	63977	33525	18520	296175									
Cantal	48559	40964	39511	24121	11479	164634	24841	21590	20084	11076	4048	81639	23718	19374	19427	13045	7431	82995									
Charente	100608	88251	80744	46111	23625	339339	51361	44724	40170	21028	8195	165478	49247	43527	40574	25083	15430	173861									
Charente-Maritime	152152	129881	118917	70505	34541	505996	77935	65964	58407	32535	12154	246995	74217	63917	60510	37970	22387	259001									
Cher	93176	84037	73069	44846	22970	318098	47469	43701	36859	20331	8085	156445	45707	40336	36210	24515	14885	161653									
Corrèze	62439	59050	60443	39390	19849	241171	32141	30409	29818	18037	7055	117460	30298	28641	30625	21353	12794	123711									
Corse-du-Sud	27181	29976	25429	15647	6858	105091	13810	16811	13037	7229	2211	53098	13371	13165	12392	8418	4647	51993									
Haute-Corse	33157	37482	31370	18208	8497	128714	17169	22194	16413	8471	2953	67200	15988	15288	14957	9737	5544	61514									
Côte-d'Or	150045	137432	101190	50761	25947	465375	76047	69779	50286	22993	8836	227941	73998	67653	50904	27768	17111	237434									
Côtes-d'Armor	165004	132069	127946	75669	32191	532879	84968	68144	63040	32829	9686	258667	80036	63925	64906	42840	22505	274212									
Creuse	34369	30644	36148	26428	15225	142814	17589	16277	18334	12191	5414	69805	16780	14367	17814	14237	9811	73009									
Dordogne	99249	89150	95319	61551	30039	375308	51114	45278	47080	28759	10523	182754	48135	43872	48239	32792	19516	192554									
Doubs	164242	145248	101528	44032	18856	473906	83416	75111	51139	19410	6269	235345	80826	70137	50389	24622	12587	238561									
Drôme	117019	104570	86746	45492	22240	376067	60195	53074	43073	20510	7638	184490	56824	51496	43673	24982	14602	191577									
Eure	151150	128251	95728	46744	21800	443673	77211	65728	48459	21094	7248	219740	73939	62523	47269	25650	14552	223933									
Eure-et-Loir	114389	99567	75506	40697	19595	349754	58984	51152	38234	18921	7161	174452	55405	48415	37272	21776	12434	175302									
Finistère	252865	210571	194934	111965	46691	817026	129612	108854	94766	47874	15019	396125	123253	101717	100168	64091	31672	420901									
Gard	147215	137319	125584	68504	34191	512813	75615	69829	61770	31227	11444	249885	71600	67490	63814	37277	22747	262928									
Haute-Garonne	232252	243279	188341	93823	44911	802606	118360	121766	92001	42562	15586	390275	113892	121513	96340	51261	29325	412331									
Gers	46243	41844	45019	27762	14032	174900	23820	21468	22919	13441	5273	86921	22423	20376	22100	14321	8759	87979									
Gironde	321774	316123	255257	133573	70149	1096876	163855	157667	124226	58534	22409	526691	157919	158456	131031	75039	47740	570185									
Hérault	193087	187576	159011	92411	46368	678453	98215	93674	76669	41692	16122	326372	94872	93902	82342	50719	30246	352081									
Ille-et-Vilaine	243878	207939	162770	80049	33235	727871	124076	104321	79448	34177	9663	351685	119802	103618	83322	45872	23572	376186									
Indre	69331	60485	58117	37865	20106	245904	35476	31601	28984	17562	7271	120894	33855	28884	29133	20303	12835	125010									
Indre-et-Loire	157468	139079	108109	58777	30221	493654	79785	69798	53321	26771	10395	240070	77683	69281	54788	32006	19826	253584									
Isère	290953	275420	202794	89750	41740	900657	149118	140681	102482	39326	13580	445187	141835	134739	100312	50424	28160	455470									
Jura	75896	63739	55246	31019	14982	240882	38922	32950	27460	14101	5236	118669	36974	30789	27786	16918	9746	122213									
Landes	83308	73837	72060	42615	21407	293227	42873	37592	35916	19391	7248	143020	40435	36245	36144	23224	14159	150207									
Loir-et-Cher	88397	75546	65303	40297	21310	290853	45419	38716	32671	18517	7640	142963	42978	36830	32632	21780	13670	147890									
Loire	230865	203396	175484	87967	42588	740300	117793	103678	86587	38193	13182	359433	113072	99718	88897	49774	29406	380867									
Haute-Loire	59633	51297	49422	29514	15922	205788	30654	26826	24660	13192	5400	100732	28979	24471	24762	16322	10522	105056									
Loire-Atlantique	329155	275074	216711	99680	46632	967252	168626	137514	105539	42561	13560	467800	160529	137560	111172	57119	33072	499452									
Loiret	161451	150320	112904	59744	29525	513944	82293	76744	56415	27442	10595	253489	79158	73576	56489	32302	18930	260455									
Lot	40256	36781	37936	25168	12528	152669	20692	18793	18832	11692	4469	74478	19564	17988	19104	13476	8059	78191									
Lot-et-Garonne	82677	74701	73220	43641	21296	295535	42195	37699	36055	20466	7602	144017	40482	37002	37165	23175	13694	151518									
