	Ensemble						Hommes						Femmes																																																																	
Indre-et-Loire	138846	159062	132304	76505	39439	546156	70107	78475	65315	35399	14139	263435	68739	80587	66989	41106	25300	282721																																																												
Isère	293043	325416	263505	130313	55561	1067838	150194	164395	132204	60196	18961	525950	142849	161021	131301	70117	36600	541888																																																												
Jura	64562	68162	60963	38583	18599	250869	33138	34636	30919	17803	6776	123272	31424	33526	30044	20780	11823	127597																																																												
Landes	72517	83935	80694	57424	26670	321240	37569	42899	39969	26841	9352	156630	34948	41036	40725	30583	17318	164610																																																												
Loir-et-Cher	75754	82904	75588	51706	26638	312590	38768	41997	37984	24386	9780	152915	36986	40907	37604	27320	16858	159675																																																												
Loire	191659	200953	183086	111103	51869	738670	97920	100989	90985	49588	17239	356721	93739	99964	92101	61515	34630	381949																																																												
Haute-Loire	49843	54745	50602	35182	16523	206895	25718	28268	26044	16132	5608	101770	24125	26477	24558	19050	10915	105125																																																												
Loire-Atlantique	305389	324316	268535	144464	62316	1105020	155881	162526	132477	63893	20197	534974	149508	161790	136058	80571	42119	570046																																																												
Loiret	163125	175725	148475	81839	39167	608331	83160	88059	74655	37938	14490	298302	79965	87666	73820	43901	24677	310029																																																												
Lot	33516	38291	39286	31745	15525	158363	17232	19388	19653	14969	5789	77031	16284	18903	19633	16776	9736	81332																																																												
Lot-et-Garonne	70283	76087	75851	54755	27088	304064	36119	37893	37477	25431	10220	147140	34164	38194	38374	29324	16868	156924																																																												
Lozère	16404	19344	17985	12600	6700	73033	8475	10113	9484	6137	2486	36695	7929	9231	8501	6463	4214	36338																																																												
Maine-et-Loire	207538	209802	165756	95563	45665	724324	105982	104876	82252	43653	15881	352644	101556	104926	83504	51910	29784	371680																																																												
Manche	127374	130241	110979	78221	33452	480267	65573	66941	56011	35751	11087	235363	61801	63300	54968	42470	22365	244904																																																												
Marne	153899	175262	136087	68665	31631	565544	78423	87813	68203	31006	10671	276116	75476	87449	67884	37659	20960	289428																																																												
Haute-Marne	52105	54135	48146	30024	13865	198275	26962	27724	24580	13788	4890	97944	25143	26411	23566	16236	8975	100331																																																												
Mayenne	77029	78012	64987	42402	19946	282376	39859	40338	32282	19798	6825	139102	37170	37674	32705	22604	13121	143274																																																												
Meurthe-et-Moselle	190567	217861	172153	97476	39144	717201	97411	108814	85746	43465	12588	348024	93156	109047	86407	54011	26556	369177																																																												
Meuse	51809	53732	46067	30117	12897	194622	26755	27809	23445	13786	4341	96136	25054	25923	22622	16331	8556	98486																																																												
Morbihan	163669	172581	150668	102574	42550	632042	84038	88837	74963	46116	13950	307904	79631	83744	75705	56458	28600	324138																																																												
Moselle	274391	309504	250956	137965	47442	1020258	140942	156273	126747	63194	15585	502741	133449	153231	124209	74771	31857	517517																																																												
Nièvre	51308	56571	56656	42780	21253	228568	26312	28814	28498	19699	7344	110667	24996	27757	28158	23081	13909	117901																																																												
Nord	765609	769796	579926	315248	122152	2552731	391217	383453	287995	136809	37666	1237140	374392	386343	291931	178439	84486	1315591																																																												
Oise	225932	227623	189581	82569	35209	760914	116165	114143	97515	38274	12104	378201	109767	113480	92066	44295	23105	382713																																																												
Orne	76575	77770	70244	47779	21148	293516	39470	39772	35214	22182	7146	143784	37105	37998	35030	25597	14002	149732																																																												
Pas-de-Calais	425283	411585	329555	194970	77407	1438800	217719	207563	163692	84157	23920	697051	207564	204022	165863	110813	53487	741749																																																												
Puy-de-Dôme	142596	174997	155047	89231	38969	600840	72452	87783	77938	40067	13215	291455	70144	87214	77109	49164	25754	309385																																																												
Pyrénées-Atlantiques	137357	160732	145983	96485	48502	589059	70723	80636	71339	44040	16802	283540	66634	80096	74644	52445	31700	305519																																																												
Hautes-Pyrénées	48011	58320	57335	39920	19974	223560	24693	29572	28319	18300	7114	107998	23318	28748	29016	21620	12860	115562																																																												
Pyrénées-Orientales	86672	96916	90547	71508	35546	381189	44341	47583	43452	32942	13576	181894	42331	49333	47095	38566	21970	199295																																																												
Bas-Rhin	260551	323196	242298	124934	51576	1002555	132611	161728	123348	54971	15861	488519	127940	161468	118950	69963	35715	514036																																																												
Haut-Rhin	184347	211224	173584	92194	35435	696784	94529	106555	88817	41135	10822	341858	89818	104669	84767	51059	24613	354926																																																												
Rhône	416116	486148	376187	191566	86420	1556437	211137	239094	185115	85701	28032	749079	204979	247054	191072	105865	58388	807358																																																												
Haute-Saône	60571	62048	56788	33889	15808	229104	31272	31896	29177	15633	5545	113523	29299	30152	27611	18256	10263	115581																																																												
Saône-et-Loire	133446	143745	138167	91901	44296	551555	68648	73202	69501	42232	15438	269021	64798	70543	68666	49669	28858	282534																																																												
Sarthe	136976	147987	124478	77067	37467	523975	70142	74953	62210	35678	13459	256442	66834	73034	62268	41389	24008	267533																																																												
Savoie	93648	107806	90771	49581	22181	363987	48067	54707	45801	22642	7697	178914	45581	53099	44970	26939	14484	185073																																																												
Haute-Savoie	167522	188364	156976	70546	30059	613467	86249	95078	79424	32177	10391	303319	81273	93286	77552	38369	19668	310148																																																												
Paris	408506	769263	530103	254569	154071	2116512	205334	372605	255257	106718	49101	989015	203172	396658	274846	147851	104970	1127497																																																												
Seine-Maritime	346446	366963	296662	157809	72057	1239937	176743	182244	147649	70007	23699	600342	169703	184719	149013	87802	48358	639595																																																												
Seine-et-Marne	356112	356477	298681	108500	50057	1169827	182590	175837	151937	50216	17050	577630	173522	180640	146744	58284	33007	592197																																																												
Yvelines	394621	406286	358956	135094	55582	1350539	202148	200895	179649	62923	18519	664134	192473	205391	179307	72171	37063	686405																																																												
Deux-Sèvres	85535	92834	83773	55667	27446	345255	44099	47325	42174	26453	10461	170512	41436	45509	41599	29214	16985	174743																																																												
Somme	150949	164199	129511	75178	33201	553038	76751	82197	64913	34196	11463	269520	74198	82002	64598	40982	21738	283518																																																												
Tarn	78774	86239	84554	61852	30521	341940	40690	43453	41706	28949	11336	166134	38084	42786	42848	32903	19185	175806																																																												
Tarn-et-Garonne	48416	53678	50493	34864	17191	204642	24822	27168	25266	16366	6520	100142	23594	26510	25227	18498	10671	104500																																																												
Var	207573	225883	216259	150558	71232	871505	106623	112107	105776	69936	26110	420552	100950	113776	110483	80622	45122	450953																																																												
Vaucluse	128336	134630	122483	71122	32759	489330	65921	66387	60970	32696	11795	237769	62415	68243	61513	38426	20964	251561																																																												
Vendée	136996	142156	124661	86753	37778	528344	70363	72954	62798	40556	13546	260217	66633	69202	61863	46197	24232	268127																																																												
Vienne	96234	115348	93279	58843	30141	393845	48869	57323	46526	27811	11147	191676	47365	58025	46753	31032	18994	202169																																																												
Haute-Vienne	75961	96929	89134	60547	31844	354415	38833	48117	44356	27526	11434	170266	37128	48812	44778	33021	20410	184149																																																												
Vosges	101722	104926	93594	57050	26409	383701	52223	53574	47379	25484	8566	187226	49499	51352	46215	31566	17843	196475																																																												
Yonne	84049	85922	80029	53276	27454	330730	43390	43478	41045	24679	9756	162348	40659	42444	38984	28597	17698	168382																																																												
Territoire de Belfort	36808	41106	33694	17783	7584	136975	19048	21427	17065	8027	2448	68015	17760	19679	16629	9756	5136	68960																																																												
Essonne	321147	357258	295496	112024	45474	1131399	164026	179491	147723	52247	14911	558398	157121	177767	147773	59777	30563	573001																																																												
Hauts-de-Seine	341177	471371	346780	166828	80793	1406949	173276	229659	170782	72770	25945	672432	167901	241712	175998	94058	54848	734517																																																												
Seine-Saint-Denis	403631	450315	340132	140672	54918	1389668	205766	220078	174275	63331	18050	681500	197865	230237	165857	77341	36868	708168																																																												
Val-de-Marne	313126	398923	306579	139364	63153	1221145	159385	196543	152226	61246	20440	589840	153741	202380	154353	78118	42713	631305																																																												
Val-d'Oise	336255	341086	276898	102178	41392	1097809	172000	166868	139543	46588	13434	538433	164255	174218	137355	55590	27958	559376																																																												
	15058227	16973323	14187229	8014488	3702692	57935959	7700740	8472818	7076216	3635412	1270265	28155451	7357487	8500505	7111013	4379076	2432427	29780508																																																												
Guadeloupe	127813	119533	77613	32538	14376	371873	64843	57700	36870	14853	5604	179870	62970	61833	40743	17685	8772	192003																																																												
Martinique	118918	116498	79583	38582	17237	370818	60227	55543	37164	17535	6529	176998	58691	60955	42419	21047	10708	193820																																																												
Guyane	62084	45508	24461	5757	2038	139848	31473	22919	12986	2926	853	71157	30611	22589	11475	2831	1185	68691																																																												
La Réunion	259835	222506	127120	44470	14984	668915	131718	109075	62961	20198	5006	328958	128117	113431	64159	24272	9978	339957																																																												
	568650	504045	308777	121347	48635	1551454	288261	245237	149981	55512	17992	756983	280389	258808	158796	65835	30643	794471																																																												
	15626877	17477368	14496006	8135835	3751327	59487413	7989001	8718055	7226197	3690924	1288257	28912434	7637876	8759313	7269809	4444911	2463070	30574979																																																												
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
