	Ensemble						Hommes						Femmes																																																																	
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																												
Ain	140095	144245	125299	61208	28463	499310	71738	73035	64290	28893	10105	248061	68357	71210	61009	32315	18358	251249																																																												
Aisne	151540	151033	127658	76725	31061	538017	77599	76298	64714	34698	10491	263800	73941	74735	62944	42027	20570	274217																																																												
Allier	75992	89074	87762	64302	32246	349376	38976	45092	43610	29088	11326	168092	37016	43982	44152	35214	20920	181284																																																												
Alpes-de-Haute-Provence	32618	35833	34802	23191	11009	137453	16814	17930	17538	11064	4160	67506	15804	17903	17264	12127	6849	69947																																																												
Hautes-Alpes	29530	32522	29427	18116	8931	118526	15255	16387	14826	8655	3311	58434	14275	16135	14601	9461	5620	60092																																																												
Alpes-Maritimes	219343	262644	248048	169788	100331	1000154	112275	127440	118814	75241	35308	469078	107068	135204	129234	94547	65023	531076																																																												
Ardèche	68330	74130	70796	46717	22865	282838	35118	37793	35782	22016	7953	138662	33212	36337	35014	24701	14912	144176																																																												
Ardennes	81984	82415	69855	42050	16518	292822	42158	41816	35460	19141	5567	144142	39826	40599	34395	22909	10951	148680																																																												
Ariège	29462	33831	33302	25895	13729	136219	15233	17140	16961	12232	5299	66865	14229	16691	16341	13663	8430	69354																																																												
Aube	76436	82116	72121	41289	20419	292381	39222	41577	36325	18715	7247	143086	37214	40539	35796	22574	13172	149295																																																												
Aude	68516	77693	73386	56372	28563	304530	35338	39572	36301	26301	10844	148356	33178	38121	37085	30071	17719	156174																																																												
Aveyron	57368	65889	65178	50694	26363	265492	29664	34093	32977	23928	9781	130443	27704	31796	32201	26766	16582	135049																																																												
Bouches-du-Rhône	458545	525159	457394	250100	118028	1809226	234902	257031	224910	113606	41824	872273	223643	268128	232484	136494	76204	936953																																																												
Calvados	175865	187880	151785	85222	36917	637669	89235	93348	75184	38020	11897	307684	86630	94532	76601	47202	25020	329985																																																												
Cantal	33341	40037	38356	28282	13761	153777	17160	20669	19718	13210	4966	75723	16181	19368	18638	15072	8795	78054																																																												
Charente	80391	90575	84641	56731	28448	340786	41234	45716	42219	26438	10231	165838	39157	44859	42422	30293	18217	174948																																																												
Charente-Maritime	126620	139189	134432	97275	46319	543835	65008	69846	66042	45311	17148	263355	61612	69343	68390	51964	29171	280480																																																												
Cher	74585	84707	79497	52087	26037	316913	38184	42995	40320	24266	9139	154904	36401	41712	39177	27821	16898	162009																																																												
Corrèze	48326	58884	58338	45472	23521	234541	24917	30333	29214	20711	8513	113688	23409	28551	29124	24761	15008	120853																																																												
Corse-du-Sud	28420	32170	30521	19184	8870	119165	14744	15661	15599	8936	3136	58076	13676	16509	14922	10248	5734	61089																																																												
Haute-Corse	31913	39462	35774	22130	10724	140003	16313	19784	18795	10278	3852	69022	15600	19678	16979	11852	6872	70981																																																												
Côte-d'Or	131540	151953	122027	65967	32535	504022	66449	75117	61104	30035	11420	244125	65091	76836	60923	35932	21115	259897																																																												
Côtes-d'Armor	130513	134540	131389	97281	43133	536856	66920	69156	65659	43686	14130	259551	63593	65384	65730	53595	29003	277305																																																												
Creuse	24063	29812	30170	27400	14914	126359	12409	15463	15603	12846	5325	61646	11654	14349	14567	14554	9589	64713																																																												
Dordogne	82266	94544	96286	75907	37682	386685	42298	47642	47721	35476	13989	187126	39968	46902	48565	40431	23693	199559																																																												
Doubs	136873	149379	121454	62546	26596	496848	69840	75048	61022	28705	9147	243762	67033	74331	60432	33841	17449	253086																																																												
Drôme	113793	116757	107114	62313	29234	429211	58459	58575	53274	28906	10494	209708	55334	58182	53840	33407	18740	219503																																																												
Eure	153611	153948	131151	66472	29331	534513	78903	77316	66778	30784	10032	263813	74708	76632	64373	35688	19299	270700																																																												
Eure-et-Loir	114577	113344	99515	53549	25976	406961	58660	56826	50809	24997	9564	200856	55917	56518	48706	28552	16412	206105																																																												
Finistère	211282	234293	200457	135871	62213	844116	108541	121201	100277	59269	19929	409217	102741	113092	100180	76602	42284	434899																																																												
Gard	152756	164142	152839	94864	44371	608972	78102	81703	75786	43920	16277	295788	74654	82439	77053	50944	28094	313184																																																												
Haute-Garonne	242538	331514	243135	125956	61023	1004166	123545	164860	119541	57302	22176	487424	118993	166654	123594	68654	38847	516742																																																												
Gers	35566	42341	43811	33646	17196	172560	18416	21500	22049	16408	6685	85058	17150	20841	21762	17238	10511	87502																																																												
Gironde	311754	380110	312133	174050	85380	1263427	158823	186890	153254	78291	29137	606395	152931	193220	158879	95759	56243	657032																																																												
Hérault	211027	251193	206474	130540	62447	861681	107450	121992	100019	59836	23114	412411	103577	129201	106455	70704	39333	449270																																																												
Ille-et-Vilaine	227902	259506	194910	110447	47885	840650	116059	130138	96801	49608	15745	408351	111843	129368	98109	60839	32140	432299																																																												
Indre	50730	59769	57445	42924	22507	233375	25906	30510	29155	19961	8285	113817	24824	29259	28290	22963	14222	119558																																																												
