	Ensemble						Hommes						Femmes												
Creuse	26581	31678	29926	25412	16957	130554	13728	16598	15250	12070	6101	63747	12853	15080	14676	13342	10856	66807							
Dordogne	88205	99278	91089	69707	38860	387139	45433	50077	44980	32788	14463	187741	42772	49201	46109	36919	24397	199398							
Doubs	143426	150444	112608	54015	26014	486507	73282	75726	57068	24565	9071	239712	70144	74718	55540	29450	16943	246795							
Drôme	115938	118282	98374	55250	29175	417019	59498	59497	49056	25581	10352	203984	56440	58785	49318	29669	18823	213035							
Eure	158686	156741	115562	58060	28429	517478	81479	79043	59015	27055	9751	256343	77207	77698	56547	31005	18678	261135							
Eure-et-Loir	120085	116022	88397	47948	26123	398575	61510	58064	45409	22402	9810	197195	58575	57958	42988	25546	16313	201380							
Finistère	224457	238220	188461	123988	63275	838401	115194	123161	93107	54113	20739	406314	109263	115059	95354	69875	42536	432087							
Gard	152875	167316	138987	85721	43846	588745	78324	84169	69022	39711	15692	286918	74551	83147	69965	46010	28154	301827							
Haute-Garonne	236343	313232	217498	111380	60424	938877	120141	156293	106859	50624	21775	455692	116202	156939	110639	60756	38649	483185							
Gers	38381	45549	42110	30458	18401	174899	19852	23289	21155	14908	7306	86510	18529	22260	20955	15550	11095	88389							
Gironde	320794	377728	281181	158594	85660	1223957	163526	186290	138444	71396	28549	588205	157268	191438	142737	87198	57111	635752							
Hérault	204580	239925	184093	116567	60722	805887	104211	116908	89613	53571	22295	386598	100369	123017	94480	62996	38427	419289							
Ille-et-Vilaine	234557	249800	176459	97389	46924	805129	119513	125302	87032	43711	15227	390785	115044	124498	89427	53678	31697	414344							
Indre	55664	62978	55293	38716	24458	237109	28502	32269	27819	18111	9087	115788	27162	30709	27474	20605	15371	121321							
Indre-et-Loire	144865	158668	120243	68070	39798	531644	73274	78337	59551	31479	14396	257037	71591	80331	60692	36591	25402	274607							
Isère	296945	320035	238845	113343	55400	1024568	152398	161537	120648	51983	18482	505048	144547	158498	118197	61360	36918	519520							
Jura	68331	69613	57093	35126	19267	249430	35068	35511	28866	16249	7064	122758	33263	34102	28227	18877	12203	126672							
Landes	75628	85036	74504	50463	27656	313287	39063	43557	36990	23791	9664	153065	36565	41479	37514	26672	17992	160222							
Loir-et-Cher	80058	84388	69774	45559	27438	307217	40893	42924	35083	21542	10138	150580	39165	41464	34691	24017	17300	156637							
Loire	207202	207973	175768	100367	53562	744872	106174	104083	87465	45136	17541	360399	101028	103890	88303	55231	36021	384473							
Haute-Loire	52925	56107	47906	31717	17957	206612	27264	29224	24434	14627	6210	101759	25661	26883	23472	17090	11747	104853							
Loire-Atlantique	315527	315604	240197	125468	62170	1058966	160898	158247	118236	55400	20036	512817	154629	157357	121961	70068	42134	546149							
Loiret	166619	174542	133319	71754	39354	585588	84767	87727	67309	33183	14626	287612	81852	86815	66010	38571	24728	297976							
Lot	35208	39572	36864	28343	16275	156262	18155	20118	18308	13464	6014	76059	17053	19454	18556	14879	10261	80203							
Lot-et-Garonne	75261	80261	72203	50094	27651	305470	38649	40096	35651	23575	10358	148329	36612	40165	36552	26519	17293	157141							
Lozère	17634	19654	16582	11534	7246	72650	9046	10372	8686	5643	2642	36389	8588	9282	7896	5891	4604	36261							
Maine-et-Loire	220106	207988	149456	83155	46315	707020	112442	103891	73537	38033	16333	344236	107664	104097	75919	45122	29982	362784							
Manche	136342	135783	105216	69928	32551	479820	69950	70477	52312	32045	10428	235212	66392	65306	52904	37883	22123	244608							
Marne	164089	177196	124388	60903	32430	559006	83745	88689	62768	27376	11028	273606	80344	88507	61620	33527	21402	285400							
Haute-Marne	57986	58023	45662	27017	14645	203333	29941	29700	23384	12460	5178	100663	28045	28323	22278	14557	9467	102670							
Mayenne	82250	78219	60621	37031	20134	278255	42272	40165	30065	17167	6854	136523	39978	38054	30556	19864	13280	141732							
Meurthe-et-Moselle	201243	222875	161503	85108	41029	711758	102741	111671	80587	37824	13288	346111	98502	111204	80916	47284	27741	365647							
Meuse	56235	56045	42904	26862	13997	196043	29110	28901	21753	12276	4738	96778	27125	27144	21151	14586	9259	99265							
Morbihan	175202	175602	139733	89330	41873	621740	90222	90553	69204	40085	13595	303659	84980	85049	70529	49245	28278	318081							
Moselle	290921	320928	233501	118871	47627	1011848	149717	162014	118663	53800	15713	499907	141204	158914	114838	65071	31914	511941							
Nièvre	55943	60613	53701	38948	23466	232671	28731	30929	26990	17826	8425	112901	27212	29684	26711	21122	15041	119770							
Nord	806251	774150	537914	281197	132112	2531624	412297	386302	266905	123144	40797	1229445	393954	387848	271009	158053	91315	1302179							
Oise	230810	228035	166470	71757	35204	732276	118446	114491	86553	33164	11932	364586	112364	113544	79917	38593	23272	367690							
Orne	82527	80824	66199	42266	21345	293161	42323	41297	33010	19616	7252	143498	40204	39527	33189	22650	14093	149663							
Pas-de-Calais	452947	420269	304498	178065	77990	1433769	231535	212179	149916	77534	24090	695254	221412	208090	154582	100531	53900	738515							
Puy-de-Dôme	154176	179154	144340	79832	40866	598368	78503	89934	72621	36145	13697	290900	75673	89220	71719	43687	27169	307468							
Pyrénées-Atlantiques	143355	163942	137226	86264	49868	580655	73383	82373	67024	39268	17286	279334	69972	81569	70202	46996	32582	301321							
Hautes-Pyrénées	51387	61990	55135	36213	20301	225026	26483	31550	27184	16730	7169	109116	24904	30440	27951	19483	13132	115910							
Pyrénées-Orientales	86689	95731	85035	65730	34440	367625	44323	47473	40536	30372	13182	175886	42366	48258	44499	35358	21258	191739							
Bas-Rhin	261175	319002	218099	107742	54302	960320	132550	160212	111278	45816	17028	466884	128625	158790	106821	61926	37274	493436							
Haut-Rhin	187500	213809	157580	78461	37760	675110	96087	108307	80949	34172	11438	330953	91413	105502	76631	44289	26322	344157							
Rhône	422033	479237	358323	170024	87812	1517429	214626	235829	178235	75879	27959	732528	207407	243408	180088	94145	59853	784901							
Haute-Saône	65662	63426	52375	30536	16929	228928	33990	32622	26942	13974	6018	113546	31672	30804	25433	16562	10911	115382							
Saône-et-Loire	146324	151700	130998	83071	46318	558411	75219	77305	65700	38364	16142	272730	71105	74395	65298	44707	30176	285681							
Sarthe	145451	148637	114481	68287	37754	514610	74365	75334	57132	31590	13355	251776	71086	73303	57349	36697	24399	262834							
Savoie	95616	107729	82672	43351	22288	351656	49024	54973	41753	19790	7695	173235	46592	52756	40919	23561	14593	178421							
Haute-Savoie	164707	185778	138089	60580	28680	577834	84624	93901	70497	27579	9953	286554	80083	91877	67592	33001	18727	291280							
Paris	423595	773569	522330	255775	170643	2145912	213405	374005	253398	103848	54172	998828	210190	399564	268932	151927	116471	1147084							
Seine-Maritime	363788	376566	272758	142066	71841	1227019	185636	187479	135615	63287	23465	595482	178152	189087	137143	78779	48376	631537							
Seine-et-Marne	351007	345835	256415	92338	49640	1095235	180328	170714	132159	42565	16820	542586	170679	175121	124256	49773	32820	552649							
Yvelines	403268	409424	334972	112894	54367	1314925	206670	202226	170123	52140	17587	648746	196598	207198	164849	60754	36780	666179							
Deux-Sèvres	93443	96313	78130	49374	28541	345801	48136	49086	39192	23470	11188	171072	45307	47227	38938	25904	17353	174729							
Somme	161669	165076	118736	68334	34312	548127	82360	82811	59243	31293	11953	267660	79309	82265	59493	37041	22359	280467							
Tarn	83628	90688	80975	55018	32236	342545	43080	45984	39879	25851	11974	166768	40548	44704	41096	29167	20262	175777							
Tarn-et-Garonne	49899	55751	46589	31560	17814	201613	25590	28377	23247	14870	6803	98887	24309	27374	23342	16690	11011	102726							
Var	203959	224022	197478	133957	66397	825813	105115	111962	97193	61906	24115	400291	98844	112060	100285	72051	42282	425522							
Vaucluse	127780	135645	113054	63414	32358	472251	65727	67640	56290	29278	11482	230417	62053	68005	56764	34136	20876	241834							
Vendée	145798	143179	112175	73730	37867	512749	74981	73523	56240	34466	13555	252765	70817	69656	55935	39264	24312	259984							
Vienne	100638	113062	84217	52381	31563	381861	51559	56303	42244	24733	11899	186738	49079	56759	41973	27648	19664	195123							
Haute-Vienne	81240	98698	84358	55106	34416	353818	41514	49142	42018	25245	12413	170332	39726	49556	42340	29861	22003	183486							
Vosges	109474	109560	87683	50585	27763	385065	56191	55939	44260	22432	9030	187852	53283	53621	43423	28153	18733	197213							
Yonne	87738	87822	71799	48381	28883	324623	45166	44911	36779	22476	10536	159868	42572	42911	35020	25905	18347	164755							
Territoire de Belfort	38170	41581	31396	15453	7839	134439	19656	21584	16096	6945	2549	66830	18514	19997	15300	8508	5290	67609							
Essonne	324637	354883	277726	90944	45468	1093658	165927	178774	140503	41801	14741	541746	158710	176109	137223	49143	30727	551912							
Hauts-de-Seine	342612	468605	341542	156432	83178	1392369	174127	228872	170270	67595	25908	666772	168485	239733	171272	88837	57270	725597							
Seine-Saint-Denis	409412	465780	323497	125481	56783	1380953	209111	229069	167693	55760	17927	679560	200301	236711	155804	69721	38856	701393							
Val-de-Marne	319859	406416	297203	126284	65392	1215154	162704	201872	148585	55096	20424	588681	157155	204544	148618	71188	44968	626473							
Val-d'Oise	335561	343914	249832	87014	41029	1057350	171545	168796	127366	39436	12900	520043	164016	175118	122466	47578	28129	537307							
	15605455	17126616	13153847	7169783	3784960	56840661	7981366	8572187	6576222	3244929	1293652	27668356	7624089	8554429	6577625	3924854	2491308	29172305							
Guadeloupe	131360	117177	65557	28906	11536	354536	66568	57310	31459	13232	4411	172980	64792	59867	34098	15674	7125	181556							
Martinique	123739	117598	69715	34358	14364	359774	62918	56864	32783	15659	5355	173579	60821	60734	36932	18699	9009	186195							
Guyane	51818	40435	18643	4839	1592	117327	26254	21290	10177	2435	686	60842	25564	19145	8466	2404	906	56485							
La Réunion	250553	204208	103252	38039	11785	607837	126682	100380	51157	17029	3860	299108	123871	103828	52095	21010	7925	308729							
	557470	479418	257167	106142	39277	1439474	282422	235844	125576	48355	14312	706509	275048	243574	131591	57787	24965	732965							
	16162925	17606034	13411014	7275925	3824237	58280135	8263788	8808031	6701798	3293284	1307964	28374865	7899137	8798003	6709216	3982641	2516273	29905270							
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
