	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	140309	142927	111129	53693	28924	476982	71829	72802	57548	25276	10204	237659	68480	70125	53581	28417	18720	239323							
Aisne	160712	157963	117180	68649	32759	537263	82202	80147	59146	31368	11185	264048	78510	77816	58034	37281	21574	273215							
Allier	84007	94170	84949	58746	34560	356432	42913	47760	42103	26897	12287	171960	41094	46410	42846	31849	22273	184472							
Alpes-de-Haute-Provence	32083	36450	31894	20414	11016	131857	16426	18518	15993	9747	4218	64902	15657	17932	15901	10667	6798	66955							
Hautes-Alpes	29692	33162	26413	16313	8613	114193	15433	16846	13373	7804	3196	56652	14259	16316	13040	8509	5417	57541							
Alpes-Maritimes	216365	264571	236217	161373	102805	981331	110791	129140	113633	70813	36649	461026	105574	135431	122584	90560	66156	520305							
Ardèche	71479	75649	65552	42143	23865	278688	36775	38621	33174	19814	8311	136695	34704	37028	32378	22329	15554	141993							
Ardennes	88867	86103	65979	36601	18126	295676	45366	43759	33621	16668	6095	145509	43501	42344	32358	19933	12031	150167							
Ariège	30847	35553	31297	24071	15004	136772	15892	18189	15806	11476	5875	67238	14955	17364	15491	12595	9129	69534							
Aube	80628	84408	66608	37320	21154	290118	41373	42724	33636	16973	7432	142138	39255	41684	32972	20347	13722	147980							
Aude	70040	80107	68972	51696	29800	300615	36306	41418	33891	24457	11369	147441	33734	38689	35081	27239	18431	153174							
Aveyron	62699	69079	63459	45404	28473	269114	32240	35770	31765	21558	10793	132126	30459	33309	31694	23846	17680	136988							
Bouches-du-Rhône	467311	526586	428542	229833	115782	1768054	239294	258966	212367	104465	40146	855238	228017	267620	216175	125368	75636	912816							
Calvados	184409	190914	135436	75093	35928	621780	93812	94971	66307	33708	11422	300220	90597	95943	69129	41385	24506	321560							
Cantal	38519	42940	36772	25511	14563	158305	19682	22358	18684	11913	5318	77955	18837	20582	18088	13598	9245	80350							
Charente	87221	95445	79394	50547	29637	342244	44774	48104	39443	23631	10754	166706	42447	47341	39951	26916	18883	175538							
Charente-Maritime	133815	141337	123010	85998	46472	530632	68668	70891	60548	40053	17389	257549	65147	70446	62462	45945	29083	273083							
Cher	81358	89520	75894	46916	27586	321274	41548	45621	38523	21732	9792	157216	39810	43899	37371	25184	17794	164058							
Corrèze	52994	62092	55829	41818	24777	237510	27268	31784	27884	19189	9048	115173	25726	30308	27945	22629	15729	122337							
Corse-du-Sud	29324	33976	28734	18087	8742	118863	15177	16952	14863	8375	3051	58418	14147	17024	13871	9712	5691	60445							
Haute-Corse	31450	38918	32231	19947	10250	132796	15977	20091	17026	9179	3760	66033	15473	18827	15205	10768	6490	66763							
Côte-d'Or	138601	153261	111705	58833	33131	495531	70060	76112	56162	26828	11663	240825	68541	77149	55543	32005	21468	254706							
Côtes-d'Armor	141848	139765	124331	88684	43585	538213	72541	72083	61779	39805	14292	260500	69307	67682	62552	48879	29293	277713							
