	Ensemble						Hommes						Femmes																																																																																			
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																																																														
Val-de-Marne	321688	408128	295092	121746	66792	1213446	163732	202849	147677	52893	20856	588007	157956	205279	147415	68853	45936	625439																																																																														
Val-d'Oise	334679	344988	243448	82908	41530	1047553	171094	169398	124378	37476	13135	515481	163585	175590	119070	45432	28395	532072																																																																														
	15719647	17153178	12940589	6925168	3838418	56577000	8039675	8591227	6464716	3130994	1317388	27544000	7679972	8561951	6475873	3794174	2521030	29033000																																																																														
Guadeloupe	132209	116927	63409	28247	11052	351844	66984	57330	30489	12937	4213	171953	65225	59597	32920	15310	6839	179891																																																																														
Martinique	124866	118174	67925	33582	13859	358406	63543	57306	31984	15314	5151	173298	61323	60868	35941	18268	8708	185108																																																																														
Guyane	49987	39505	17666	4676	1517	113351	25325	20988	9700	2351	659	59023	24662	18517	7966	2325	858	54328																																																																														
La Réunion (*)	238712	204727	103001	38781	12607	597828	120615	100872	51075	17469	4225	294256	118097	103855	51926	21312	8382	303572																																																																														
	545774	479333	252001	105286	39035	1421429	276467	236496	123248	48071	14248	698530	269307	242837	128753	57215	24787	722899																																																																														
	16265421	17632511	13192590	7030454	3877453	57998429	8316142	8827723	6587964	3179065	1331636	28242530	7949279	8804788	6604626	3851389	2545817	29755899																																																																														
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
