	Ensemble						Hommes						Femmes														
Indre	64077	64140	55999	36977	22194	243387	33009	33159	27925	17075	8237	119405	31068	30981	28074	19902	13957	123982									
Indre-et-Loire	157289	150249	108230	60482	33884	510134	78857	74986	53489	27619	12042	246993	78432	75263	54741	32863	21842	263141									
Isère	299792	296401	207825	94882	46871	945771	153853	150744	104605	42532	15281	467015	145939	145657	103220	52350	31590	478756									
Jura	73133	68362	53932	31225	16901	243553	37660	35129	26944	14186	6077	119996	35473	33233	26988	17039	10824	123557									
Landes	79348	80870	71488	43482	23872	299060	41167	40923	35552	19873	8235	145750	38181	39947	35936	23609	15637	153310									
Loir-et-Cher	85526	82627	65079	40553	23963	297748	43935	42089	32704	18558	8857	146143	41591	40538	32375	21995	15106	151605									
Loire	225938	211673	169297	89842	46496	743246	115544	106852	83491	39744	14602	360233	110394	104821	85806	50098	31894	383013									
Haute-Loire	56877	55021	47939	29162	17133	206132	29450	28701	24004	13095	5919	101169	27427	26320	23935	16067	11214	104963									
Loire-Atlantique	330472	301478	214632	106975	51340	1004897	169075	151219	104534	46240	15499	486567	161397	150259	110098	60735	35841	518330									
Loiret	165892	165755	114764	61516	33326	541253	84428	84373	57556	28095	12389	266841	81464	81382	57208	33421	20937	274412									
Lot	38092	39729	37542	25864	14066	155293	19717	20340	18542	12041	5132	75772	18375	19389	19000	13823	8934	79521									
Lot-et-Garonne	79604	79402	71918	45411	23961	300296	40924	39790	35311	21263	8789	146077	38680	39612	36607	24148	15172	154219									
Lozère	19810	20316	16618	11329	6575	74648	10189	10737	8617	5292	2410	37245	9621	9579	8001	6037	4165	37403									
Maine-et-Loire	235363	196500	137915	72114	39347	681239	120110	98364	67344	32124	13522	331464	115253	98136	70571	39990	25825	349775									
Manche	143596	129486	106553	60804	27733	468172	73769	66646	52243	26903	8302	227863	69827	62840	54310	33901	19431	240309									
Marne	178547	174052	111313	53869	28402	546183	90834	88174	55959	23721	9716	268404	87713	85878	55354	30148	18686	277779									
Haute-Marne	66770	60406	45710	25029	13099	211014	34606	31146	23172	11391	4577	104892	32164	29260	22538	13638	8522	106122									
Mayenne	87636	76412	59153	32949	16330	272480	45045	38880	29106	14588	5208	132827	42591	37532	30047	18361	11122	139653									
Meurthe-et-Moselle	227824	225563	157128	72942	35573	719030	115940	115139	78143	31622	11497	352341	111884	110424	78985	41320	24076	366689									
Meuse	61573	57373	43676	23825	13034	199481	32230	29763	21880	10553	4445	98871	29343	27610	21796	13272	8589	100610									
Morbihan	184237	165762	134169	77057	33180	594405	95278	85029	66120	33464	10461	290352	88959	80733	68049	43593	22719	304053									
Moselle	321244	316345	233006	96458	39655	1006708	165218	162688	118443	42272	13123	501744	156026	153657	114563	54186	26532	504964									
Nièvre	62315	63154	54481	36441	22658	239049	32233	32368	27226	16560	8110	116497	30082	30786	27255	19881	14548	122552									
Nord	865041	772263	522928	250302	122353	2532887	442614	390270	257644	106142	38937	1235607	422427	381993	265284	144160	83416	1297280									
Oise	226268	214160	137581	60384	32119	670512	116158	110318	71057	27275	11066	335874	110110	103842	66524	33109	21053	334638									
Orne	92208	82930	66610	36548	18719	297015	47658	42197	32950	16419	6082	145306	44550	40733	33660	20129	12637	151709									
Pas-de-Calais	474890	414909	303636	156815	69912	1420162	243131	210451	147464	66384	22323	689753	231759	204458	156172	90431	47589	730409									
Puy-de-Dôme	173296	180722	135123	70452	36293	595886	88053	92250	67400	31708	12059	291470	85243	88472	67723	38744	24234	304416									
Pyrénées-Atlantiques	154780	154235	131214	77235	42046	559510	79059	76886	64254	34599	14350	269148	75721	77349	66960	42636	27696	290362									
Hautes-Pyrénées	58896	61606	56355	34036	17493	228386	30712	31172	27569	15587	6122	111162	28184	30434	28786	18449	11371	117224									
Pyrénées-Orientales	85525	84540	81583	57994	28184	337826	44002	41623	38969	26703	10615	161912	41523	42917	42614	31291	17569	175914									
Bas-Rhin	283533	291168	201763	95983	47939	920386	143413	149203	100506	38893	15652	447667	140120	141965	101257	57090	32287	472719									
Haut-Rhin	197652	205627	148751	65897	34848	652775	101617	106483	74771	26993	10790	320654	96035	99144	73980	38904	24058	332121									
Rhône	447920	457675	323437	147358	74139	1450529	227204	229769	161273	63846	22849	704941	220716	227906	162164	83512	51290	745588									
Haute-Saône	71918	65024	50128	29113	15913	232096	37208	33840	25428	12930	5493	114899	34710	31184	24700	16183	10420	117197									
Saône-et-Loire	164900	156544	130888	75827	42315	570474	85247	80257	65403	34263	14729	279899	79653	76287	65485	41564	27586	290575									
Sarthe	160023	145102	108041	60375	32179	505720	82462	73639	53250	27295	11008	247654	77561	71463	54791	33080	21171	258066									
Savoie	97966	100223	73894	36687	18262	327032	49877	51499	37381	16434	6249	161440	48089	48724	36513	20253	12013	165592									
Haute-Savoie	155810	167990	109153	48996	22155	504104	80301	85501	55347	21906	7511	250566	75509	82489	53806	27090	14644	253538									
Paris	454614	765357	496877	293021	168408	2178277	227325	381282	236135	114694	51830	1011266	227289	384075	260742	178327	116578	1167011									
Seine-Maritime	384990	371927	251909	126552	61998	1197376	196433	187679	124061	55634	19919	583726	188557	184248	127848	70918	42079	613650									
Seine-et-Marne	302775	295175	188099	75670	42652	904371	155212	147428	96891	33833	14792	448156	147563	147747	91208	41837	27860	456215									
Yvelines	396456	396258	278794	89097	45858	1206463	203994	197648	142797	39721	14573	598733	192462	198610	135997	49376	31285	607730									
Deux-Sèvres	103513	94562	76183	44519	24626	343403	53377	48016	38201	20812	9535	169941	50136	46546	37982	23707	15091	173462									
Somme	178785	161790	112050	60933	32579	546137	90824	81618	55545	27373	11478	266838	87961	80172	56505	33560	21101	279299									
Tarn	90373	89570	82785	49494	28313	340535	46854	45095	40518	22916	10366	165749	43519	44475	42267	26578	17947	174786									
Tarn-et-Garonne	51619	51725	44499	28290	15261	191394	26756	26440	21844	13257	5644	93941	24863	25285	22655	15033	9617	97453									
Var	187471	199697	171758	109650	50617	719193	97021	101273	84735	49890	17825	350744	90450	98424	87023	59760	32792	368449									
Vaucluse	123850	125192	99767	54257	26774	429840	63695	63120	49646	24496	9530	210487	60155	62072	50121	29761	17244	219353									
Vendée	153213	135695	105353	61558	31171	486990	79284	69327	52358	27948	10881	239798	73929	66368	52995	33610	20290	247192									
Vienne	112325	106554	79273	47554	26976	372682	56781	53644	39507	22137	10050	182119	55544	52910	39766	25417	16926	190563									
Haute-Vienne	90895	98374	82826	53012	31899	357006	46115	49649	40790	24202	11324	172080	44780	48725	42036	28810	20575	184926									
Vosges	122389	113749	86451	47190	25134	394913	62933	58837	42865	20316	7970	192921	59456	54912	43586	26874	17164	201992									
Yonne	89424	86317	66268	43517	27149	312675	46422	44702	33642	19904	10127	154797	43002	41615	32626	23613	17022	157878									
Territoire de Belfort	41436	41495	29326	13473	6803	132533	21827	21812	14838	5830	2166	66473	19609	19683	14488	7643	4637	66060									
Essonne	327309	335050	225199	69533	38280	995371	167989	168032	115180	31272	12181	494654	159320	167018	110019	38261	26099	500717									
Hauts-de-Seine	359206	470241	333861	147828	74705	1385841	182064	236422	165927	62694	22799	669906	177142	233819	167934	85134	51906	715935									
Seine-Saint-Denis	407154	457013	304178	110749	52623	1331717	207745	231359	155897	48059	16563	659623	199409	225654	148281	62690	36060	672094									
Val-de-Marne	340962	406430	279509	111896	59377	1198174	173252	204770	138805	48241	17978	583046	167710	201660	140704	63655	41399	615128									
Val-d'Oise	306796	314880	205174	69294	35645	931789	156927	156966	104517	30732	11360	460502	149869	157914	100657	38562	24285	471287									
	16302740	16483945	12184192	6371012	3308095	54649984	8343002	8343403	6052305	2817830	1114976	26671516	7959738	8140542	6131887	3553182	2193119	27978468									
																											
																											
																											
