	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	130525	129756	91780	45997	24685	422743	67134	67182	47500	21133	8604	211553	63391	62574	44280	24864	16081	211190									
Aisne	171904	158716	114370	58649	31333	534972	88981	81610	57105	26201	11033	264930	82923	77106	57265	32448	20300	270042									
Allier	96732	96716	87831	55493	32124	368896	49756	49160	43262	25174	11472	178824	46976	47556	44569	30319	20652	190072									
Alpes-de-Haute-Provence	31429	32985	29109	17298	9251	120072	16264	16873	14812	8183	3409	59541	15165	16112	14297	9115	5842	60531									
Hautes-Alpes	28834	31204	23940	14577	7067	105622	15208	16004	12140	6922	2608	52882	13626	15200	11800	7655	4459	52740									
Alpes-Maritimes	205936	238651	213734	148222	86568	893111	104900	118390	102808	62871	30823	419792	101036	120261	110926	85351	55745	473319									
Ardèche	75158	72819	62805	38156	21184	270122	38961	37142	31768	17263	7174	132308	36197	35677	31037	20893	14010	137814									
Ardennes	98832	88022	66235	32003	16934	302026	50892	45298	33566	14302	5809	149867	47940	42724	32669	17701	11125	152159									
Ariège	32467	34726	32228	22986	14049	136456	16790	17786	16050	10968	5462	67056	15677	16940	16178	12018	8587	69400									
Aube	86985	85906	62346	34159	19732	289128	44941	43841	31030	15371	6990	142173	42044	42065	31316	18788	12742	146955									
Aude	70008	72525	67455	46408	26787	283183	36755	37051	32923	21568	10232	138529	33253	35474	34532	24840	16555	144654									
Aveyron	71928	70495	66786	44486	24853	278548	36867	36464	33121	20654	9286	136392	35061	34031	33665	23832	15567	142156									
Bouches-du-Rhône	495539	517349	404457	211441	100550	1729336	253058	256857	201219	94986	33885	840005	242481	260492	203238	116455	66665	889331									
Calvados	196577	184164	122344	62243	29981	595309	99786	92663	59618	27118	9173	288358	96791	91501	62726	35125	20808	306951									
Cantal	44557	43304	37580	23969	12779	162189	22977	22733	18990	10991	4593	80284	21580	20571	18590	12978	8186	81905									
Charente	95213	95103	77979	46453	26270	341018	48725	48016	38716	21365	9335	166157	46488	47087	39263	25088	16935	174861									
Charente-Maritime	144805	140210	116888	74019	39265	515187	74833	70358	57353	34054	14360	250958	69972	69852	59535	39965	24905	264229									
Cher	89356	90575	72203	44478	25130	321742	45531	46348	36454	20111	8979	157423	43825	44227	35749	24367	16151	164319									
Corrèze	58875	62697	57699	39773	22009	241053	30622	32032	28421	18135	8028	117238	28253	30665	29278	21638	13981	123815									
Corse-du-Sud	27010	32314	26694	16109	7633	109760	13988	17703	13889	7325	2550	55455	13022	14611	12805	8784	5083	54305									
Haute-Corse	32164	40089	31537	18650	9229	131669	16677	22908	17027	8541	3271	68424	15487	17181	14510	10109	5958	63245									
Côte-d'Or	149753	146691	99297	51844	28386	475971	75478	74266	49527	23478	9875	232624	74275	72425	49770	28366	18511	243347									
Côtes-d'Armor	156745	142273	124378	78929	37074	539399	81199	73199	61363	34525	11594	261880	75546	69074	63015	44404	25480	277519									
Creuse	31023	32617	33790	25073	16817	139320	16112	17159	17042	11657	6173	68143	14911	15458	16748	13416	10644	71177									
Dordogne	94166	96814	91927	62767	33719	379393	48858	49059	45080	29322	12258	184577	45308	47755	46847	33445	21461	194816									
Doubs	160804	152039	100435	45498	21115	479891	81827	78798	50544	20262	7159	238590	78977	73241	49891	25236	13956	241301									
Drôme	117040	113225	89843	48288	25327	393723	60428	57259	44750	21762	8866	193065	56612	55966	45093	26526	16461	200658									
Eure	152508	144337	97700	48473	24567	467585	78412	73292	49620	21992	8493	231809	74096	71045	48080	26481	16074	235776									
Eure-et-Loir	116119	110826	76414	41208	22192	366759	59895	56856	38839	19037	8375	183002	56224	53970	37575	22171	13817	183757									
Finistère	245174	229335	187417	115180	53109	830215	126157	118302	91141	49163	17426	402189	119017	111033	96276	66017	35683	428026									
Gard	148078	152008	126012	73746	37925	537769	76347	76928	62117	33803	13158	262353	71731	75080	63895	39943	24767	275416									
Haute-Garonne	242100	266355	184178	95666	48878	837177	121864	132775	89918	43488	17225	405270	120236	133580	94260	52178	31653	431907									
Gers	41988	44593	43386	27467	16010	173444	21877	22770	21959	13293	6225	86124	20111	21823	21427	14174	9785	87320									
Gironde	331336	346117	246509	138927	75039	1137928	168435	171616	120069	61555	24248	545923	162901	174501	126440	77372	50791	592005									
Hérault	201443	208380	158439	98577	51781	718620	102130	102805	76429	44877	18325	344566	99313	105575	82010	53700	33456	374054									
Ille-et-Vilaine	248493	227164	158876	83523	37433	755489	125720	114184	77860	36231	11344	365339	122773	112980	81016	47292	26089	390150									
