	Ensemble						Hommes						Femmes																																																
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total																																											
Ain	146640	145248	146194	62718	34816	535616	75084	73352	73898	30174	12797	265305	71556	71896	72296	32544	22019	270311																																											
Aisne	145835	138617	143369	69349	39614	536784	74255	69835	72156	31407	14189	261842	71580	68782	71213	37942	25425	274942																																											
Allier	72876	80217	94450	58224	38588	344355	37362	40573	46755	26366	14279	165335	35514	39644	47695	31858	24309	179020																																											
Alpes-de-Haute-Provence	34434	33536	40312	23687	13781	145750	17741	16584	20105	11364	5309	71103	16693	16952	20207	12323	8472	74647																																											
Hautes-Alpes	30512	30821	34593	18193	11168	125287	15675	15460	17353	8662	4276	61426	14837	15361	17240	9531	6892	63861																																											
Alpes-Maritimes	228456	258535	271996	163015	113269	1035271	117146	125236	129679	73600	40483	486144	111310	133299	142317	89415	72786	549127																																											
Ardèche	69532	70727	80333	45377	27953	293922	35796	35824	40444	21507	10354	143925	33736	34903	39889	23870	17599	149997																																											
Ardennes	76907	75282	76507	39230	20594	288520	39486	38244	38597	17922	7270	141519	37421	37038	37910	21308	13324	147001																																											
Ariège	30437	31910	38731	23662	15941	140681	15756	16116	19623	11203	6215	68913	14681	15794	19108	12459	9726	71768																																											
Aube	74831	77082	79478	39798	24230	295419	38150	38856	39768	18197	8769	143740	36681	38226	39710	21601	15461	151679																																											
Aude	72474	75956	86233	53232	34077	321972	37044	38045	42372	24973	13354	155788	35430	37911	43861	28259	20723	166184																																											
Aveyron	56147	61762	71448	47178	31231	267766	29026	31879	36305	22315	11899	131424	27121	29883	35143	24863	19332	136342																																											
Bouches-du-Rhône	468318	514714	502316	246704	144258	1876310	239841	250803	242517	113609	52040	898810	228477	263911	259799	133095	92218	977500																																											
Calvados	172549	180520	173396	84001	47723	658189	87206	89820	85431	37378	16632	316467	85343	90700	87965	46623	31091	341722																																											
Cantal	30462	35497	41727	25922	16573	150181	15625	18180	21380	12114	6208	73507	14837	17317	20347	13808	10365	76674																																											
Charente	77747	82942	94904	53465	33954	343012	39865	41676	47076	25147	12558	166322	37882	41266	47828	28318	21396	176690																																											
Charente-Maritime	128884	135663	155569	95081	58620	573817	66176	68073	76049	44208	22458	276964	62708	67590	79520	50873	36162	296853																																											
Cher	72858	75714	86767	49498	30050	314887	37278	38220	43581	23230	11042	153351	35580	37494	43186	26268	19008	161536																																											
Corrèze	47382	54390	64536	41146	28321	235775	24588	28218	32398	18865	10475	114544	22794	26172	32138	22281	17846	121231																																											
Corse-du-Sud	28464	31155	34891	20156	10996	125662	14803	15100	17356	9576	4012	60847	13661	16055	17535	10580	6984	64815																																											
Haute-Corse	32780	39079	40640	22900	13032	148431	16864	19416	20550	11040	4731	72601	15916	19663	20090	11860	8301	75830																																											
Côte-d'Or	127683	144366	136277	64014	38857	511197	64684	70995	67574	29610	13940	246803	62999	73371	68703	34404	24917	264394																																											
Côtes-d'Armor	129699	128691	147567	92596	55003	553556	66561	65820	73842	41913	19302	267438	63138	62871	73725	50683	35701	286118																																											
Creuse	23559	26276	33345	23684	17089	123953	12139	13576	17096	11109	6528	60448	11420	12700	16249	12575	10561	63505																																											
Dordogne	81905	87190	109029	70740	45883	394747	41923	43609	53896	33423	17345	190196	39982	43581	55133	37317	28538	204551																																											
Doubs	132757	144212	133078	63404	32790	506241	67900	72794	66119	29315	11838	247966	64857	71418	66959	34089	20952	258275																																											
Drôme	116353	113382	121595	62807	36077	450214	59889	56560	59882	29391	13435	219157	56464	56822	61713	33416	22642	231057																																											
