	Ensemble						Hommes						Femmes																																																
Eure	152816	146123	151118	66165	35989	552211	78089	73192	75785	30902	13006	270974	74727	72931	75333	35263	22983	281237																																											
Eure-et-Loir	110670	107738	111688	51635	31394	413125	56524	54436	56126	24369	12044	203499	54146	53302	55562	27266	19350	209626																																											
Finistère	209649	222327	227343	128604	77083	865006	107514	114608	114202	56551	25933	418808	102135	107719	113141	72053	51150	446198																																											
Gard	160426	160410	177998	93627	54515	646976	81838	79289	87342	43818	20491	312778	78588	81121	90656	49809	34024	334198																																											
Haute-Garonne	266946	347598	287191	126138	74541	1102414	136081	173344	140808	58406	27396	536035	130865	174254	146383	67732	47145	566379																																											
Gers	36445	38413	49119	31553	20519	176049	18693	19468	24569	15279	8237	86246	17752	18945	24550	16274	12282	89803																																											
Gironde	319508	379542	359538	166651	104856	1330095	162565	186550	175015	76116	36777	637023	156943	192992	184523	90535	68079	693072																																											
Hérault	226354	259290	242606	130406	78331	936987	115533	125252	116021	60531	29575	446912	110821	134038	126585	69875	48756	490075																																											
Ille-et-Vilaine	236272	265985	225454	109295	61903	898909	120570	133654	111659	50240	21566	437689	115702	132331	113795	59055	40337	461220																																											
Indre	49181	54387	62687	39825	25786	231866	25048	27783	31703	18587	9726	112847	24133	26604	30984	21238	16060	119019																																											
Indre-et-Loire	139333	153323	149281	75409	47540	564886	70874	75183	73267	34878	17618	271820	68459	78140	76014	40531	29922	293066																																											
Isère	300995	324375	295951	133497	69367	1124185	154715	163759	146946	62650	25120	553190	146280	160616	149005	70847	44247	570995																																											
Jura	63541	63421	67822	36416	22675	253875	32722	32150	34139	17070	8392	124473	30819	31271	33683	19346	14283	129402																																											
Landes	75924	81692	94205	56219	33416	341456	39269	41602	46623	26335	12232	166061	36655	40090	47582	29884	21184	175395																																											
Loir-et-Cher	75144	77785	84896	49499	31820	319144	38353	39293	42496	23075	12363	155580	36791	38492	42400	26424	19457	163564																																											
Loire	182980	188666	194092	105464	63065	734267	93704	94761	95713	47739	22189	354106	89276	93905	98379	57725	40876	380161																																											
Haute-Loire	50324	52105	57257	33534	20026	213246	25997	26749	29445	15578	7088	104857	24327	25356	27812	17956	12938	108389																																											
Loire-Atlantique	310188	329687	309733	143753	81131	1174492	158387	165558	152567	64407	27963	568882	151801	164129	157166	79346	53168	605610																																											
Loiret	163640	170266	167014	79841	48309	629070	83803	85081	83129	37477	18291	307781	79837	85185	83885	42364	30018	321289																																											
Lot	34103	35791	44984	29983	19215	164076	17521	18032	22513	14292	7363	79721	16582	17759	22471	15691	11852	84355																																											
Lot-et-Garonne	69970	72072	84620	52114	33208	311984	35856	35975	41482	24538	12635	150486	34114	36097	43138	27576	20573	161498																																											
Lozère	16428	18511	20253	11757	7908	74857	8567	9623	10581	5747	3113	37631	7861	8888	9672	6010	4795	37226																																											
Maine-et-Loire	201883	205851	189624	92508	57223	747089	102746	103007	93995	42358	21064	363170	99137	102844	95629	50150	36159	383919																																											
Manche	122696	119359	126204	74870	43415	486544	62670	60846	64089	34390	15587	237582	60026	58513	62115	40480	27828	248962																																											
Marne	146962	164089	150085	66237	38409	565782	75238	82548	74120	30126	13354	275386	71724	81541	75965	36111	25055	290396																																											
Haute-Marne	47595	47545	51895	28265	16614	191914	24553	24394	26330	13057	6087	94421	23042	23151	25565	15208	10527	97493																																											
Mayenne	76179	75308	74162	40609	24868	291126	39253	38801	37319	18893	9162	143428	36926	36507	36843	21716	15706	147698																																											
Meurthe-et-Moselle	183943	205699	187698	92708	49151	719199	94177	103196	92684	41822	16799	348678	89766	102503	95014	50886	32352	370521																																											
Meuse	49654	49235	51489	27235	15699	193312	25705	25520	26276	12637	5519	95657	23949	23715	25213	14598	10180	97655																																											
Morbihan	163052	166365	176666	102231	55980	664294	84256	85366	87883	46213	19571	323289	78796	80999	88783	56018	36409	341005																																											
Moselle	262144	287268	279555	138358	62311	1029636	134250	145696	139906	64392	21506	505750	127894	141572	139649	73966	40805	523886																																											
Nièvre	48033	49910	61467	39572	25157	224139	24610	25329	30681	18245	9149	108014	23423	24581	30786	21327	16008	116125																																											
Nord	734623	737249	643109	288037	155195	2558213	375740	366817	316290	125204	51535	1235586	358883	370432	326819	162833	103660	1322627																																											
Oise	222118	217793	212607	82583	42511	777612	114157	109295	107253	38541	15270	384516	107961	108498	105354	44042	27241	393096																																											
Orne	72837	70715	77555	45158	26803	293068	37476	36109	38996	21031	9719	143331	35361	34606	38559	24127	17084	149737																																											
Pas-de-Calais	408584	388861	373530	177682	98707	1447364	209194	195318	185863	76539	32603	699517	199390	193543	187667	101143	66104	747847																																											
Puy-de-Dôme	139383	167395	170970	85107	49163	612018	71208	83996	85002	38852	17234	296292	68175	83399	85968	46255	31929	315726																																											
Pyrénées-Atlantiques	138979	155907	166058	95318	58588	614850	71516	78596	81141	43820	20817	295890	67463	77311	84917	51498	37771	318960																																											
Hautes-Pyrénées	47576	52405	63088	37957	23631	224657	24543	26491	31163	17511	8573	108281	23033	25914	31925	20446	15058	116376																																											
Pyrénées-Orientales	92119	97595	105272	69755	43190	407931	46964	47703	50335	32192	16488	193682	45155	49892	54937	37563	26702	214249																																											
Bas-Rhin	266593	313814	277534	127586	62778	1048305	135770	156706	139703	59017	19728	510924	130823	157108	137831	68569	43050	537381																																											
Haut-Rhin	185594	200585	196012	93215	44343	719749	94822	101288	99159	43603	14468	353340	90772	99297	96853	49612	29875	366409																																											
Rhône	423434	485671	408345	191631	106035	1615116	215026	238534	198257	87496	36276	775589	208408	247137	210088	104135	69759	839527																																											
Haute-Saône	58614	58538	63764	32562	18827	232305	30314	29950	32396	15452	6888	115000	28300	28588	31368	17110	11939	117305																																											
Saône-et-Loire	126902	130459	149862	86127	53788	547138	65421	66243	74946	39638	19804	266052	61481	64216	74916	46489	33984	281086																																											
Sarthe	137588	141224	140292	74689	45927	539720	70352	71648	69996	34542	17260	263798	67236	69576	70296	40147	28667	275922																																											
Savoie	96723	105612	104622	50282	27860	385099	50160	53406	52505	23389	9676	189136	46563	52206	52117	26893	18184	195963																																											
Haute-Savoie	174620	188356	181605	74820	38324	657725	90140	95234	90421	34884	13721	324400	84480	93122	91184	39936	24603	333325																																											
Paris	416549	774937	556427	237629	159930	2145472	209955	376436	265485	103923	52850	1008649	206594	398501	290942	133706	107080	1136823																																											
Seine-Maritime	334601	340057	327578	152363	87289	1241888	170441	168736	161247	67931	30348	598703	164160	171321	166331	84432	56941	643185																																											
Seine-et-Marne	360434	354155	338990	113866	58335	1225780	184002	174856	169487	53720	20296	602361	176432	179299	169503	60146	38039	623419																																											
Yvelines	387996	388551	382279	144083	68198	1371107	198880	193148	187852	68340	24011	672231	189116	195403	194427	75743	44187	698876																																											
Deux-Sèvres	83445	87198	94067	52559	33530	350799	43067	44382	47145	25089	13369	173052	40378	42816	46922	27470	20161	177747																																											
Somme	146707	156451	145361	70210	41191	559920	74855	78073	72291	31640	15097	271956	71852	78378	73070	38570	26094	287964																																											
Tarn	79074	82264	95179	57948	37657	352122	40651	41169	46873	27023	14478	170194	38423	41095	48306	30925	23179	181928																																											
Tarn-et-Garonne	50690	52305	57724	32752	20744	214215	25984	26259	28907	15380	8060	104590	24706	26046	28817	17372	12684	109625																																											
Var	217737	222638	249885	153585	89757	933602	111478	110771	120672	72022	33876	448819	106259	111867	129213	81563	55881	484783																																											
Vaucluse	132062	131200	138095	71340	40579	513276	67839	64683	67538	33144	14997	248201	64223	66517	70557	38196	25582	265075																																											
Vendée	136390	141332	147803	87432	49265	562222	69896	72559	74152	41155	18408	276170	66494	68773	73651	46277	30857	286052																																											
Vienne	96100	112717	105567	56328	36120	406832	48711	55675	52543	26648	13801	197378	47389	57042	53024	29680	22319	209454																																											
Haute-Vienne	75122	93020	98080	55316	37450	358988	38482	46016	48454	25567	13739	172258	36640	47004	49626	29749	23711	186730																																											
Vosges	96466	95819	103036	54334	31224	380879	49609	49086	51685	24636	10497	185513	46857	46733	51351	29698	20727	195366																																											
Yonne	82262	81124	90277	49969	32331	335963	42097	41134	45336	23375	12060	164002	40165	39990	44941	26594	20271	171961																																											
Territoire de Belfort	35896	39290	37105	17333	9410	139034	18544	20770	18596	7932	3217	69059	17352	18520	18509	9401	6193	69975																																											
Essonne	326113	340575	317794	120858	55325	1160665	166329	170408	157372	57149	19156	570414	159784	170167	160422	63709	36169	590251																																											
Hauts-de-Seine	364496	476636	377918	158274	95756	1473080	185236	232732	181873	70980	32390	703211	179260	243904	196045	87294	63366	769869																																											
Seine-Saint-Denis	414427	439638	369923	138165	65051	1427204	210764	215099	184972	64834	22426	698095	203663	224539	184951	73331	42625	729109																																											
Val-de-Marne	324496	387075	333774	135598	75572	1256515	165089	189772	163679	60835	25747	605122	159407	197303	170095	74763	49825	651393																																											
Val-d'Oise	335267	327875	307772	104379	50447	1125740	171121	160263	151919	48702	17028	549033	164146	167612	155853	55677	33419	576707																																											
	15086076	16430656	15861835	7790589	4516743	59685899	7713377	8192270	7838720	3580072	1614565	28939004	7372699	8238386	8023115	4210517	2902178	30746895																																											
Guadeloupe	125611	113075	95994	38679	19665	393024	64003	52629	44887	17499	7809	186827	61608	60446	51107	21180	11856	206197																																											
Martinique	117015	109998	97552	43404	21333	389302	58936	50940	45354	19756	8163	183149	58079	59058	52198	23648	13170	206153																																											
Guyane	79348	53199	34062	7143	2886	176638	40175	25627	17724	3647	1199	88372	39173	27572	16338	3496	1687	88266																																											
La Réunion	271555	232868	161116	54021	20647	740207	138131	112496	79038	24893	7423	361981	133424	120372	82078	29128	13224	378226																																											
	593529	509140	388724	143247	64531	1699171	301245	241692	187003	65795	24594	820329	292284	267448	201721	77452	39937	878842																																											
	15679605	16939796	16250559	7933836	4581274	61385070	8014622	8433962	8025723	3645867	1639159	29759333	7664983	8505834	8224836	4287969	2942115	31625737																																											
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
