	Ensemble						Hommes						Femmes														
Loire-Atlantique	310261	321333	251569	136811	59627	1079601	158269	161287	123880	60296	19016	522748	151992	160046	127689	76515	40611	556853									
Loiret	164756	176299	139485	77665	37721	595926	83886	88414	70375	36025	13711	292411	80870	87885	69110	41640	24010	303515									
Lot	34287	39290	37657	30666	15311	157211	17610	20013	18741	14539	5588	76491	16677	19277	18916	16127	9723	80720									
Lot-et-Garonne	72651	79006	73478	53076	26368	304579	37271	39455	36377	24811	9838	147752	35380	39551	37101	28265	16530	156827									
Lozère	17040	19608	17146	12202	6767	72763	8765	10279	9030	5982	2437	36493	8275	9329	8116	6220	4330	36270									
Maine-et-Loire	214317	209558	155556	90278	44108	713817	109567	104756	76887	41133	15321	347664	104750	104802	78669	49145	28787	366153									
Manche	132146	134329	106603	75415	31384	479877	67860	69673	53199	34499	9991	235222	64286	64656	53404	40916	21393	244655									
Marne	159030	177495	129125	65482	30921	562053	81178	88824	65060	29445	10346	274853	77852	88671	64065	36037	20575	287200									
Haute-Marne	55138	56814	46289	28878	13763	200882	28489	29101	23690	13259	4776	99315	26649	27713	22599	15619	8987	101567									
Mayenne	79703	78492	62212	40201	19117	279725	41049	40470	30879	18703	6418	137519	38654	38022	31333	21498	12699	142206									
Meurthe-et-Moselle	196165	223168	164820	92546	38793	715492	100293	111721	82191	41232	12398	347835	95872	111447	82629	51314	26395	367657									
Meuse	54300	55561	43842	28907	13099	195709	28029	28711	22306	13270	4344	96660	26271	26850	21536	15637	8755	99049									
Morbihan	169549	175885	143543	96971	40212	626160	87231	90719	71155	43539	12924	305568	82318	85166	72388	53432	27288	320592									
Moselle	282743	319447	238669	129494	45501	1015854	145557	161161	121206	58807	14786	501517	137186	158286	117463	70687	30715	514337									
Nièvre	53644	59373	54501	41426	21812	230756	27477	30276	27534	18926	7661	111874	26167	29097	26967	22500	14151	118882									
Nord	787813	776232	551600	306007	119777	2541429	402994	387063	274098	133445	36205	1233805	384819	389169	277502	172562	83572	1307624									
Oise	228925	229495	176121	77931	33985	746457	117425	115319	91252	36001	11513	371510	111500	114176	84869	41930	22472	374947									
Orne	79902	80268	67779	45829	20308	294086	41061	40999	33941	21233	6718	143952	38841	39269	33838	24596	13590	150134									
Pas-de-Calais	440457	418702	312710	190761	73723	1436353	225363	211130	154889	82860	22247	696489	215094	207572	157821	107901	51476	739864									
Puy-de-Dôme	148716	178186	148717	85491	38215	599325	75814	89320	74885	38573	12754	291346	72902	88866	73832	46918	25461	307979									
Pyrénées-Atlantiques	140278	164386	140447	92609	47746	585466	71932	82621	68702	42118	16385	281758	68346	81765	71745	50491	31361	303708									
Hautes-Pyrénées	49580	61108	55780	38711	19497	224676	25396	31213	27463	17822	6887	108781	24184	29895	28317	20889	12610	115895									
Pyrénées-Orientales	85952	96755	86762	69837	33410	372716	43969	47847	41506	32209	12678	178209	41983	48908	45256	37628	20732	194507									
Bas-Rhin	259444	324147	226849	117297	50873	978610	131893	162473	115807	50476	15676	476325	127551	161674	111042	66821	35197	502285									
Haut-Rhin	185359	214404	163365	86043	35186	684357	95009	108408	83917	37838	10561	335733	90350	105996	79448	48205	24625	348624									
Rhône	419396	487790	365954	183667	84169	1540976	213090	240050	181292	82047	26696	743175	206306	247740	184662	101620	57473	797801									
Haute-Saône	63175	63012	53971	32633	15786	228577	32726	32304	27807	14990	5510	113337	30449	30708	26164	17643	10276	115240									
Saône-et-Loire	140691	149479	133726	89006	43689	556591	72456	76173	67099	41020	15050	271798	68235	73306	66627	47986	28639	284793									
Sarthe	141197	149699	118062	73439	36270	518667	72253	75787	58929	34025	12730	253724	68944	73912	59133	39414	23540	264943									
Savoie	94837	109157	85823	47190	21477	358484	48684	55586	43321	21525	7369	176485	46153	53571	42502	25665	14108	181999									
Haute-Savoie	165947	188907	146179	66321	28275	595629	85242	95687	74208	30271	9704	295112	80705	93220	71971	36050	18571	300517									
Paris	416586	772261	524122	260412	159094	2132475	209681	373579	254033	106917	50213	994423	206905	398682	270089	153495	108881	1138052									
Seine-Maritime	355669	375525	282143	151857	69127	1234321	181535	186810	140578	67418	22271	598612	174134	188715	141565	84439	46856	635709									
Seine-et-Marne	353500	353618	274604	101404	48053	1131179	181463	174510	140932	46682	16139	559726	172037	179108	133672	54722	31914	571453									
Yvelines	399196	411266	345971	124522	52859	1333814	204452	203252	174886	57585	17103	657278	194744	208014	171085	66937	35756	676536									
Deux-Sèvres	89725	95433	80127	53311	26938	345534	46256	48724	40322	25245	10418	170965	43469	46709	39805	28066	16520	174569									
Somme	156842	165452	122712	72765	32476	550247	79944	82884	61398	33221	11100	268547	76898	82568	61314	39544	21376	281700									
Tarn	81169	89574	81852	59580	30227	342402	41936	45284	40350	27930	11123	166623	39233	44290	41502	31650	19104	175779									
Tarn-et-Garonne	49132	55386	47933	33923	16871	203245	25260	28082	24021	15926	6377	99666	23872	27304	23912	17997	10494	103579									
Var	204999	227288	204395	144423	65791	846896	105601	113309	100447	66820	23764	409941	99398	113979	103948	77603	42027	436955									
Vaucluse	127061	136163	116583	67867	31169	478843	65253	67513	58253	31157	11000	233176	61808	68650	58330	36710	20169	245667									
Vendée	142052	143217	116799	80829	36077	518974	73188	73478	58683	37758	12740	255847	68864	69739	58116	43071	23337	263127									
Vienne	98261	114600	87310	56141	29787	386099	50303	56944	43795	26472	10989	188503	47958	57656	43515	29669	18798	197596									
Haute-Vienne	78828	98499	86343	58700	32048	354418	40332	48991	42967	26794	11402	170486	38496	49508	43376	31906	20646	183932									
Vosges	105751	108177	89719	54430	26382	384459	54365	55280	45387	24184	8489	187705	51386	52897	44332	30246	17893	196754									
Yonne	85969	87654	75011	51837	27268	327739	44289	44656	38558	24014	9732	161249	41680	42998	36453	27823	17536	166490									
Territoire de Belfort	37444	41515	32302	16728	7521	135510	19350	21563	16516	7525	2397	67351	18094	19952	15786	9203	5124	68159									
Essonne	323002	360123	286324	101910	44041	1115400	165281	181366	143955	47205	14167	551974	157721	178757	142369	54705	29874	563426									
Hauts-de-Seine	339605	470351	341911	164417	79177	1395461	172355	229539	170025	71204	24723	667846	167250	240812	171886	93213	54454	727615									
Seine-Saint-Denis	406599	462882	329321	134696	53929	1387427	207418	227236	170087	60181	17108	682030	199181	235646	159234	74515	36821	705397									
Val-de-Marne	316341	406696	301243	134942	61936	1221158	160999	201381	150322	58985	19348	591035	155342	205315	150921	75957	42588	630123									
Val-d'Oise	335527	345204	260856	95349	39564	1076500	171541	169347	132533	43184	12443	529048	163986	175857	128323	52165	27121	547452									
	15330473	17188587	13542190	7704985	3602926	57369161	7842409	8595657	6771175	3487408	1218796	27915445	7488064	8592930	6771015	4217577	2384130	29453716									
Guadeloupe	129802	117896	70104	30285	12594	360681	65801	57364	33507	13846	4851	175369	64001	60532	36597	16439	7743	185312									
Martinique	121649	116805	73472	35976	15442	363344	61760	56160	34453	16377	5791	174541	59889	60645	39019	19599	9651	188803									
Guyane	55696	42375	20773	5186	1756	125786	28223	21917	11210	2617	744	64711	27473	20458	9563	2569	1012	61075									
La Réunion	255371	212373	112502	40009	12775	633030	129205	104245	55735	18062	4135	311382	126166	108128	56767	21947	8640	321648									
	562518	489449	276851	111456	42567	1482841	284989	239686	134905	50902	15521	726003	277529	249763	141946	60554	27046	756838									
	15892991	17678036	13819041	7816441	3645493	58852002	8127398	8835343	6906080	3538310	1234317	28641448	7765593	8842693	6912961	4278131	2411176	30210554									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
