	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	140123	145053	117006	58328	27734	488244	71710	73664	60503	27458	9641	242976	68413	71389	56503	30870	18093	245268									
Aisne	156620	156030	121042	73916	30611	538219	80080	79006	61356	33657	10257	264356	76540	77024	59686	40259	20354	273863									
Allier	80261	92616	85791	62860	32296	353824	41049	46924	42616	28712	11232	170533	39212	45692	43175	34148	21064	183291									
Alpes-de-Haute-Provence	32143	36434	32882	22028	10553	134040	16459	18449	16495	10522	4004	65929	15684	17985	16387	11506	6549	68111									
Hautes-Alpes	29298	32974	27426	17285	8393	115376	15154	16716	13878	8239	3085	57072	14144	16258	13548	9046	5308	58304									
Alpes-Maritimes	218195	266422	240918	169345	98815	993695	111747	129709	115949	74550	34822	466777	106448	136713	124969	94795	63993	526918									
Ardèche	69883	75441	67329	45177	22433	280263	36007	38437	34127	21198	7649	137418	33876	37004	33202	23979	14784	142845									
Ardennes	85660	85180	67164	39929	16671	294604	43855	43276	34262	18160	5535	145088	41805	41904	32902	21769	11136	149516									
Ariège	30040	35128	31941	25695	13828	136632	15488	17905	16177	12231	5350	67151	14552	17223	15764	13464	8478	69481									
Aube	78543	84048	68751	39827	20190	291359	40332	42493	34806	18064	7046	142741	38211	41555	33945	21763	13144	148618									
Aude	68700	79772	70120	55237	27864	301693	35580	41010	34610	25902	10546	147648	33120	38762	35510	29335	17318	154045									
Aveyron	60127	68237	63946	48719	26699	267728	31021	35312	32207	23046	9931	131517	29106	32925	31739	25673	16768	136211									
Bouches-du-Rhône	462111	530039	440335	243333	112207	1788025	236747	260166	217724	110500	38976	864113	225364	269873	222611	132833	73231	923912									
Calvados	180100	191086	141498	81250	34753	628687	91495	95074	69707	36258	11003	303537	88605	96012	71791	44992	23750	325150									
Cantal	36329	42001	37052	27379	13688	156449	18647	21721	18960	12830	4908	77066	17682	20280	18092	14549	8780	79383									
Charente	84231	94280	81347	54486	28037	342381	43221	47529	40584	25393	10047	166774	41010	46751	40763	29093	17990	175607									
Charente-Maritime	129814	141890	126906	93101	44182	535893	66706	71115	62472	43474	16267	260034	63108	70775	64434	49627	27915	275859									
Cher	78254	88298	77286	50310	26109	320257	40041	45023	39199	23347	9109	156719	38213	43275	38087	26963	17000	163538									
Corrèze	50808	61151	56560	44484	23305	236308	26170	31329	28320	20420	8341	114580	24638	29822	28240	24064	14964	121728									
Corse-du-Sud	29036	33640	29508	18899	8511	119594	15009	16642	15199	8796	2958	58604	14027	16998	14309	10103	5553	60990									
Haute-Corse	31112	38790	33109	20888	10102	134001	15863	19755	17533	9665	3650	66466	15249	19035	15576	11223	6452	67535									
Côte-d'Or	134783	154200	115671	63273	31592	499519	68206	76433	58082	28794	11041	242556	66577	77767	57589	34479	20551	256963									
Côtes-d'Armor	136170	138477	126695	94910	41183	537435	69814	71378	63130	42540	13284	260146	66356	67099	63565	52370	27899	277289									
Creuse	25439	31061	29959	26954	15563	128976	13101	16236	15364	12759	5491	62951	12338	14825	14595	14195	10072	66025									
Dordogne	85219	98226	92390	74479	36913	387227	43832	49628	45788	34826	13551	187625	41387	48598	46602	39653	23362	199602									
Doubs	140199	150963	115994	58583	25370	491109	71642	75928	58623	26748	8686	241627	68557	75035	57371	31835	16684	249482									
Drôme	114615	118612	101754	59442	28152	422575	58952	59584	50750	27472	9991	206749	55663	59028	51004	31970	18161	215826									
Eure	156425	156929	121746	62990	27733	525823	80296	79024	62165	29260	9346	260091	76129	77905	59581	33730	18387	265732									
Eure-et-Loir	117833	115904	93240	51344	25207	403528	60296	58066	47808	23975	9326	199471	57537	57838	45432	27369	15881	204057									
Finistère	217140	238354	191864	132332	59982	839672	111539	123350	95344	57675	19251	407159	105601	115004	96520	74657	40731	432513									
Gard	152266	167792	144243	92311	42043	598655	77946	84125	71678	42735	14984	291468	74320	83667	72565	49576	27059	307187									
Haute-Garonne	238450	324808	228501	120363	58624	970746	121481	161845	112310	54689	21065	471390	116969	162963	116191	65674	37559	499356									
Gers	36808	44547	42481	32622	17277	173735	19039	22714	21372	15968	6712	85805	17769	21833	21109	16654	10565	87930									
Gironde	316209	381626	293804	169327	82126	1243092	161260	187974	144628	76133	27291	597286	154949	193652	149176	93194	54835	645806									
Hérault	206256	246241	192500	125419	58781	829197	105033	119855	93681	57479	21412	397460	101223	126386	98819	67940	37369	431737									
Ille-et-Vilaine	230789	254978	183374	105216	45098	819455	117672	127946	90703	47194	14538	398053	113117	127032	92671	58022	30560	421402									
Indre	53239	62194	56017	41491	22890	235831	27281	31850	28316	19376	8382	115205	25958	30344	27701	22115	14508	120626									
Indre-et-Loire	141573	160144	124970	73091	38369	538147	71457	79179	61897	33728	13657	259918	70116	80965	63073	39363	24712	278229									
Isère	294941	324789	248536	122691	53720	1044677	151188	164111	125302	56394	17826	514821	143753	160678	123234	66297	35894	529856									
Jura	66527	69507	58358	37749	18074	250215	34175	35406	29566	17438	6502	123087	32352	34101	28792	20311	11572	127128									
Landes	73911	85495	76852	54661	26207	317126	38148	43903	38082	25683	9015	154831	35763	41592	38770	28978	17192	162295									
Loir-et-Cher	77834	84327	72197	49277	26163	309798	39861	42778	36395	23204	9511	151749	37973	41549	35802	26073	16652	158049									
Loire	200529	206730	178589	107210	51009	744067	102715	103559	88891	47994	16673	359832	97814	103171	89698	59216	34336	384235									
Haute-Loire	51273	55904	48617	33941	16644	206379	26454	28962	24942	15596	5620	101574	24819	26942	23675	18345	11024	104805									
