	Ensemble						Hommes						Femmes												
Ille-et-Vilaine	250970	268714	251468	111337	73357	955846	128249	135300	124814	51221	26753	466337	122721	133414	126654	60116	46604	489509							
Indre	49136	50387	65812	38773	28691	232799	25059	25647	33004	18227	10851	112788	24077	24740	32808	20546	17840	120011							
Indre-et-Loire	142963	149154	159279	77907	53783	583086	72816	73299	77890	36525	19950	280480	70147	75855	81389	41382	33833	302606							
Isère	311239	321129	317897	144150	84299	1178714	160171	162362	156827	68612	31476	579448	151068	158767	161070	75538	52823	599266							
Jura	63377	60038	72377	37114	25991	258897	32719	30135	36189	17619	9713	126375	30658	29903	36188	19495	16278	132522							
Landes	81573	81343	106552	58538	39486	367492	42194	41078	52424	27649	14918	178263	39379	40265	54128	30889	24568	189229							
Loir-et-Cher	75873	73964	91401	49139	35914	326291	38815	37041	45471	23138	13942	158407	37058	36923	45930	26001	21972	167884							
Loire	181288	181029	200415	105380	72556	740668	92694	90833	98314	49041	25688	356570	88594	90196	102101	56339	46868	384098							
Haute-Loire	51839	50017	62410	33242	22929	220437	26609	25522	32006	15775	8308	108220	25230	24495	30404	17467	14621	112217							
Loire-Atlantique	323801	337407	339937	149527	96126	1246798	165435	169968	167314	68312	33617	604646	158366	167439	172623	81215	62509	642152							
Loiret	164944	167801	177466	83089	54433	647733	84344	84125	87600	39504	20819	316392	80600	83676	89866	43585	33614	331341							
Lot	34879	33916	49724	30290	22364	171173	18022	17038	24631	14496	8874	83061	16857	16878	25093	15794	13490	88112							
Lot-et-Garonne	71243	70508	91523	52656	38240	324170	36811	35170	44778	24904	14814	156477	34432	35338	46745	27752	23426	167693							
Lozère	16529	17559	22195	11889	8708	76880	8735	9011	11540	5865	3426	38577	7794	8548	10655	6024	5282	38303							
Maine-et-Loire	205802	199885	205023	94421	65646	770777	104884	100243	101191	43640	24785	374743	100918	99642	103832	50781	40861	396034							
Manche	119832	111453	138936	72967	51965	495153	61425	56469	70368	33869	19106	241237	58407	54984	68568	39098	32859	253916							
Marne	142749	155488	156017	68220	44017	566491	73018	78348	76386	31889	15507	275148	69731	77140	79631	36331	28510	291343							
Haute-Marne	43734	43142	54189	27466	18876	187407	22459	22117	27163	13073	6894	91706	21275	21025	27026	14393	11982	95701							
Mayenne	78305	72305	81344	39641	29048	300643	40378	37180	40913	18668	11034	148173	37927	35125	40431	20973	18014	152470							
Meurthe-et-Moselle	179362	200295	197759	90863	58313	726592	91525	100785	96949	41822	20584	351665	87837	99510	100810	49041	37729	374927							
Meuse	47929	46889	55543	25745	17856	193962	24882	24280	28261	12103	6483	96009	23047	22609	27282	13642	11373	97953							
Morbihan	167014	163638	198059	106129	67647	702487	86364	84139	98332	49011	23771	341617	80650	79499	99727	57118	43876	360870							
Moselle	248901	275140	303189	134170	77623	1039023	127763	139801	150342	62985	28257	509148	121138	135339	152847	71185	49366	529875							
Nièvre	45765	45298	64497	38191	27737	221488	23511	22898	31880	17951	10074	106314	22254	22400	32617	20240	17663	115174							
Nord	706829	717069	679229	283683	178140	2564950	362045	356369	331393	126608	59763	1236178	344784	360700	347836	157075	118377	1328772							
Oise	218934	212289	227189	88197	50015	796624	112245	106694	113196	42404	18252	392791	106689	105595	113993	45793	31763	403833							
Orne	69583	65312	82302	43983	31429	292609	35854	33195	41167	20623	11723	142562	33729	32117	41135	23360	19706	150047							
Pas-de-Calais	393503	377330	400857	172403	112633	1456726	201817	188366	198500	76711	37262	702656	191686	188964	202357	95692	75371	754070							
Puy-de-Dôme	140010	162636	178880	87552	57561	626639	71029	81714	88479	41121	20123	302466	68981	80922	90401	46431	37438	324173							
Pyrénées-Atlantiques	142810	152101	183055	96735	68389	643090	73501	76848	89493	44557	25162	309561	69309	75253	93562	52178	43227	333529							
Hautes-Pyrénées	47961	48611	67085	37800	27137	228594	24661	24569	32841	17478	10006	109555	23300	24042	34244	20322	17131	119039							
Pyrénées-Orientales	98271	99343	117857	72046	49640	437157	50291	48177	56184	33531	19021	207204	47980	51166	61673	38515	30619	229953							
Bas-Rhin	268677	302665	306397	130537	76564	1084840	136664	150400	152931	62116	26329	528440	132013	152265	153466	68421	50235	556400							
Haut-Rhin	184458	194216	214104	93850	55780	742408	94408	97852	107379	45054	19406	364099	90050	96364	106725	48796	36374	378309							
Rhône	433417	489006	426882	201024	126744	1677073	219908	240268	205841	93617	45165	804799	213509	248738	221041	107407	81579	872274							
Haute-Saône	58134	56388	67885	33352	21438	237197	30102	28812	34102	16118	7931	117065	28032	27576	33783	17234	13507	120132							
Saône-et-Loire	125167	121118	158151	86064	61342	551842	65013	61138	78810	40413	22795	268169	60154	59980	79341	45651	38547	283673							
Sarthe	140646	136330	152577	74745	52648	556946	71931	68976	76015	35022	19930	271874	68715	67354	76562	39723	32718	285072							
Savoie	100535	103285	114594	53407	33714	405535	51979	52790	57170	25137	12344	199420	48556	50495	57424	28270	21370	206115							
Haute-Savoie	183196	191260	201209	84925	46118	706708	94787	96571	99580	40444	16827	348209	88409	94689	101629	44481	29291	358499							
Paris	435141	778460	567554	250518	161357	2193030	219081	378887	269694	111378	54076	1033116	216060	399573	297860	139140	107281	1159914							
Seine-Maritime	320792	326286	341349	155322	100862	1244611	163319	161780	166809	70779	35305	597992	157473	164506	174540	84543	65557	646619							
Seine-et-Marne	368456	360485	364330	127310	68943	1289524	188388	177467	180144	61327	24657	631983	180068	183018	184186	65983	44286	657541							
Yvelines	389566	377698	393763	159240	83690	1403957	199725	187962	190543	76526	30804	685560	189841	189736	203220	82714	52886	718397							
Deux-Sèvres	85136	84729	102520	52382	38177	362944	44043	42836	51002	25165	15073	178119	41093	41893	51518	27217	23104	184825							
Somme	143528	150390	154166	71245	46581	565910	73414	74941	76261	33007	17002	274625	70114	75449	77905	38238	29579	291285							
Tarn	82856	81186	104260	56829	44058	369189	42522	40664	50964	26689	17133	177972	40334	40522	53296	30140	26925	191217							
Tarn-et-Garonne	55476	53628	65506	33394	23759	231763	28454	26642	32729	15761	9256	112842	27022	26986	32777	17633	14503	118921							
Var	224781	222986	274293	168230	105644	995934	115568	111144	131637	79138	40491	477978	109213	111842	142656	89092	65153	517956							
Vaucluse	134963	128991	148999	77574	47614	538141	69368	63483	71936	36552	17878	259217	65595	65508	77063	41022	29736	278924							
Vendée	145060	143469	168273	91754	58874	607430	74310	73134	84256	43573	22438	297711	70750	70335	84017	48181	36436	309719							
Vienne	99532	110789	114154	56671	40745	421891	50293	54730	56527	26910	15694	204154	49239	56059	57627	29761	25051	217737							
Haute-Vienne	78427	90689	104475	55083	42428	371102	39932	44906	51127	25766	15755	177486	38495	45783	53348	29317	26673	193616							
Vosges	92401	88974	109578	53457	35894	380304	47480	45380	54717	24887	12361	184825	44921	43594	54861	28570	23533	195479							
Yonne	81181	77264	96684	49926	36363	341418	41636	38647	48307	23808	13547	165945	39545	38617	48377	26118	22816	175473							
Territoire de Belfort	35387	38979	39439	17684	10955	142444	18272	20879	19600	8339	3803	70893	17115	18100	19839	9345	7152	71551							
Essonne	332558	335696	333992	131849	67899	1201994	169929	168067	164025	62935	24634	589590	162629	167629	169967	68914	43265	612404							
Hauts-de-Seine	387563	482086	404814	161518	108430	1544411	196992	235476	192672	73617	37202	735959	190571	246610	212142	87901	71228	808452							
Seine-Saint-Denis	435109	454414	397098	140966	74753	1502340	221580	222355	195704	68905	26414	734958	213529	232059	201394	72061	48339	767382							
Val-de-Marne	337525	386148	354070	139829	85317	1302889	173008	187767	171241	64727	29497	626240	164517	198381	182829	75102	55820	676649							
Val-d'Oise	336059	328308	323309	112904	60141	1160721	172309	160395	156871	54232	21198	565005	163750	167913	166438	58672	38943	595716							
	15315094	16181437	17038546	8033849	5226312	61795238	7838862	8061327	8361052	3753507	1902830	29917578	7476232	8120110	8677494	4280342	3323482	31877660							
Guadeloupe 	122977	98651	110972	45406	22578	400584	63118	44730	51025	20686	8766	188325	59859	53921	59947	24720	13812	212259							
Martinique 	113813	97129	113223	48495	25070	397730	57391	44191	51680	22116	9592	184970	56422	52938	61543	26379	15478	212760							
Guyane	94722	63937	41967	9220	3185	213031	47623	30538	21381	4720	1284	105546	47099	33399	20586	4500	1901	107485							
La Réunion	278190	227692	200272	63748	24205	794107	141874	107793	97687	29243	8738	385335	136316	119899	102585	34505	15467	408772							
	609702	487409	466434	166869	75038	1805452	310006	227252	221773	76765	28380	864176	299696	260157	244661	90104	46658	941276							
	15924796	16668846	17504980	8200718	5301350	63600690	8148868	8288579	8582825	3830272	1931210	30781754	7775928	8380267	8922155	4370446	3370140	32818936							
																									
																									
