	Ensemble						Hommes						Femmes												
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total							
Ain	153719	147284	163003	68837	41534	574377	78672	74187	81771	33496	15625	283751	75047	73097	81232	35341	25909	290626							
Aisne	141079	131304	152341	67757	45339	537820	72302	65638	76034	31402	16208	261584	68777	65666	76307	36355	29131	276236							
Allier	71446	74685	97923	56218	42842	343114	36753	37614	48399	25918	15787	164471	34693	37071	49524	30300	27055	178643							
Alpes-de-Haute-Provence	35905	32707	45416	25895	16144	156067	18655	15991	22354	12322	6247	75569	17250	16716	23062	13573	9897	80498							
Hautes-Alpes	31075	29774	38809	19827	12997	132482	15812	15086	19372	9480	5091	64841	15263	14688	19437	10347	7906	67641							
Alpes-Maritimes	239703	256608	292526	169954	123674	1082465	123223	125427	139032	77341	45119	510142	116480	131181	153494	92613	78555	572323							
Ardèche	72224	68567	88303	47712	32650	309456	37166	34378	44191	22935	12137	150807	35058	34189	44112	24777	20513	158649							
Ardennes	72858	69172	81450	37288	23981	284749	37698	34873	40866	17487	8645	139569	35160	34299	40584	19801	15336	145180							
Ariège	32029	31680	43092	23647	18120	148568	16413	15934	21642	11258	7185	72432	15616	15746	21450	12389	10935	76136							
Aube	73707	74864	84398	40502	27369	300840	37515	37807	41852	19033	9894	146101	36192	37057	42546	21469	17475	154739							
Aude	77876	76345	96123	55928	39507	345779	40068	37996	47096	26616	15420	167196	37808	38349	49027	29312	24087	178583							
Aveyron	57331	58899	77179	45668	35348	274425	29592	30004	39166	21768	13780	134310	27739	28895	38013	23900	21568	140115							
Bouches-du-Rhône	482779	512459	532223	264067	167398	1958926	246836	249219	253864	122816	60880	933615	235943	263240	278359	141251	106518	1025311							
Calvados	170591	174239	185816	86608	56413	673667	86929	86477	91046	39345	19951	323748	83662	87762	94770	47263	36462	349919							
Cantal	29307	31926	44099	24922	18803	149057	15084	16252	22421	11763	7105	72625	14223	15674	21678	13159	11698	76432							
Charente	76452	78949	101896	53555	38683	349535	39341	39541	50368	25372	14703	169325	37111	39408	51528	28183	23980	180210							
Charente-Maritime	132985	133640	170408	99787	68590	605410	68480	67007	82386	47040	26416	291329	64505	66633	88022	52747	42174	314081							
Cher	70167	71131	90397	49568	33336	314599	35664	36072	44771	23613	12420	152540	34503	35059	45626	25955	20916	162059							
Corrèze	47972	53659	69022	39795	31590	242038	24766	27939	34609	18505	11712	117531	23206	25720	34413	21290	19878	124507							
Corse-du-Sud	29598	32857	40518	22564	13825	139362	15416	15978	19950	10695	5376	67415	14182	16879	20568	11869	8449	71947							
Haute-Corse	33711	40289	45351	25106	15390	159847	17443	20458	22430	12131	5758	78220	16268	19831	22921	12975	9632	81627							
Côte-d'Or	124994	139443	143617	66344	44745	519143	63494	68787	70708	31054	16453	250496	61500	70656	72909	35290	28292	268647							
Côtes-d'Armor	133672	125334	160378	92412	64253	576049	68935	63477	80082	42645	22952	278091	64737	61857	80296	49767	41301	297958							
Creuse	23793	23731	36180	21643	18514	123861	12364	12066	18463	10329	7099	60321	11429	11665	17717	11314	11415	63540							
Dordogne	83418	82308	118201	70820	52046	406793	42578	41015	58240	33593	19997	195423	40840	41293	59961	37227	32049	211370							
Doubs	132988	141041	140229	66571	39304	520133	68518	71704	69388	31383	14677	255670	64470	69337	70841	35188	24627	264463							
Drôme	118771	111909	132435	67811	42502	473428	61254	55775	64636	32171	16138	229974	57517	56134	67799	35640	26364	243454							
Eure	153929	143293	163096	70012	41775	572105	78797	71428	81175	33258	15260	279918	75132	71865	81921	36754	26515	292187							
Eure-et-Loir	108764	105757	118780	52986	36124	422411	55889	53036	59241	25240	13998	207404	52875	52721	59539	27746	22126	215007							
Finistère	211197	213372	246865	126252	88220	885906	108125	109771	123650	57116	29964	428626	103072	103601	123215	69136	58256	457280							
Gard	167878	161679	195803	101240	63247	689847	86071	79474	95113	47961	24133	332752	81807	82205	100690	53279	39114	357095							
Haute-Garonne	294252	360344	323835	136773	87716	1202920	150108	181664	158544	63850	32143	586309	144144	178680	165291	72923	55573	616611							
Gers	38075	36590	54212	31016	23722	183615	19474	18343	26981	14977	9663	89438	18601	18247	27231	16039	14059	94177							
Gironde	335802	383734	392433	176475	120901	1409345	171252	189313	189445	81686	43491	675187	164550	194421	202988	94789	77410	734158							
Hérault	242372	264751	268298	143457	92329	1011207	123435	128526	127332	67034	35502	481829	118937	136225	140966	76423	56827	529378							
