	Ensemble						Hommes						Femmes														
	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total	0 à 19 ans	20 à 39 ans	40 à 59 ans	60 à 74 ans	75 ans et plus	Total									
Ain	144423	143269	138484	62161	32766	521103	73966	72322	70389	29730	11938	258345	70457	70947	68095	32431	20828	262758									
Aisne	148412	141149	137021	72933	36745	536260	75796	71266	69146	33001	13031	262240	72616	69883	67875	39932	23714	274020									
Allier	73522	82572	91361	60546	36709	344710	37708	41791	45327	27349	13359	165534	35814	40781	46034	33197	23350	179176									
Alpes-de-Haute-Provence	33705	33705	37858	23394	12792	141454	17348	16717	19005	11177	4927	69174	16357	16988	18853	12217	7865	72280									
Hautes-Alpes	30169	31213	32647	18047	10466	122542	15475	15676	16368	8614	4016	60149	14694	15537	16279	9433	6450	62393									
Alpes-Maritimes	224566	258122	262843	163374	109051	1017956	115242	124767	125496	73257	38932	477694	109324	133355	137347	90117	70119	540262									
Ardèche	68840	71065	76478	45618	26385	288386	35473	36153	38475	21662	9585	141348	33367	34912	38003	23956	16800	147038									
Ardennes	78878	77292	73480	40718	19241	289609	40568	39316	37219	18570	6672	142345	38310	37976	36261	22148	12569	147264									
Ariège	29938	32235	36386	24381	15259	138199	15514	16325	18511	11462	5981	67793	14424	15910	17875	12919	9278	70406									
Aube	75523	78075	76241	40499	22847	293185	38533	39554	38201	18418	8245	142951	36990	38521	38040	22081	14602	150234									
Aude	70777	75355	80842	53961	32406	313341	36251	37913	39962	25178	12587	151891	34526	37442	40880	28783	19819	161450									
Aveyron	56200	62453	68187	48525	29700	265065	29075	32432	34555	22951	11323	130336	27125	30021	33632	25574	18377	134729									
Bouches-du-Rhône	464043	515726	485691	246121	135297	1846878	237571	252179	235903	112847	48884	887384	226472	263547	249788	133274	86413	959494									
Calvados	173939	182660	165492	84902	44200	651193	88103	90970	81716	37874	15086	313749	85836	91690	83776	47028	29114	337444									
Cantal	31216	36568	40104	27048	15704	150640	16031	18857	20594	12659	5861	74002	15185	17711	19510	14389	9843	76638									
Charente	78641	84427	90896	54653	32144	340761	40388	42632	45105	25664	11819	165608	38253	41795	45791	28989	20325	175153									
Charente-Maritime	127938	135480	147385	96073	54866	561742	65755	67974	72244	44730	20912	271615	62183	67506	75141	51343	33954	290127									
Cher	73405	77927	83725	50667	28860	314584	37640	39391	42331	23660	10458	153480	35765	38536	41394	27007	18402	161104									
Corrèze	47264	55225	61620	42576	26946	233631	24400	28650	30908	19510	9917	113385	22864	26575	30712	23066	17029	120246									
Corse-du-Sud	28196	30475	32779	19170	10133	120753	14663	14692	16457	9037	3613	58462	13533	15783	16322	10133	6520	62291									
Haute-Corse	32290	38628	38341	22333	12194	143786	16646	19186	19571	10701	4391	70495	15644	19442	18770	11632	7803	73291									
