	Ensemble						Hommes						Femmes														
Côte-d'Or	128845	146583	130900	64878	36809	508015	65167	72117	65265	29704	13154	245407	63678	74466	65635	35174	23655	262608									
Côtes-d'Armor	129699	129118	140446	95167	51226	545656	66457	66222	70404	42913	17648	263644	63242	62896	70042	52254	33578	282012									
Creuse	23630	27283	31851	25115	16424	124303	12179	14157	16426	11712	6184	60658	11451	13126	15425	13403	10240	63645									
Dordogne	81706	88737	103890	72608	43331	390272	41986	44503	51503	34127	16378	188497	39720	44234	52387	38481	26953	201775									
Doubs	133902	144888	128180	63737	30716	501423	68437	72865	63977	29484	10865	245628	65465	72023	64203	34253	19851	255795									
Drôme	115762	113222	116180	62394	33922	441480	59562	56525	57491	29173	12573	215324	56200	56697	58689	33221	21349	226156									
Eure	153239	146951	143885	66899	33661	544635	78518	73732	72558	31087	12008	267903	74721	73219	71327	35812	21653	276732									
Eure-et-Loir	111672	108262	107426	52592	29390	409342	57065	54698	54262	24729	11120	201874	54607	53564	53164	27863	18270	207468									
Finistère	210056	225276	215732	132474	72386	855924	107858	116475	108461	58155	24052	415001	102198	108801	107271	74319	48334	440923									
Gard	157438	159729	168233	93553	51098	630051	80455	79306	82761	43724	19163	305409	76983	80423	85472	49829	31935	324642									
Haute-Garonne	256885	339757	269714	125826	70332	1062514	130770	169038	132334	57984	25852	515978	126115	170719	137380	67842	44480	546536									
Gers	35909	39274	46532	32369	19438	173522	18459	20000	23283	15729	7726	85197	17450	19274	23249	16640	11712	88325									
Gironde	314898	376182	340762	169074	98861	1299777	160553	184711	166257	77012	34497	623030	154345	191471	174505	92062	64364	676747									
Hérault	220086	256162	228899	129337	73263	907747	112353	123691	110145	59683	27585	433457	107733	132471	118754	69654	45678	474290									
Ille-et-Vilaine	232093	262614	212705	111092	57697	876201	118312	131782	105525	50813	19786	426218	113781	130832	107180	60279	37911	449983									
Indre	49394	55804	60351	41153	24739	231441	25261	28508	30635	19218	9182	112804	24133	27296	29716	21935	15557	118637									
Indre-et-Loire	138677	154770	142720	76091	44912	557170	70230	76026	70314	35187	16648	268405	68447	78744	72406	40904	28264	288765									
Isère	297166	323383	284378	132624	64780	1102331	152371	163392	141677	61917	23154	542511	144795	159991	142701	70707	41626	559820									
Jura	63867	64619	64898	37226	21201	251811	32896	32714	32812	17352	7855	123629	30971	31905	32086	19874	13346	128182									
Landes	74116	81376	88045	56845	31128	331510	38387	41503	43566	26587	11304	161347	35729	39873	44479	30258	19824	170163									
Loir-et-Cher	75451	78906	81121	50721	30155	316354	38578	39993	40623	23821	11512	154527	36873	38913	40498	26900	18643	161827									
Loire	184596	190618	188550	107670	59180	730614	94392	95843	93298	48394	20498	352425	90204	94775	95252	59276	38682	378189									
Haute-Loire	50078	52563	54491	34291	18987	210410	25843	27073	28099	15821	6714	103550	24235	25490	26392	18470	12273	106860									
Loire-Atlantique	306669	325923	292964	145348	75154	1146058	156502	163671	144472	64824	25532	555001	150167	162252	148492	80524	49622	591057									
Loiret	163272	171419	160237	81176	45126	621230	83462	85774	79946	37957	16979	304118	79810	85645	80291	43219	28147	317112									
Lot	33840	36287	42487	30727	18034	161375	17432	18392	21185	14644	6897	78550	16408	17895	21302	16083	11137	82825									
Lot-et-Garonne	70073	72252	81014	52777	31299	307415	35920	35957	39839	24796	11924	148436	34153	36295	41175	27981	19375	158979									
Lozère	16300	18690	19257	12112	7492	73851	8446	9765	10129	5907	2907	37154	7854	8925	9128	6205	4585	36697									
Maine-et-Loire	202851	205890	180221	94353	53552	736867	103195	103097	89537	43129	19458	358416	99656	102793	90684	51224	34094	378451									
Manche	124561	121945	119421	77172	40079	483178	63841	62460	60664	35247	14146	236358	60720	59485	58757	41925	25933	246820									
Marne	149182	167550	144493	67981	35983	565189	76289	84098	71700	30941	12392	275420	72893	83452	72793	37040	23591	289769									
Haute-Marne	49395	49423	50168	29243	15795	194024	25524	25356	25508	13473	5719	95580	23871	24067	24660	15770	10076	98444									
Mayenne	76077	75741	70130	41675	23347	286970	39238	39179	35245	19429	8445	141536	36839	36562	34885	22246	14902	145434									
Meurthe-et-Moselle	185603	208368	180435	95639	45639	715684	95075	104260	89291	43063	15318	347007	90528	104108	91144	52576	30321	368677									
Meuse	50179	50071	49067	28636	14729	192682	25931	25945	24987	13284	5177	95324	24248	24126	24080	15352	9552	97358									
Morbihan	162703	166115	165595	103703	51715	649831	83829	85454	82493	46727	17833	316336	78874	80661	83102	56976	33882	333495									
Moselle	267655	292446	267881	140317	57217	1025516	137148	148228	134325	65182	19327	504210	130507	144218	133556	75135	37890	521306									
Nièvre	49216	51822	59413	40786	23817	225054	25308	26347	29770	18759	8566	108750	23908	25475	29643	22027	15251	116304									
Nord	747351	745004	616434	301978	143871	2554638	381834	371021	304756	131256	46843	1235710	365517	373983	311678	170722	97028	1318928									
Oise	223557	219321	203701	83491	39778	769848	114977	110294	103452	38827	14127	381677	108580	109027	100249	44664	25651	388171									
Orne	74187	72475	74471	46455	24969	292557	38228	37105	37535	21606	8849	143323	35959	35370	36936	24849	16120	149234									
Pas-de-Calais	415294	393978	355237	187341	91376	1443226	212739	198259	177135	80647	29478	698258	202555	195719	178102	106694	61898	744968									
Puy-de-Dôme	139913	168884	164977	86793	45900	606467	71244	84673	82427	39328	16103	293775	68669	84211	82550	47465	29797	312692									
Pyrénées-Atlantiques	138553	156437	157877	96229	55153	604249	71305	78553	77223	44209	19523	290813	67248	77884	80654	52020	35630	313436									
Hautes-Pyrénées	47647	53981	60597	38637	22437	223299	24544	27311	29982	17701	8175	107713	23103	26670	30615	20936	14262	115586									
Pyrénées-Orientales	90240	96550	99199	70380	40713	397082	46044	47296	47592	32385	15657	188974	44196	49254	51607	37995	25056	208108									
Bas-Rhin	265267	316086	264844	127223	59078	1032498	135138	158024	133795	58163	18355	503475	130129	158062	131049	69060	40723	529023									
Haut-Rhin	186119	202691	188126	93242	41279	711457	95183	102322	95621	42870	13179	349175	90936	100369	92505	50372	28100	362282									
Rhône	420759	482320	395392	191399	99040	1588910	213632	236786	192771	86699	33601	763489	207127	245534	202621	104700	65439	825421									
Haute-Saône	59225	59159	60835	33364	17797	230380	30570	30400	31034	15686	6413	114103	28655	28759	29801	17678	11384	116277									
Saône-et-Loire	128651	133469	144422	88555	50626	545723	66202	68136	72395	40709	18409	265851	62449	65333	72027	47846	32217	279872									
Sarthe	136694	142742	133849	76305	43175	532765	69897	72523	66800	35242	16064	260526	66797	70219	67049	41063	27111	272239									
Savoie	95386	105635	99437	50118	25940	376516	49258	53376	50023	23140	9017	184814	46128	52259	49414	26978	16923	191702									
Haute-Savoie	171838	186156	172727	72777	35686	639184	88587	94038	86390	33788	12643	315446	83251	92118	86337	38989	23043	323738									
Paris	410964	771095	548164	242061	157447	2129731	206804	374442	262023	104528	51627	999424	204160	396653	286141	137533	105820	1130307									
Seine-Maritime	339398	347129	315903	155613	81897	1239940	173141	172199	156473	69262	27950	599025	166257	174930	159430	86351	53947	640915									
Seine-et-Marne	358435	351983	323961	112556	55634	1202569	183356	173916	162871	52774	19330	592247	175079	178067	161090	59782	36304	610322									
Yvelines	389275	391680	372130	141923	63808	1358816	199382	194380	183798	67097	21972	666629	189893	197300	188332	74826	41836	692187									
Deux-Sèvres	83699	87710	89468	54179	31376	346432	43273	44727	44977	25791	12245	171013	40426	42983	44491	28388	19131	175419									
Somme	147969	158583	138967	72875	38436	556830	75342	79579	69214	32962	13944	271041	72627	79004	69753	39913	24492	285789									
Tarn	78292	82550	90349	59596	35072	345859	40298	41607	44459	27836	13472	167672	37994	40943	45890	31760	21600	178187									
Tarn-et-Garonne	49299	51740	54422	33253	19707	208421	25318	26049	27264	15552	7666	101849	23981	25691	27158	17701	12041	106572									
Var	214744	221526	237724	151598	83303	908895	109932	109907	115491	70765	31370	437465	104812	111619	122233	80833	51933	471430									
Vaucluse	131489	131281	132151	70929	37933	503783	67458	64811	64929	32922	13917	244037	64031	66470	67222	38007	24016	259746									
Vendée	135463	139660	138141	87501	45569	546334	69425	71733	69551	41038	16949	268696	66038	67927	68590	46463	28620	277638									
Vienne	95772	113678	100410	57213	34370	401443	48588	56171	50031	26976	13051	194817	47184	57507	50379	30237	21319	206626									
Haute-Vienne	74621	94010	93915	57254	35515	355315	38163	46568	46405	26275	13103	170514	36458	47442	47510	30979	22412	184801									
Vosges	98601	98151	98373	56274	29628	381027	50748	50267	49560	25352	9884	185811	47853	47884	48813	30922	19744	195216									
Yonne	83262	82166	86414	51606	30578	334026	42773	41650	43833	24098	11246	163600	40489	40516	42581	27508	19332	170426									
Territoire de Belfort	36244	39495	35827	17652	8680	137898	18748	20732	18030	8023	2943	68476	17496	18763	17797	9629	5737	69422									
Essonne	322366	342737	306774	118991	51463	1142331	164536	171643	152427	56194	17442	562242	157830	171094	154347	62797	34021	580089									
Hauts-de-Seine	354340	471518	364892	160956	90381	1442087	180273	229729	176996	71563	30113	688674	174067	241789	187896	89393	60268	753413									
Seine-Saint-Denis	406542	432871	357260	139219	61050	1396942	206947	211282	180444	64233	20756	683662	199595	221589	176816	74986	40294	713280									
Val-de-Marne	319170	386819	321812	137034	71608	1236443	162602	189691	158702	60980	24010	595985	156568	197128	163110	76054	47598	640458									
Val-d'Oise	334840	328494	296499	104032	47207	1111072	171101	160837	147495	48183	15765	543381	163739	167657	149004	55849	31442	567691									
	15044092	16483404	15186214	7899683	4244805	58858198	7692965	8223657	7532154	3614399	1502806	28565981	7351127	8259747	7654060	4285284	2741999	30292217									
Guadeloupe	126197	117534	88926	37307	18081	388045	63969	55770	41637	16897	7123	185396	62228	61764	47289	20410	10958	202649									
Martinique	116810	114742	89953	41956	20114	383575	59022	53807	41890	19016	7740	181475	57788	60935	48063	22940	12374	202100									
Guyane	72442	49994	30420	6630	2532	162018	36694	24356	15924	3376	1043	81393	35748	25638	14496	3254	1489	80625									
La Réunion	267099	232747	147294	50588	18586	716314	135762	113464	72685	23079	6565	351555	131337	119283	74609	27509	12021	364759									
	582548	515017	356593	136481	59313	1649952	295447	247397	172136	62368	22471	799819	287101	267620	184457	74113	36842	850133									
	15626640	16998421	15542807	8036164	4304118	60508150	7988412	8471054	7704290	3676767	1525277	29365800	7638228	8527367	7838517	4359397	2778841	31142350									
																											
																											
																											
																											
																											
																											
																											
																											
																											
