;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;;;;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;;;;;;;
Gard;173 679;160 039;199 247;114 642;68 714;716 321;88 876;78 597;96 539;54 476;26 780;345 268;84 803;81 442;102 708;60 166;41 934;371 053;;;;;;;
Haute-Garonne;302 536;366 419;330 989;156 837;96 966;1 253 747;155 101;185 304;162 974;73 369;36 564;613 312;147 435;181 115;168 015;83 468;60 402;640 435;;;;;;;
Gers;39 565;35 771;54 933;34 427;24 992;189 688;20 567;17 760;27 158;16 772;10 416;92 673;18 998;18 011;27 775;17 655;14 576;97 015;;;;;;;
Gironde;346 599;386 355;393 371;204 749;130 221;1 461 295;176 238;190 454;189 889;95 936;48 179;700 696;170 361;195 901;203 482;108 813;82 042;760 599;;;;;;;
Hérault;245 500;269 778;274 256;163 362;101 407;1 054 303;124 744;132 106;130 693;77 102;39 114;503 759;120 756;137 672;143 563;86 260;62 293;550 544;;;;;;;
Ille-et-Vilaine;258 743;268 547;258 815;127 241;82 657;996 003;131 187;135 829;128 815;59 467;30 857;486 155;127 556;132 718;130 000;67 774;51 800;509 848;;;;;;;
Indre;48 708;46 060;65 294;41 563;30 192;231 817;24 992;23 143;32 646;19 811;11 556;112 148;23 716;22 917;32 648;21 752;18 636;119 669;;;;;;;
Indre-et-Loire;142 637;145 124;158 615;87 029;58 746;592 151;72 528;71 627;77 739;40 919;22 722;285 535;70 109;73 497;80 876;46 110;36 024;306 616;;;;;;;
Isère;318 391;316 186;324 778;163 295;94 523;1 217 173;163 966;159 353;161 311;78 475;36 205;599 310;154 425;156 833;163 467;84 820;58 318;617 863;;;;;;;
Jura;63 559;57 238;72 859;41 381;27 421;262 458;32 758;28 538;36 488;20 105;10 445;128 334;30 801;28 700;36 371;21 276;16 976;134 124;;;;;;;
Landes;85 925;82 656;109 143;67 050;42 742;387 516;44 139;41 691;54 171;32 051;16 528;188 580;41 786;40 965;54 972;34 999;26 214;198 936;;;;;;;
Loir-et-Cher;77 691;69 634;90 367;54 252;39 050;330 994;40 017;34 715;44 704;26 023;15 399;160 858;37 674;34 919;45 663;28 229;23 651;170 136;;;;;;;
Loire;184 965;177 404;196 979;117 065;79 238;755 651;94 758;89 061;96 766;55 401;28 488;364 474;90 207;88 343;100 213;61 664;50 750;391 177;;;;;;;
Haute-Loire;52 963;47 157;62 467;36 983;24 886;224 456;27 103;24 008;31 773;18 059;9 141;110 084;25 860;23 149;30 694;18 924;15 745;114 372;;;;;;;
Loire-Atlantique;334 678;334 657;342 635;173 845;106 874;1 292 689;171 398;168 329;168 392;80 582;38 268;626 969;163 280;166 328;174 243;93 263;68 606;665 720;;;;;;;
Loiret;166 293;162 658;175 041;94 451;59 479;657 922;85 181;81 508;86 067;45 555;23 040;321 351;81 112;81 150;88 974;48 896;36 439;336 571;;;;;;;
Lot;35 566;32 730;49 859;34 066;23 776;175 997;18 190;16 493;24 426;16 779;9 408;85 296;17 376;16 237;25 433;17 287;14 368;90 701;;;;;;;
Lot-et-Garonne;72 948;69 000;91 268;58 921;41 739;333 876;37 813;34 404;44 275;28 232;16 573;161 297;35 135;34 596;46 993;30 689;25 166;172 579;;;;;;;
Lozère;16 707;16 287;22 304;13 413;9 090;77 801;8 770;8 285;11 645;6 794;3 599;39 093;7 937;8 002;10 659;6 619;5 491;38 708;;;;;;;
